leave_id,employee_id,leave_type,start_date,end_date,days_count,status,approved_by
144,109,Maternity,2024-11-26,2024-12-09,13,Pending,6
145,24,Maternity,2023-02-03,2023-02-11,8,Approved,26
146,234,Paternity,2024-12-02,2024-12-03,1,Approved,5
147,130,Unpaid,2024-07-28,2024-08-05,8,Pending,20
148,260,Unpaid,2023-12-07,2023-12-22,15,Approved,13
149,151,Sick,2024-05-13,2024-05-28,15,Approved,13
150,249,Paternity,2023-02-03,2023-02-05,2,Rejected,23
151,272,Paternity,2024-10-18,2024-10-26,8,Rejected,29
152,265,Annual,2024-05-29,2024-06-11,13,Approved,3
153,180,Sick,2023-07-31,2023-08-01,1,Approved,19
154,272,Sick,2023-06-04,2023-06-08,4,Approved,6
155,239,Paternity,2023-06-01,2023-06-05,4,Approved,9
156,269,Annual,2023-10-21,2023-11-03,13,Approved,8
157,136,Maternity,2024-10-06,2024-10-09,3,Approved,20
158,129,Paternity,2024-02-13,2024-02-22,9,Approved,28
159,87,Paternity,2023-04-23,2023-05-08,15,Approved,24
160,160,Sick,2024-01-11,2024-01-17,6,Approved,8
161,293,Paternity,2023-07-21,2023-08-01,11,Approved,4
162,196,Annual,2023-11-01,2023-11-12,11,Approved,20
163,243,Paternity,2023-02-05,2023-02-10,5,Approved,5
164,219,Maternity,2024-09-17,2024-10-01,14,Approved,3
165,23,Maternity,2024-08-24,2024-09-05,12,Approved,15
166,213,Paternity,2023-02-03,2023-02-06,3,Pending,2
167,106,Maternity,2023-12-05,2023-12-06,1,Approved,27
168,231,Sick,2023-06-22,2023-06-26,4,Rejected,9
169,138,Maternity,2024-02-11,2024-02-22,11,Rejected,26
170,151,Unpaid,2024-02-11,2024-02-12,1,Approved,29
171,45,Annual,2024-01-01,2024-01-15,14,Approved,2
172,202,Sick,2024-02-19,2024-02-25,6,Approved,6
173,249,Unpaid,2024-11-20,2024-11-27,7,Approved,4
174,252,Unpaid,2023-03-20,2023-04-03,14,Approved,6
175,88,Paternity,2023-12-22,2024-01-01,10,Approved,19
176,150,Sick,2023-03-21,2023-03-28,7,Approved,5
177,179,Sick,2024-09-13,2024-09-16,3,Approved,3
178,170,Paternity,2024-07-19,2024-07-27,8,Rejected,13
179,208,Maternity,2023-03-30,2023-04-07,8,Approved,6
180,133,Maternity,2023-06-13,2023-06-24,11,Pending,29
181,121,Paternity,2024-06-16,2024-06-30,14,Approved,16
182,111,Sick,2024-08-22,2024-08-31,9,Rejected,10
183,103,Sick,2023-02-18,2023-02-27,9,Approved,7
184,58,Maternity,2024-02-06,2024-02-20,14,Pending,19
185,200,Paternity,2023-07-06,2023-07-20,14,Approved,13
186,13,Unpaid,2024-10-21,2024-10-30,9,Pending,16
187,214,Maternity,2024-08-25,2024-08-31,6,Approved,1
188,74,Paternity,2023-02-20,2023-02-23,3,Rejected,1
189,210,Annual,2024-09-22,2024-09-26,4,Approved,28
190,80,Unpaid,2023-01-06,2023-01-16,10,Approved,29
191,45,Maternity,2023-08-16,2023-08-24,8,Approved,4
192,242,Maternity,2023-08-10,2023-08-23,13,Approved,6
193,292,Sick,2024-05-25,2024-06-08,14,Approved,21
194,209,Unpaid,2023-05-28,2023-06-08,11,Approved,28
195,134,Sick,2024-08-07,2024-08-13,6,Approved,14
196,127,Sick,2023-05-09,2023-05-19,10,Pending,24
197,262,Sick,2024-08-10,2024-08-24,14,Approved,10
198,242,Sick,2023-01-31,2023-02-11,11,Approved,17
199,177,Unpaid,2023-03-29,2023-04-11,13,Approved,21
200,39,Unpaid,2024-11-14,2024-11-21,7,Approved,26
201,16,Unpaid,2024-06-02,2024-06-16,14,Approved,24
202,10,Unpaid,2023-03-05,2023-03-10,5,Approved,13
203,76,Maternity,2023-07-01,2023-07-09,8,Approved,11
204,248,Maternity,2023-05-11,2023-05-14,3,Approved,5
205,120,Sick,2024-02-04,2024-02-12,8,Approved,23
206,92,Sick,2024-12-24,2025-01-01,8,Pending,4
207,122,Sick,2023-11-19,2023-11-25,6,Approved,25
208,297,Sick,2023-04-09,2023-04-16,7,Approved,6
209,227,Maternity,2024-08-03,2024-08-18,15,Approved,3
210,203,Maternity,2024-12-22,2025-01-02,11,Pending,25
211,3,Unpaid,2023-03-12,2023-03-19,7,Approved,25
212,167,Annual,2023-10-31,2023-11-14,14,Approved,19
213,3,Maternity,2024-03-11,2024-03-18,7,Pending,11
214,295,Paternity,2023-06-02,2023-06-13,11,Approved,10
215,48,Unpaid,2024-05-05,2024-05-07,2,Approved,30
216,2,Paternity,2023-05-18,2023-05-29,11,Approved,24
217,299,Annual,2024-08-10,2024-08-12,2,Approved,13
218,187,Annual,2023-12-04,2023-12-19,15,Approved,30
219,298,Unpaid,2023-08-11,2023-08-18,7,Approved,29
220,235,Paternity,2023-03-06,2023-03-13,7,Approved,12
221,298,Annual,2023-12-30,2024-01-09,10,Pending,20
222,212,Unpaid,2024-01-24,2024-02-07,14,Approved,2
223,102,Paternity,2023-07-08,2023-07-11,3,Approved,10
224,294,Maternity,2024-08-08,2024-08-20,12,Approved,28
225,231,Annual,2023-10-24,2023-10-28,4,Approved,7
226,80,Maternity,2024-11-27,2024-12-02,5,Approved,28
227,221,Sick,2024-03-04,2024-03-07,3,Approved,15
228,140,Maternity,2024-04-25,2024-05-08,13,Approved,5
229,96,Maternity,2023-04-12,2023-04-26,14,Approved,21
230,246,Sick,2023-04-21,2023-05-04,13,Rejected,3
231,296,Annual,2024-11-15,2024-11-27,12,Pending,9
232,54,Paternity,2024-03-30,2024-04-03,4,Approved,2
233,188,Unpaid,2024-11-08,2024-11-11,3,Approved,18
234,260,Sick,2023-12-01,2023-12-02,1,Approved,16
235,153,Maternity,2023-04-14,2023-04-15,1,Approved,11
236,163,Paternity,2023-03-31,2023-04-04,4,Approved,22
237,116,Annual,2024-12-26,2024-12-31,5,Approved,3
238,34,Paternity,2024-09-11,2024-09-22,11,Approved,26
239,179,Maternity,2023-07-20,2023-08-02,13,Approved,3
240,134,Sick,2024-12-19,2024-12-25,6,Approved,21
241,86,Maternity,2024-10-10,2024-10-19,9,Approved,16
242,293,Sick,2024-02-25,2024-03-05,9,Approved,5
243,277,Sick,2023-02-03,2023-02-10,7,Approved,21
244,131,Maternity,2024-08-29,2024-09-13,15,Approved,23
245,263,Maternity,2023-02-12,2023-02-15,3,Approved,4
246,214,Unpaid,2024-11-21,2024-11-30,9,Rejected,4
247,264,Annual,2024-07-31,2024-08-11,11,Approved,6
248,101,Annual,2024-01-14,2024-01-19,5,Pending,11
249,215,Maternity,2023-09-12,2023-09-24,12,Approved,7
250,57,Sick,2024-06-13,2024-06-20,7,Approved,23
251,198,Annual,2023-10-25,2023-11-08,14,Approved,14
252,140,Sick,2023-01-12,2023-01-18,6,Approved,22
253,122,Paternity,2023-01-21,2023-01-29,8,Approved,5
254,133,Paternity,2024-05-25,2024-06-06,12,Approved,20
255,40,Sick,2024-01-19,2024-01-23,4,Approved,26
256,155,Annual,2024-06-25,2024-07-09,14,Approved,13
257,231,Sick,2024-09-28,2024-10-11,13,Rejected,14
258,27,Maternity,2024-04-02,2024-04-05,3,Approved,14
259,101,Annual,2023-06-23,2023-07-03,10,Approved,4
260,228,Unpaid,2024-10-22,2024-10-29,7,Pending,21
261,286,Paternity,2024-04-08,2024-04-14,6,Approved,16
262,60,Unpaid,2023-09-22,2023-09-23,1,Pending,21
263,127,Annual,2024-01-08,2024-01-14,6,Approved,11
264,1,Maternity,2023-12-01,2023-12-14,13,Approved,4
265,152,Sick,2024-03-20,2024-03-22,2,Approved,24
266,117,Unpaid,2023-10-06,2023-10-07,1,Pending,5
267,173,Maternity,2024-01-23,2024-01-31,8,Approved,14
268,30,Unpaid,2024-08-26,2024-09-06,11,Approved,9
269,32,Unpaid,2023-05-13,2023-05-19,6,Approved,7
270,29,Sick,2024-02-23,2024-03-05,11,Approved,21
271,260,Unpaid,2023-11-26,2023-11-29,3,Approved,4
272,219,Paternity,2023-08-04,2023-08-07,3,Approved,29
273,184,Unpaid,2023-11-13,2023-11-17,4,Approved,22
274,297,Annual,2024-01-09,2024-01-19,10,Pending,15
275,127,Unpaid,2024-04-22,2024-04-29,7,Approved,30
276,295,Sick,2024-02-06,2024-02-18,12,Approved,23
277,139,Sick,2024-10-24,2024-11-05,12,Approved,14
278,208,Sick,2023-07-20,2023-07-27,7,Approved,4
279,60,Paternity,2023-03-20,2023-03-28,8,Approved,7
280,171,Maternity,2024-10-14,2024-10-20,6,Rejected,20
281,190,Annual,2023-10-03,2023-10-18,15,Approved,19
282,173,Unpaid,2024-06-17,2024-06-27,10,Approved,5
283,276,Paternity,2024-09-13,2024-09-18,5,Approved,26
284,294,Paternity,2023-03-04,2023-03-14,10,Approved,17
285,142,Annual,2023-12-08,2023-12-14,6,Approved,7
286,154,Sick,2024-12-18,2025-01-01,14,Approved,29
287,61,Maternity,2024-08-02,2024-08-14,12,Approved,3
288,159,Annual,2023-12-31,2024-01-05,5,Approved,15
289,160,Sick,2024-02-03,2024-02-06,3,Approved,12
290,17,Maternity,2024-05-21,2024-05-26,5,Approved,25
291,249,Paternity,2024-01-14,2024-01-17,3,Rejected,26
292,189,Maternity,2023-01-21,2023-01-25,4,Pending,14
293,119,Annual,2024-01-25,2024-02-09,15,Rejected,26
294,227,Unpaid,2024-11-05,2024-11-20,15,Pending,16
295,1,Unpaid,2023-11-25,2023-11-27,2,Approved,23
296,51,Unpaid,2024-11-02,2024-11-08,6,Pending,1
297,117,Maternity,2024-05-14,2024-05-17,3,Rejected,14
298,22,Maternity,2023-04-16,2023-04-22,6,Approved,24
299,26,Unpaid,2023-03-06,2023-03-14,8,Approved,5
300,74,Maternity,2023-05-23,2023-05-24,1,Approved,23
301,15,Annual,2023-08-04,2023-08-14,10,Approved,23
302,33,Annual,2023-12-31,2024-01-01,1,Approved,9
303,229,Sick,2024-11-21,2024-12-05,14,Approved,2
304,190,Maternity,2024-12-26,2025-01-01,6,Approved,16
305,15,Maternity,2024-05-31,2024-06-04,4,Approved,30
306,246,Maternity,2024-05-21,2024-05-27,6,Approved,30
307,146,Sick,2024-07-11,2024-07-16,5,Pending,8
308,126,Unpaid,2023-07-20,2023-07-24,4,Approved,10
309,34,Unpaid,2024-02-29,2024-03-06,6,Pending,7
310,288,Sick,2024-12-31,2025-01-05,5,Approved,18
311,46,Sick,2023-05-22,2023-05-27,5,Approved,14
312,131,Maternity,2023-02-20,2023-02-27,7,Pending,2
313,290,Sick,2023-07-26,2023-08-01,6,Pending,10
314,248,Sick,2023-05-02,2023-05-10,8,Approved,23
315,120,Annual,2024-12-04,2024-12-15,11,Rejected,23
316,281,Sick,2024-04-09,2024-04-11,2,Pending,4
317,273,Sick,2024-10-02,2024-10-16,14,Approved,13
318,223,Sick,2024-11-17,2024-11-18,1,Approved,8
319,193,Paternity,2023-03-10,2023-03-19,9,Rejected,22
320,44,Annual,2024-06-17,2024-06-19,2,Approved,30
321,121,Unpaid,2023-03-04,2023-03-07,3,Approved,29
322,246,Annual,2024-02-13,2024-02-23,10,Approved,5
323,183,Paternity,2024-11-17,2024-11-30,13,Approved,11
324,184,Paternity,2023-09-03,2023-09-16,13,Approved,22
325,36,Unpaid,2023-03-07,2023-03-22,15,Approved,7
326,232,Sick,2023-12-24,2023-12-29,5,Approved,8
327,201,Sick,2024-08-29,2024-09-08,10,Approved,1
328,119,Unpaid,2024-11-10,2024-11-13,3,Approved,20
329,116,Annual,2023-05-28,2023-05-29,1,Approved,12
330,134,Maternity,2024-09-29,2024-10-01,2,Approved,2
331,13,Sick,2024-09-07,2024-09-18,11,Approved,12
332,267,Paternity,2024-05-05,2024-05-08,3,Approved,20
333,296,Annual,2023-12-15,2023-12-19,4,Approved,28
334,113,Sick,2024-05-07,2024-05-11,4,Pending,6
335,164,Sick,2024-03-31,2024-04-07,7,Pending,10
336,27,Sick,2024-07-07,2024-07-18,11,Approved,19
337,267,Unpaid,2024-02-03,2024-02-10,7,Approved,6
338,186,Unpaid,2023-08-30,2023-09-08,9,Approved,11
339,38,Annual,2023-07-06,2023-07-07,1,Approved,4
340,187,Maternity,2024-10-11,2024-10-23,12,Approved,10
341,159,Paternity,2024-07-17,2024-07-31,14,Approved,1
342,30,Maternity,2024-04-02,2024-04-07,5,Approved,24
343,239,Annual,2024-12-08,2024-12-17,9,Rejected,22
344,53,Paternity,2023-05-18,2023-05-21,3,Approved,20
345,69,Maternity,2024-09-18,2024-09-19,1,Approved,24
346,272,Sick,2024-10-04,2024-10-14,10,Approved,1
347,4,Maternity,2023-08-02,2023-08-05,3,Approved,2
348,250,Sick,2023-08-24,2023-09-04,11,Approved,3
349,233,Sick,2023-02-26,2023-03-01,3,Approved,27
350,183,Annual,2024-04-03,2024-04-09,6,Approved,7
351,29,Paternity,2024-04-19,2024-04-20,1,Approved,14
352,109,Sick,2024-11-01,2024-11-13,12,Approved,26
353,179,Annual,2023-07-05,2023-07-08,3,Approved,14
354,273,Unpaid,2024-03-23,2024-04-06,14,Approved,4
355,147,Paternity,2023-06-18,2023-06-26,8,Approved,28
356,156,Maternity,2023-08-01,2023-08-05,4,Approved,23
357,91,Unpaid,2023-12-22,2023-12-31,9,Pending,13
358,82,Annual,2023-12-25,2024-01-01,7,Approved,6
359,167,Unpaid,2024-09-04,2024-09-19,15,Approved,29
360,153,Annual,2024-08-03,2024-08-08,5,Approved,16
361,107,Paternity,2024-01-09,2024-01-24,15,Approved,7
362,285,Sick,2024-04-07,2024-04-20,13,Approved,14
363,261,Maternity,2023-10-27,2023-11-09,13,Approved,30
364,224,Paternity,2023-11-16,2023-11-24,8,Approved,29
365,255,Paternity,2024-11-10,2024-11-16,6,Approved,11
366,209,Maternity,2023-05-01,2023-05-10,9,Pending,2
367,298,Paternity,2024-02-10,2024-02-18,8,Pending,28
368,51,Maternity,2023-12-12,2023-12-14,2,Approved,1
369,71,Maternity,2023-11-17,2023-11-27,10,Approved,15
370,85,Paternity,2023-01-03,2023-01-08,5,Approved,20
371,183,Annual,2024-05-26,2024-06-05,10,Pending,18
372,154,Paternity,2023-02-18,2023-03-03,13,Approved,1
373,200,Sick,2024-12-10,2024-12-21,11,Approved,26
374,191,Annual,2023-07-07,2023-07-16,9,Approved,4
375,238,Maternity,2024-03-03,2024-03-06,3,Approved,26
376,84,Annual,2024-10-06,2024-10-17,11,Approved,6
377,90,Annual,2023-07-04,2023-07-10,6,Approved,25
378,7,Sick,2023-08-18,2023-08-27,9,Approved,22
379,196,Sick,2023-10-16,2023-10-21,5,Pending,13
380,50,Maternity,2023-09-07,2023-09-13,6,Approved,9
381,242,Annual,2024-08-27,2024-09-10,14,Approved,4
382,169,Maternity,2023-05-15,2023-05-26,11,Approved,26
383,124,Unpaid,2024-07-27,2024-08-06,10,Approved,29
384,117,Maternity,2024-10-09,2024-10-23,14,Approved,22
385,35,Paternity,2023-10-28,2023-11-07,10,Approved,8
386,174,Sick,2023-12-23,2024-01-07,15,Approved,23
387,165,Annual,2024-04-29,2024-05-10,11,Approved,1
388,23,Annual,2024-08-08,2024-08-20,12,Approved,16
389,295,Paternity,2024-11-14,2024-11-19,5,Approved,3
390,148,Unpaid,2023-05-06,2023-05-08,2,Approved,7
391,14,Unpaid,2024-03-09,2024-03-23,14,Approved,23
392,28,Maternity,2023-04-09,2023-04-24,15,Approved,10
393,165,Unpaid,2024-11-19,2024-12-02,13,Approved,21
394,232,Maternity,2023-04-15,2023-04-25,10,Approved,28
395,252,Maternity,2024-12-22,2024-12-28,6,Approved,7
396,149,Maternity,2023-09-26,2023-10-11,15,Approved,9
397,9,Maternity,2023-06-22,2023-06-24,2,Approved,22
398,151,Annual,2024-06-05,2024-06-20,15,Pending,6
399,209,Maternity,2024-07-12,2024-07-23,11,Approved,2
400,227,Sick,2024-04-21,2024-04-30,9,Approved,2
401,160,Annual,2024-12-24,2024-12-30,6,Approved,29
402,25,Unpaid,2023-05-04,2023-05-14,10,Approved,12
403,239,Annual,2024-04-03,2024-04-16,13,Rejected,28
404,297,Paternity,2024-03-29,2024-04-12,14,Approved,1
405,48,Paternity,2024-11-29,2024-12-06,7,Approved,4
406,187,Annual,2023-08-05,2023-08-18,13,Approved,18
407,285,Sick,2023-09-26,2023-10-09,13,Approved,20
408,185,Unpaid,2023-11-17,2023-11-30,13,Pending,18
409,238,Annual,2023-06-13,2023-06-21,8,Approved,19
410,68,Sick,2024-09-26,2024-10-10,14,Approved,27
411,192,Paternity,2024-11-03,2024-11-05,2,Approved,22
412,15,Paternity,2023-09-15,2023-09-25,10,Pending,28
413,92,Paternity,2024-06-20,2024-07-01,11,Approved,1
414,116,Maternity,2023-01-12,2023-01-15,3,Pending,22
415,133,Maternity,2023-05-21,2023-05-22,1,Rejected,23
416,57,Maternity,2024-01-28,2024-02-07,10,Rejected,16
417,134,Unpaid,2023-07-30,2023-08-11,12,Approved,7
418,217,Sick,2024-07-29,2024-08-04,6,Approved,12
419,263,Maternity,2024-08-03,2024-08-17,14,Approved,3
420,277,Paternity,2023-09-06,2023-09-18,12,Pending,17
421,2,Annual,2024-05-24,2024-06-07,14,Approved,3
422,45,Annual,2024-10-06,2024-10-19,13,Approved,8
423,167,Sick,2024-04-29,2024-05-09,10,Approved,4
424,86,Maternity,2023-09-30,2023-10-04,4,Approved,29
425,239,Annual,2024-03-28,2024-03-29,1,Approved,17
426,214,Sick,2024-05-11,2024-05-24,13,Approved,17
427,21,Unpaid,2024-05-11,2024-05-24,13,Approved,7
428,89,Annual,2024-11-22,2024-11-25,3,Pending,5
429,28,Maternity,2023-07-05,2023-07-20,15,Approved,10
430,123,Maternity,2024-11-05,2024-11-19,14,Approved,16
431,288,Annual,2024-06-11,2024-06-24,13,Approved,9
432,244,Annual,2024-08-23,2024-08-29,6,Pending,2
433,175,Unpaid,2023-10-25,2023-10-28,3,Approved,1
434,96,Unpaid,2024-12-21,2025-01-03,13,Approved,5
435,50,Paternity,2023-10-09,2023-10-22,13,Approved,4
436,115,Annual,2024-07-06,2024-07-19,13,Approved,16
437,108,Maternity,2024-11-23,2024-11-28,5,Approved,29
438,175,Paternity,2023-03-02,2023-03-16,14,Approved,11
439,47,Paternity,2024-12-25,2025-01-07,13,Approved,8
440,59,Sick,2023-12-22,2023-12-31,9,Approved,6
441,42,Maternity,2023-06-16,2023-06-17,1,Pending,20
442,215,Unpaid,2024-12-06,2024-12-14,8,Approved,10
443,42,Annual,2024-02-18,2024-02-21,3,Approved,15
444,28,Paternity,2023-01-09,2023-01-20,11,Approved,17
445,68,Maternity,2023-05-21,2023-05-23,2,Approved,27
446,222,Maternity,2024-11-03,2024-11-10,7,Approved,21
447,110,Paternity,2023-12-12,2023-12-23,11,Approved,19
448,126,Maternity,2023-05-11,2023-05-13,2,Approved,28
449,123,Maternity,2023-04-13,2023-04-15,2,Approved,20
450,297,Maternity,2024-01-22,2024-01-31,9,Approved,5
451,270,Maternity,2024-07-30,2024-08-01,2,Approved,19
