return_id,order_id,product_id,return_date,reason,quantity,refund_amount
153,654,63,2023-03-14,Wrong item,2,163.21
154,1638,4,2022-09-09,Defective,3,397.54
155,123,75,2023-09-01,Wrong item,2,382.78
156,740,142,2023-09-06,Wrong item,3,492.77
157,1477,8,2023-01-17,Changed mind,1,406.17
158,66,194,2024-03-23,Defective,3,304.45
159,1221,113,2024-06-20,Changed mind,3,448.28
160,359,24,2022-10-28,Not as described,3,41.91
161,1090,87,2024-07-01,Changed mind,1,310.22
162,552,148,2023-10-05,Defective,2,252.55
163,822,50,2022-07-12,Wrong item,2,29.08
164,950,80,2022-11-30,Changed mind,2,495.16
165,339,176,2022-06-23,Wrong item,2,431.44
166,1501,171,2022-07-23,Defective,3,107.82
167,17,99,2023-12-15,Changed mind,1,377.18
168,105,152,2023-02-23,Defective,3,478.84
169,938,62,2024-11-08,Not as described,3,196.99
170,404,150,2024-07-15,Wrong item,1,289.23
171,353,60,2023-06-18,Not as described,1,288.65
172,1880,24,2022-07-12,Wrong item,3,341.64
173,1553,160,2023-06-16,Changed mind,1,147.42
174,1236,162,2022-12-30,Changed mind,1,195.49
175,1554,173,2023-02-27,Wrong item,2,210.95
176,402,52,2023-11-05,Wrong item,1,136.1
177,1162,121,2024-03-29,Defective,3,268.14
178,94,112,2023-08-04,Defective,3,222.98
179,1428,93,2023-10-11,Wrong item,2,132.05
180,958,144,2023-02-25,Not as described,3,472.91
181,916,142,2024-01-05,Changed mind,1,230.39
182,466,53,2024-01-26,Defective,3,432.36
183,1874,42,2024-04-03,Changed mind,2,423.33
184,1513,3,2023-07-23,Not as described,3,438.08
185,1004,109,2023-10-02,Changed mind,1,168.13
186,1858,25,2024-10-19,Not as described,2,31.95
187,291,118,2022-11-11,Wrong item,1,28.44
188,1730,152,2024-01-26,Changed mind,1,279.73
189,1991,117,2023-05-09,Changed mind,2,372.39
190,1209,157,2024-06-01,Not as described,3,481.81
191,645,111,2024-09-07,Changed mind,2,18.04
192,553,180,2022-10-05,Not as described,3,428.14
193,1615,165,2022-04-15,Not as described,3,35.23
194,1889,67,2024-08-18,Defective,1,22.9
195,708,195,2023-05-15,Changed mind,3,466.85
196,1366,115,2022-09-27,Changed mind,2,245.41
197,1288,92,2024-07-05,Not as described,3,169.64
198,1986,168,2024-01-23,Defective,3,366.71
199,1405,109,2022-04-10,Defective,2,250.78
200,495,75,2023-08-17,Wrong item,1,149.2
