training_id,employee_id,program_name,provider,start_date,completion_date,status,cost
141,250,Leadership Essentials,Pluralsight,2024-01-19,2023-05-16,In Progress,932.32
142,177,Leadership Essentials,LinkedIn Learning,2024-01-03,,Completed,2087.19
143,184,Cybersecurity Awareness,Pluralsight,2023-07-13,2023-09-06,Completed,157.03
144,240,AWS Cloud Practitioner,Pluralsight,2024-02-08,2023-04-21,Enrolled,1576.51
145,274,Excel Advanced,Udemy,2024-06-16,2023-04-12,Completed,1645.59
146,272,AWS Cloud Practitioner,Internal,2023-06-23,2024-11-29,Enrolled,2478.38
147,17,Project Management Professional,Coursera,2023-11-16,2024-03-01,Completed,1054.14
148,121,Python for Data Science,Coursera,2024-01-22,2023-10-26,Completed,2184.99
149,25,SQL Bootcamp,Coursera,2024-06-09,2023-09-05,Completed,573.18
150,194,Agile & Scrum Fundamentals,Udemy,2024-04-12,,Completed,1513.93
151,219,Design Thinking,LinkedIn Learning,2023-03-02,2023-09-01,Completed,1964.51
152,23,Cybersecurity Awareness,Pluralsight,2023-02-19,2023-09-28,Completed,1015.75
153,73,AWS Cloud Practitioner,Internal,2024-01-10,2023-08-30,Completed,2391.73
154,177,Agile & Scrum Fundamentals,Pluralsight,2024-04-24,2023-12-10,Enrolled,334.82
155,178,Design Thinking,Pluralsight,2024-03-20,2024-04-06,Completed,1170.54
156,32,Python for Data Science,Pluralsight,2024-04-14,,Completed,82.66
157,161,Leadership Essentials,LinkedIn Learning,2023-09-06,,Enrolled,908.33
158,36,Design Thinking,Pluralsight,2023-04-02,2024-04-20,Completed,965.89
159,26,AWS Cloud Practitioner,LinkedIn Learning,2023-10-23,2023-07-28,Completed,174.34
160,66,SQL Bootcamp,Pluralsight,2023-07-07,,Completed,650.75
161,237,Design Thinking,Pluralsight,2023-07-12,2024-10-04,Completed,1740.72
162,189,SQL Bootcamp,Pluralsight,2023-06-21,,Completed,1473.63
163,249,Cybersecurity Awareness,Udemy,2023-10-05,2024-05-15,Completed,1130.34
164,53,AWS Cloud Practitioner,Pluralsight,2024-06-09,2024-10-25,In Progress,2985.96
165,104,SQL Bootcamp,Udemy,2024-03-14,2024-04-09,Completed,1389.49
166,108,Leadership Essentials,Coursera,2023-03-22,,In Progress,773.9
167,265,Project Management Professional,LinkedIn Learning,2023-08-04,2024-12-28,In Progress,576.74
168,155,Excel Advanced,Pluralsight,2023-08-08,2024-01-10,Completed,2337.76
169,170,Project Management Professional,LinkedIn Learning,2024-06-02,2024-11-05,Completed,1303.6
170,267,Agile & Scrum Fundamentals,Pluralsight,2023-05-11,2024-02-16,Enrolled,684.63
171,99,Cybersecurity Awareness,Udemy,2023-12-14,,Completed,236.36
172,101,Excel Advanced,Internal,2024-03-06,2023-02-22,Dropped,1326.03
173,273,Design Thinking,Pluralsight,2023-06-05,2023-10-20,Completed,2889.33
174,244,Cybersecurity Awareness,Internal,2023-04-18,,Completed,2734.51
175,20,Agile & Scrum Fundamentals,Coursera,2023-06-16,,Completed,462.65
176,299,Cybersecurity Awareness,LinkedIn Learning,2023-04-20,,Enrolled,1281.69
177,263,Agile & Scrum Fundamentals,Udemy,2023-07-15,,Completed,815.12
178,135,AWS Cloud Practitioner,Udemy,2024-02-24,2024-11-04,Completed,2244.27
179,66,Leadership Essentials,LinkedIn Learning,2023-09-28,2024-06-01,Completed,1955.71
180,137,Cybersecurity Awareness,Coursera,2024-02-07,2024-04-27,Completed,1525.12
181,17,Leadership Essentials,Coursera,2023-12-28,2023-05-14,Completed,1297.02
182,153,AWS Cloud Practitioner,Udemy,2023-06-29,2024-03-09,Completed,1098.23
183,138,Communication Skills,Pluralsight,2023-02-11,2024-03-03,Enrolled,1709.76
184,97,Leadership Essentials,Coursera,2023-12-16,2024-09-04,Completed,569.17
185,281,Leadership Essentials,LinkedIn Learning,2023-10-28,2023-06-21,Completed,2964.61
186,287,Project Management Professional,Internal,2023-06-15,2023-02-07,Enrolled,2642.58
187,169,Communication Skills,LinkedIn Learning,2023-01-23,2024-09-20,Completed,1886.48
188,274,Communication Skills,Pluralsight,2023-03-22,2024-02-18,Completed,2102.8
189,224,Project Management Professional,Pluralsight,2024-02-06,2024-10-14,Completed,2020.25
190,56,Design Thinking,Coursera,2023-10-25,2024-12-30,Completed,1196.89
191,89,Agile & Scrum Fundamentals,Coursera,2023-01-09,,Completed,1118.75
192,58,Project Management Professional,LinkedIn Learning,2024-06-16,2023-09-11,Enrolled,2767.94
193,108,Cybersecurity Awareness,Udemy,2023-07-27,,Completed,435.17
194,206,Communication Skills,Internal,2024-05-28,2024-07-30,Completed,1641.05
195,138,Agile & Scrum Fundamentals,Coursera,2023-04-02,2023-04-10,Completed,2030.17
196,208,Cybersecurity Awareness,Coursera,2023-11-09,2023-10-18,Enrolled,659.9
197,207,Cybersecurity Awareness,LinkedIn Learning,2023-07-25,,Completed,1344.89
198,34,Python for Data Science,Udemy,2023-02-26,2023-06-28,Completed,1741.15
199,22,SQL Bootcamp,Pluralsight,2023-12-05,2024-10-17,Completed,607.7
200,170,SQL Bootcamp,LinkedIn Learning,2023-07-28,2023-07-15,Completed,822.15
201,142,Cybersecurity Awareness,Udemy,2023-04-14,,In Progress,2897.53
202,281,Communication Skills,Coursera,2024-03-10,,Dropped,64.44
203,263,Leadership Essentials,Pluralsight,2023-02-15,2023-03-21,In Progress,2624.76
204,300,Leadership Essentials,LinkedIn Learning,2023-05-08,2023-12-07,In Progress,910.84
205,184,Python for Data Science,Pluralsight,2023-12-24,,Completed,764.3
206,137,Project Management Professional,LinkedIn Learning,2023-06-15,2024-03-18,Enrolled,2361.61
207,131,Leadership Essentials,Udemy,2023-06-25,2023-12-08,Completed,994.79
208,137,Agile & Scrum Fundamentals,Pluralsight,2023-07-02,2023-09-05,Completed,2185.5
209,7,Excel Advanced,Udemy,2023-09-17,,Dropped,1387.97
210,142,AWS Cloud Practitioner,LinkedIn Learning,2023-08-31,2024-03-16,Completed,1045.39
211,96,Project Management Professional,Internal,2024-05-30,2023-02-20,Completed,1666.85
212,282,Leadership Essentials,Udemy,2023-06-06,2024-02-29,Completed,2810.45
213,82,SQL Bootcamp,Coursera,2024-05-14,,Completed,2297.46
214,240,Design Thinking,Coursera,2024-03-21,2024-02-02,Enrolled,349.47
215,163,Design Thinking,Coursera,2023-03-18,2024-11-26,Completed,396.03
216,29,AWS Cloud Practitioner,LinkedIn Learning,2023-07-28,2024-10-05,Completed,1617.58
217,27,Excel Advanced,Udemy,2024-04-23,2024-01-20,Completed,581.21
218,189,Agile & Scrum Fundamentals,Internal,2023-03-30,2023-03-09,In Progress,1003.83
219,123,Agile & Scrum Fundamentals,Coursera,2023-01-08,,Enrolled,1043.16
220,196,Design Thinking,Internal,2023-10-06,2023-10-16,Enrolled,248.09
221,121,Leadership Essentials,Coursera,2024-01-01,,Completed,719.07
222,149,SQL Bootcamp,LinkedIn Learning,2023-06-11,,In Progress,632.62
223,189,Excel Advanced,Udemy,2023-01-19,2024-10-22,Completed,658.72
224,160,Design Thinking,Coursera,2023-09-10,,Enrolled,1939.75
225,101,Communication Skills,Internal,2024-05-23,,Completed,1285.21
226,101,Cybersecurity Awareness,Coursera,2023-11-05,2023-08-08,Completed,1934.79
227,109,AWS Cloud Practitioner,LinkedIn Learning,2023-08-10,2024-07-08,In Progress,2189.27
228,229,Design Thinking,Pluralsight,2023-08-05,2024-10-03,Enrolled,1098.09
229,225,Project Management Professional,LinkedIn Learning,2023-09-03,2023-09-15,Completed,401.89
230,255,Python for Data Science,Internal,2023-10-29,,Completed,310.59
231,101,Leadership Essentials,LinkedIn Learning,2023-10-15,,Completed,2940.88
232,258,Agile & Scrum Fundamentals,Coursera,2024-04-08,2023-02-15,Completed,630.64
233,255,Python for Data Science,Udemy,2023-10-03,2023-10-17,Completed,98.72
234,178,AWS Cloud Practitioner,Internal,2024-02-11,2024-03-30,Dropped,543.04
235,79,Leadership Essentials,Udemy,2024-02-20,2023-10-26,In Progress,2826.37
236,104,Communication Skills,Internal,2024-03-04,2024-06-07,In Progress,1328.82
237,157,Communication Skills,Internal,2023-07-10,2024-07-11,Completed,623.72
238,46,Agile & Scrum Fundamentals,Udemy,2023-08-14,,In Progress,1704.78
239,282,AWS Cloud Practitioner,Coursera,2024-04-08,,In Progress,1280.25
240,248,Leadership Essentials,Pluralsight,2024-01-30,,Enrolled,885.19
241,49,SQL Bootcamp,LinkedIn Learning,2023-05-03,2024-05-16,Completed,2855.1
242,213,Python for Data Science,Udemy,2023-10-17,2024-01-01,Dropped,493.19
243,15,Communication Skills,Pluralsight,2023-07-08,2024-06-28,Completed,974.49
244,207,Leadership Essentials,LinkedIn Learning,2023-03-28,2024-09-02,Enrolled,1178.48
245,189,Design Thinking,Udemy,2023-07-14,,Completed,2850.44
246,271,Design Thinking,Coursera,2024-05-31,2023-03-17,Completed,94.05
247,29,Agile & Scrum Fundamentals,LinkedIn Learning,2024-05-09,2023-04-14,Completed,195.34
248,241,Agile & Scrum Fundamentals,Coursera,2023-05-23,2024-07-25,In Progress,2880.92
249,294,Cybersecurity Awareness,Coursera,2023-05-23,2023-07-08,Dropped,153.82
250,79,AWS Cloud Practitioner,Udemy,2023-02-16,2023-10-07,Completed,1682.67
251,114,Agile & Scrum Fundamentals,Pluralsight,2024-01-03,,In Progress,2874.06
252,299,Project Management Professional,Internal,2023-09-07,2024-12-09,Completed,514.14
253,283,Project Management Professional,Internal,2024-03-24,2023-07-11,Completed,72.68
254,283,Excel Advanced,Udemy,2023-05-14,2024-02-28,Enrolled,2286.01
255,209,Cybersecurity Awareness,Coursera,2023-11-08,2023-10-25,In Progress,1161.57
256,236,Excel Advanced,Udemy,2023-01-25,2023-07-09,Enrolled,1177.27
257,34,Excel Advanced,Pluralsight,2023-11-02,2024-10-22,In Progress,1783.44
258,225,AWS Cloud Practitioner,Coursera,2023-06-27,2024-07-11,Completed,665.03
259,3,SQL Bootcamp,LinkedIn Learning,2023-09-01,2023-09-12,Completed,2999.05
260,44,Design Thinking,Pluralsight,2023-04-29,2023-04-19,In Progress,1917.27
261,211,Agile & Scrum Fundamentals,Udemy,2023-01-22,2023-02-02,Dropped,2271.47
262,144,Design Thinking,LinkedIn Learning,2023-02-24,2023-11-17,Completed,2626.3
263,226,Leadership Essentials,Pluralsight,2023-06-20,2024-11-27,Dropped,469.15
264,267,Excel Advanced,LinkedIn Learning,2023-04-25,2024-03-26,Completed,1164.41
265,110,Communication Skills,Udemy,2023-10-07,2024-07-17,In Progress,2311.75
266,59,Communication Skills,Udemy,2023-05-16,2023-05-18,Completed,91.15
267,164,Project Management Professional,LinkedIn Learning,2023-03-20,,Completed,2785.24
268,90,Communication Skills,LinkedIn Learning,2023-10-02,,Completed,1112.37
269,274,Agile & Scrum Fundamentals,Pluralsight,2023-12-25,,Completed,978.72
270,265,Leadership Essentials,Coursera,2024-02-26,2023-11-12,In Progress,1261.1
271,257,Excel Advanced,Internal,2023-04-19,2023-07-25,In Progress,1878.32
272,52,Python for Data Science,Udemy,2023-04-14,2024-07-18,In Progress,2774.97
273,175,Leadership Essentials,Coursera,2024-01-12,2023-06-04,Enrolled,206.88
274,147,Communication Skills,Coursera,2023-05-15,,In Progress,787.45
275,173,Design Thinking,Internal,2024-06-05,,Completed,337.26
276,139,Python for Data Science,Pluralsight,2023-04-27,2023-10-07,Completed,722.03
277,42,Communication Skills,Internal,2024-01-27,2023-06-27,Completed,1221.28
278,299,AWS Cloud Practitioner,Internal,2024-06-25,2024-08-22,Completed,2618.92
279,263,Project Management Professional,Coursera,2023-03-20,2023-08-23,Enrolled,1618.77
280,158,Project Management Professional,Internal,2023-02-16,2023-05-02,Completed,2463.26
281,131,Project Management Professional,Udemy,2023-01-02,2024-08-22,Completed,2993.69
282,85,Leadership Essentials,Udemy,2023-04-27,2023-12-03,Enrolled,559.46
283,48,Excel Advanced,Udemy,2023-01-22,2023-11-30,Completed,1722.9
284,273,Design Thinking,LinkedIn Learning,2023-05-31,2024-08-30,Completed,935.95
285,9,Python for Data Science,Coursera,2024-04-07,2024-10-16,Completed,866.44
286,4,Python for Data Science,LinkedIn Learning,2023-04-17,2023-05-03,In Progress,634.42
287,23,Agile & Scrum Fundamentals,Coursera,2024-03-29,2024-03-06,Completed,62.26
288,55,Communication Skills,Internal,2023-10-02,2023-12-16,In Progress,1638.48
289,70,Python for Data Science,Pluralsight,2024-06-18,2024-07-28,Completed,1593.62
290,37,SQL Bootcamp,Coursera,2024-02-03,2024-10-11,Completed,2353.19
291,131,Excel Advanced,Coursera,2023-12-01,2023-06-26,Enrolled,961.81
292,237,AWS Cloud Practitioner,Coursera,2023-08-16,2024-03-26,Enrolled,1967.87
293,207,AWS Cloud Practitioner,Coursera,2023-03-18,2024-12-08,Dropped,1773.43
294,151,Leadership Essentials,Internal,2023-06-11,2023-04-11,Enrolled,134.3
295,225,Python for Data Science,Internal,2024-03-09,2024-07-24,Dropped,766.21
296,225,AWS Cloud Practitioner,Coursera,2024-01-07,2024-09-12,Completed,1070.18
297,129,Python for Data Science,LinkedIn Learning,2024-05-07,,Enrolled,1130.25
298,234,Leadership Essentials,Udemy,2024-03-02,2024-01-21,Completed,2725.19
299,143,Leadership Essentials,Internal,2023-11-20,2024-04-05,Completed,1038.75
300,58,Leadership Essentials,Coursera,2023-05-24,,Completed,358.47
301,10,Cybersecurity Awareness,Pluralsight,2023-07-16,2024-09-06,Completed,1911.88
302,96,Communication Skills,Udemy,2024-01-06,2024-01-14,Completed,1408.26
303,41,Cybersecurity Awareness,Coursera,2023-09-01,,Enrolled,1841.83
304,263,Excel Advanced,Pluralsight,2023-02-18,2024-04-03,Completed,1321.79
305,265,Agile & Scrum Fundamentals,Coursera,2023-09-16,2023-06-29,Completed,1828.6
306,254,SQL Bootcamp,LinkedIn Learning,2023-08-11,,Enrolled,2088.27
307,2,Leadership Essentials,Udemy,2023-08-13,2024-08-11,Completed,690.78
308,290,Python for Data Science,LinkedIn Learning,2023-01-08,,Completed,2449.05
309,216,Cybersecurity Awareness,Pluralsight,2023-11-13,2024-12-04,Completed,2506.79
310,55,Excel Advanced,Coursera,2023-12-14,2023-02-01,Completed,1088.24
311,281,Project Management Professional,Coursera,2023-02-17,2024-10-18,Completed,2062.48
312,237,Design Thinking,Pluralsight,2023-01-08,2023-08-17,Completed,2583.29
313,295,Leadership Essentials,Pluralsight,2023-07-17,2024-04-06,Enrolled,1615.36
314,277,Agile & Scrum Fundamentals,Internal,2023-05-17,2024-03-31,Completed,2116.39
315,200,Project Management Professional,Internal,2023-03-10,2024-05-14,Completed,1813.29
316,293,Excel Advanced,Udemy,2024-01-29,2024-02-02,Enrolled,2136.58
317,237,SQL Bootcamp,Pluralsight,2023-04-01,2023-10-30,Completed,457.86
318,168,AWS Cloud Practitioner,Internal,2024-04-28,,Completed,1623.0
319,242,Cybersecurity Awareness,LinkedIn Learning,2023-02-11,2023-07-17,Completed,2535.65
320,274,Leadership Essentials,Pluralsight,2024-06-29,2024-03-01,Completed,2884.75
321,189,Python for Data Science,Coursera,2023-08-20,2023-05-27,Dropped,642.66
322,237,Python for Data Science,Internal,2023-10-13,2023-04-24,Completed,546.31
323,52,Agile & Scrum Fundamentals,LinkedIn Learning,2023-11-14,2023-07-29,Completed,2304.59
324,39,Excel Advanced,Coursera,2023-10-27,2023-12-17,Completed,1340.52
325,101,Cybersecurity Awareness,Internal,2023-07-09,2024-12-11,Completed,2751.27
326,120,Python for Data Science,Pluralsight,2023-01-12,2023-12-24,In Progress,964.16
327,257,Excel Advanced,Udemy,2023-07-02,2023-03-16,Enrolled,1801.91
328,152,Design Thinking,Internal,2024-03-04,,Completed,2167.96
329,97,Python for Data Science,Internal,2023-01-04,2023-04-19,In Progress,2177.37
330,257,Excel Advanced,Internal,2024-04-01,2024-05-22,Completed,1744.09
331,61,Leadership Essentials,Coursera,2023-08-09,2024-01-26,Completed,2910.14
332,164,Project Management Professional,Internal,2023-05-17,,Dropped,2192.35
