asset_id,asset_name,asset_type,ip_address,criticality,owner,last_scan_date,risk_level
64,app-gj74,Application,10.0.206.15,Low,Security,2024-06-26,High
65,db-HM36,Network Device,10.78.197.125,High,Security,2024-03-27,High
66,db-YI52,Cloud Resource,192.168.144.103,Low,Engineering,2024-12-31,High
67,srv-nL04,Network Device,10.59.227.15,High,DevOps,2025-01-11,Low
68,db-iz60,Endpoint,192.168.168.63,High,IT Ops,2024-05-21,High
69,app-xi77,Endpoint,192.168.214.100,High,DevOps,2024-12-19,High
70,vpc-Jd84,Application,10.50.129.224,Medium,IT Ops,2024-07-11,Medium
71,srv-zE63,Application,192.168.161.84,High,Security,2025-01-01,Medium
72,db-PJ24,Cloud Resource,10.124.251.72,Low,IT Ops,2024-06-27,Medium
73,fw-rk76,Server,192.168.117.199,Medium,IT Ops,2024-10-21,Low
74,vpc-an93,Cloud Resource,192.168.183.62,Low,Security,2024-02-02,Medium
75,fw-xi39,Network Device,192.168.203.84,Medium,Engineering,2024-09-04,Medium
76,vpc-PI08,Network Device,172.30.249.195,Medium,IT Ops,2024-01-02,High
77,app-Tb34,Endpoint,10.250.72.156,Medium,DevOps,2024-07-11,High
78,fw-vr47,Server,192.168.230.40,High,DevOps,2025-01-28,Low
79,vpc-rW70,Cloud Resource,192.168.20.103,Critical,Engineering,2024-03-18,Low
80,fw-DI96,Cloud Resource,10.186.172.15,Medium,Engineering,2024-08-30,High
81,vpc-KE65,Endpoint,172.28.81.122,High,DevOps,2024-11-05,Medium
82,srv-Qm10,Endpoint,192.168.175.173,Low,Engineering,2024-03-22,Low
83,fw-zI73,Server,192.168.26.52,Medium,Engineering,2024-04-20,High
84,app-sZ80,Cloud Resource,10.254.107.91,Medium,Engineering,2024-10-05,Medium
85,app-NO56,Cloud Resource,172.17.3.169,High,DevOps,2024-04-01,Medium
86,db-Zg72,Endpoint,192.168.233.162,Critical,DevOps,2024-01-25,High
87,app-RU71,Server,172.19.58.78,Medium,IT Ops,2024-12-15,Medium
88,srv-GD65,Cloud Resource,10.126.151.42,Medium,Security,2024-11-26,Medium
89,vpc-hc41,Cloud Resource,172.26.158.55,Low,IT Ops,2024-05-11,Low
90,vpc-TA78,Endpoint,172.19.136.52,High,Engineering,2024-08-17,Low
91,db-uZ26,Application,172.18.34.53,Medium,DevOps,2025-01-04,Medium
92,srv-XL82,Network Device,10.251.40.149,High,Engineering,2024-04-16,High
93,db-PI89,Cloud Resource,192.168.84.71,Medium,Security,2024-12-13,Low
94,vpc-RL49,Server,10.207.4.241,Low,Engineering,2024-08-29,Medium
95,fw-sg08,Endpoint,192.168.171.98,Medium,DevOps,2024-08-05,Low
96,db-DT53,Cloud Resource,10.142.99.41,High,IT Ops,2024-05-25,Medium
97,vpc-An37,Application,10.188.160.62,Medium,DevOps,2024-05-30,Medium
98,app-Fb96,Network Device,172.29.237.55,Medium,DevOps,2024-06-10,Low
99,db-qJ94,Network Device,192.168.48.226,Medium,Security,2024-10-27,High
100,app-aa44,Endpoint,10.139.32.2,Medium,IT Ops,2024-06-12,High
