benefit_id,employee_id,benefit_type,plan_name,enrollment_date,employer_contribution,employee_contribution
172,70,Vision,MetLife Vision,2024-06-01,587.9,171.19
173,263,Life Insurance,Aetna HMO,2021-09-25,494.41,207.39
174,129,Dental,Aetna HMO,2022-11-02,494.94,69.61
175,88,Vision,Blue Cross PPO,2024-03-06,102.22,194.64
176,243,Health,Blue Cross PPO,2020-08-12,340.59,160.25
177,252,Health,Fidelity 401k,2018-07-21,548.12,162.63
178,76,Vision,MetLife Vision,2018-02-25,353.13,267.24
179,288,Life Insurance,Fidelity 401k,2024-06-16,180.83,202.4
180,278,Vision,Blue Cross PPO,2022-01-06,142.13,56.04
181,262,Retirement,MetLife Vision,2018-07-06,110.77,171.76
182,234,Vision,Prudential Life,2021-02-23,559.16,30.84
183,227,Health,Fidelity 401k,2018-09-13,217.36,88.71
184,257,Retirement,Aetna HMO,2023-04-15,162.92,103.17
185,11,Health,Aetna HMO,2021-07-18,401.1,127.82
186,143,Life Insurance,Aetna HMO,2021-01-07,480.04,209.59
187,289,Retirement,Prudential Life,2022-10-13,414.35,22.32
188,160,Dental,Prudential Life,2021-10-23,436.58,276.94
189,166,Retirement,Blue Cross PPO,2021-05-22,319.66,260.86
190,255,Health,Blue Cross PPO,2023-03-31,592.44,180.06
191,43,Health,Aetna HMO,2022-02-10,194.33,120.48
192,115,Vision,Prudential Life,2019-09-01,157.2,280.03
193,92,Dental,Fidelity 401k,2018-02-15,578.83,225.99
194,45,Vision,Fidelity 401k,2023-12-24,581.15,279.28
195,223,Retirement,Aetna HMO,2019-03-28,591.71,194.72
196,114,Life Insurance,MetLife Vision,2018-08-20,287.69,19.29
197,156,Dental,Blue Cross PPO,2019-04-06,522.04,209.05
198,257,Life Insurance,Fidelity 401k,2020-11-17,398.7,268.34
199,76,Retirement,Fidelity 401k,2021-10-07,158.8,61.59
200,202,Retirement,MetLife Vision,2021-06-05,374.36,83.58
201,46,Dental,MetLife Vision,2020-12-16,111.6,229.35
202,1,Health,Prudential Life,2024-02-18,129.05,35.12
203,56,Health,MetLife Vision,2020-10-12,377.62,54.35
204,139,Dental,Aetna HMO,2022-04-24,273.67,79.65
205,292,Vision,Blue Cross PPO,2023-10-06,403.93,196.9
206,62,Life Insurance,MetLife Vision,2023-08-13,426.96,99.1
207,167,Health,MetLife Vision,2019-04-07,273.18,261.75
208,206,Life Insurance,Prudential Life,2018-06-17,546.25,269.47
209,139,Vision,Prudential Life,2020-11-16,366.92,178.34
210,15,Vision,Prudential Life,2021-01-22,124.7,14.01
211,36,Health,Blue Cross PPO,2022-09-02,393.28,120.22
212,277,Health,Prudential Life,2024-01-04,450.76,56.46
213,98,Health,MetLife Vision,2023-04-12,394.55,227.5
214,200,Retirement,Fidelity 401k,2018-03-12,481.13,250.79
215,122,Health,MetLife Vision,2021-11-22,101.46,169.18
216,295,Life Insurance,Blue Cross PPO,2022-10-30,239.04,154.77
217,31,Retirement,MetLife Vision,2019-03-28,128.69,31.37
218,193,Vision,Blue Cross PPO,2018-03-14,502.25,297.84
219,84,Health,Prudential Life,2022-04-16,264.08,217.3
220,149,Life Insurance,Fidelity 401k,2021-12-20,445.29,213.84
221,101,Life Insurance,Aetna HMO,2018-12-15,362.62,260.31
222,223,Retirement,Fidelity 401k,2020-11-14,542.19,289.37
223,131,Retirement,Prudential Life,2019-03-11,496.52,230.69
224,211,Life Insurance,Prudential Life,2023-10-07,466.04,2.17
225,286,Retirement,Aetna HMO,2019-12-22,129.46,179.47
226,21,Dental,Blue Cross PPO,2023-07-03,413.74,157.57
227,238,Retirement,Aetna HMO,2020-10-19,582.41,51.84
228,172,Life Insurance,Prudential Life,2019-04-12,142.43,222.18
229,60,Dental,MetLife Vision,2023-03-13,309.31,264.81
230,49,Life Insurance,Blue Cross PPO,2023-01-17,598.74,257.9
231,160,Dental,Fidelity 401k,2022-05-13,334.15,234.96
232,10,Health,Fidelity 401k,2019-07-24,502.24,103.56
233,228,Retirement,Fidelity 401k,2023-07-29,146.23,101.58
234,153,Vision,Prudential Life,2021-05-19,498.71,132.13
235,181,Health,Prudential Life,2022-05-21,131.88,172.09
236,10,Health,Fidelity 401k,2018-04-25,446.36,176.24
237,11,Vision,Fidelity 401k,2021-05-16,255.63,171.44
238,88,Vision,Aetna HMO,2019-03-25,310.5,73.85
239,234,Dental,Prudential Life,2018-07-17,328.74,121.11
240,206,Retirement,Fidelity 401k,2019-09-14,523.42,193.28
241,94,Health,Aetna HMO,2019-03-02,518.88,229.91
242,247,Life Insurance,Prudential Life,2023-07-16,104.53,276.32
243,178,Life Insurance,Blue Cross PPO,2019-02-24,598.98,83.24
244,30,Retirement,MetLife Vision,2024-03-05,216.89,67.12
245,22,Life Insurance,MetLife Vision,2023-09-27,124.41,30.88
246,72,Dental,MetLife Vision,2019-05-06,482.01,125.53
247,88,Dental,Prudential Life,2020-07-26,279.06,271.1
248,1,Health,MetLife Vision,2023-01-07,186.7,125.0
249,172,Life Insurance,Blue Cross PPO,2020-04-15,163.59,290.96
250,51,Dental,Fidelity 401k,2020-11-30,568.88,247.52
251,3,Health,Prudential Life,2019-06-09,206.92,193.83
252,68,Health,Blue Cross PPO,2019-11-12,262.15,275.26
253,115,Health,Fidelity 401k,2022-06-23,335.52,92.66
254,233,Health,Prudential Life,2022-03-05,210.04,33.96
255,40,Vision,MetLife Vision,2021-04-23,448.54,65.98
256,213,Dental,Prudential Life,2023-03-03,269.74,205.93
257,261,Vision,Prudential Life,2020-08-27,218.88,86.31
258,78,Health,Fidelity 401k,2019-09-07,510.25,261.14
259,213,Vision,Fidelity 401k,2023-11-04,333.41,18.94
260,197,Dental,Prudential Life,2020-05-07,459.33,62.25
261,68,Dental,Blue Cross PPO,2022-11-13,479.08,165.62
262,263,Health,MetLife Vision,2018-01-13,147.83,46.78
263,43,Vision,Fidelity 401k,2023-06-28,231.43,243.74
264,45,Dental,Fidelity 401k,2019-02-16,189.2,163.42
265,98,Dental,Fidelity 401k,2018-03-04,527.44,23.39
266,295,Health,Prudential Life,2021-05-30,233.08,209.2
267,176,Vision,MetLife Vision,2022-11-25,468.44,278.38
268,193,Dental,Fidelity 401k,2020-04-05,305.49,249.99
269,53,Retirement,Blue Cross PPO,2019-07-13,121.6,91.52
270,188,Retirement,Fidelity 401k,2019-05-16,416.03,290.44
271,175,Retirement,Fidelity 401k,2019-12-09,204.1,1.74
272,67,Dental,Fidelity 401k,2020-01-01,164.53,290.37
273,231,Health,MetLife Vision,2022-04-27,255.56,296.41
274,99,Vision,Blue Cross PPO,2023-01-24,413.44,47.96
275,34,Health,Blue Cross PPO,2021-07-21,166.74,296.6
276,83,Retirement,Blue Cross PPO,2024-06-27,206.16,16.66
277,242,Retirement,Fidelity 401k,2019-05-30,123.73,285.36
278,60,Health,MetLife Vision,2020-10-02,137.58,23.34
279,59,Health,Fidelity 401k,2022-05-27,117.93,246.22
280,96,Health,Fidelity 401k,2021-10-26,514.03,269.54
281,274,Retirement,Fidelity 401k,2018-12-31,110.43,164.49
282,184,Dental,MetLife Vision,2020-01-14,167.73,231.76
283,272,Dental,Prudential Life,2020-01-19,468.91,2.45
284,175,Dental,Aetna HMO,2021-06-13,233.93,163.14
285,12,Retirement,MetLife Vision,2022-11-20,278.45,141.94
286,205,Vision,Fidelity 401k,2020-05-23,385.89,288.78
287,85,Life Insurance,Prudential Life,2019-02-14,228.16,70.81
288,38,Dental,Fidelity 401k,2021-11-03,441.87,77.75
289,134,Life Insurance,Blue Cross PPO,2018-11-09,303.1,218.12
290,136,Retirement,Prudential Life,2019-05-09,379.01,43.5
291,110,Vision,Fidelity 401k,2024-06-04,499.16,83.53
292,155,Life Insurance,Fidelity 401k,2023-11-22,277.55,199.46
293,159,Vision,Fidelity 401k,2018-11-26,449.82,53.14
294,189,Retirement,Aetna HMO,2019-01-17,228.36,113.83
295,29,Retirement,Blue Cross PPO,2020-06-17,201.49,173.8
296,139,Dental,Prudential Life,2019-06-16,320.34,235.73
297,204,Health,Aetna HMO,2020-05-16,466.68,105.48
298,136,Vision,Aetna HMO,2021-10-04,462.2,233.48
299,107,Retirement,Aetna HMO,2018-02-12,512.05,238.19
300,226,Dental,Blue Cross PPO,2023-03-03,380.82,72.36
301,110,Vision,MetLife Vision,2024-04-09,297.57,15.26
302,246,Vision,Aetna HMO,2024-04-25,157.88,179.81
303,299,Dental,Prudential Life,2019-10-10,358.5,205.22
304,43,Life Insurance,Aetna HMO,2021-08-05,106.58,70.87
305,257,Vision,Prudential Life,2021-08-11,269.86,108.97
306,201,Life Insurance,Blue Cross PPO,2021-11-17,146.96,25.99
307,213,Dental,MetLife Vision,2023-08-20,266.83,230.87
308,209,Dental,Blue Cross PPO,2023-04-07,567.37,211.87
309,202,Dental,MetLife Vision,2019-12-27,254.88,245.41
310,64,Vision,Fidelity 401k,2022-01-25,304.77,247.68
311,180,Health,Fidelity 401k,2023-01-27,271.48,195.06
312,36,Vision,Fidelity 401k,2022-04-26,474.8,73.23
313,134,Vision,Fidelity 401k,2021-03-08,266.82,0.99
314,65,Dental,Aetna HMO,2018-10-28,553.76,292.23
315,267,Life Insurance,Fidelity 401k,2024-04-12,150.07,23.67
316,28,Vision,Prudential Life,2020-09-30,127.96,172.18
317,120,Health,Prudential Life,2019-09-15,426.86,55.6
318,21,Dental,Fidelity 401k,2018-10-10,504.71,128.02
319,225,Health,MetLife Vision,2023-12-13,200.66,164.25
320,283,Dental,MetLife Vision,2022-08-02,324.18,18.11
321,10,Health,Prudential Life,2023-05-24,343.87,98.32
322,151,Life Insurance,MetLife Vision,2020-01-29,282.67,248.74
323,180,Life Insurance,Blue Cross PPO,2019-04-18,170.56,65.22
324,171,Dental,Blue Cross PPO,2019-04-30,180.9,66.52
325,102,Retirement,Fidelity 401k,2022-05-12,314.77,66.8
326,32,Retirement,MetLife Vision,2021-09-06,557.86,89.53
327,12,Dental,Blue Cross PPO,2021-01-02,357.51,55.04
328,38,Life Insurance,Fidelity 401k,2021-09-15,576.24,226.39
329,253,Dental,Blue Cross PPO,2021-11-22,287.49,294.21
330,84,Health,MetLife Vision,2024-03-09,519.91,263.77
331,181,Vision,Blue Cross PPO,2019-09-24,293.75,277.42
332,146,Vision,Blue Cross PPO,2021-12-15,583.5,244.92
333,201,Health,MetLife Vision,2019-10-14,174.4,168.16
334,145,Life Insurance,Prudential Life,2020-03-27,580.43,173.99
335,273,Life Insurance,MetLife Vision,2022-05-09,352.72,158.53
336,51,Health,MetLife Vision,2021-10-26,570.3,266.78
337,93,Life Insurance,Fidelity 401k,2021-03-13,577.53,220.28
338,17,Vision,Aetna HMO,2020-05-15,473.4,127.57
339,131,Health,MetLife Vision,2020-08-14,426.3,5.36
340,83,Retirement,Fidelity 401k,2019-07-25,548.05,13.52
341,179,Health,Aetna HMO,2021-04-18,501.95,1.4
342,227,Life Insurance,Prudential Life,2020-07-17,401.05,132.85
343,288,Life Insurance,Blue Cross PPO,2018-07-13,565.52,152.35
344,300,Health,Fidelity 401k,2018-04-12,470.58,259.28
345,88,Vision,Prudential Life,2023-01-06,361.36,189.89
346,158,Health,Fidelity 401k,2023-08-08,583.92,78.08
347,263,Life Insurance,MetLife Vision,2023-06-22,507.4,227.82
348,40,Vision,MetLife Vision,2019-10-20,166.9,34.39
349,103,Retirement,Prudential Life,2018-05-19,414.28,119.39
350,269,Vision,Blue Cross PPO,2021-06-16,449.38,254.04
351,121,Dental,Blue Cross PPO,2021-06-23,335.47,192.34
352,52,Vision,Blue Cross PPO,2021-07-11,427.24,243.11
353,96,Life Insurance,Fidelity 401k,2019-07-22,333.63,283.38
354,195,Retirement,MetLife Vision,2021-02-13,151.23,100.84
355,228,Vision,MetLife Vision,2022-03-17,481.66,132.23
356,176,Retirement,Aetna HMO,2022-12-21,150.66,88.96
357,204,Health,Blue Cross PPO,2019-01-22,578.69,241.54
358,189,Life Insurance,Fidelity 401k,2019-07-21,255.36,271.67
359,61,Retirement,Prudential Life,2023-07-17,250.4,164.29
360,162,Retirement,Aetna HMO,2021-01-22,466.05,61.21
361,167,Health,Blue Cross PPO,2019-05-18,526.02,8.12
362,286,Life Insurance,Aetna HMO,2019-04-26,492.47,171.48
363,35,Vision,Blue Cross PPO,2018-08-07,142.42,222.46
364,24,Health,MetLife Vision,2021-06-05,333.71,210.08
365,48,Vision,MetLife Vision,2024-05-18,318.1,298.21
366,141,Dental,Aetna HMO,2023-08-13,128.25,221.68
367,89,Vision,Fidelity 401k,2024-01-17,177.06,256.75
368,245,Health,Prudential Life,2018-04-13,474.71,12.96
369,93,Retirement,Prudential Life,2022-01-26,324.31,219.68
370,210,Vision,Aetna HMO,2021-09-13,237.26,203.06
371,237,Health,Aetna HMO,2022-05-01,412.26,32.42
372,164,Vision,MetLife Vision,2022-07-20,318.19,187.76
373,1,Retirement,Aetna HMO,2024-05-30,329.56,39.46
374,121,Health,Prudential Life,2022-11-28,588.18,152.63
375,211,Dental,Aetna HMO,2021-05-24,477.45,82.99
376,119,Life Insurance,MetLife Vision,2022-01-14,537.07,14.04
377,89,Life Insurance,Blue Cross PPO,2020-04-03,577.2,215.79
378,165,Retirement,Prudential Life,2023-08-17,122.96,41.53
379,156,Vision,Blue Cross PPO,2019-09-22,325.37,60.05
380,68,Retirement,Prudential Life,2021-02-04,408.97,88.82
381,151,Retirement,Prudential Life,2018-08-15,231.99,136.71
382,42,Vision,Aetna HMO,2023-07-03,416.49,50.02
383,10,Retirement,Blue Cross PPO,2024-01-21,485.14,259.23
384,128,Life Insurance,Aetna HMO,2018-02-16,579.0,4.88
385,89,Life Insurance,MetLife Vision,2024-01-06,104.28,191.36
386,283,Dental,Fidelity 401k,2022-09-25,257.03,94.05
387,3,Life Insurance,Aetna HMO,2019-09-04,190.49,51.01
388,66,Life Insurance,Prudential Life,2019-02-28,299.36,6.26
389,164,Life Insurance,Aetna HMO,2019-12-16,458.45,44.84
390,86,Retirement,Aetna HMO,2020-07-12,252.48,41.46
391,37,Retirement,Blue Cross PPO,2023-10-14,207.14,157.51
392,42,Vision,Prudential Life,2021-01-15,370.97,200.81
393,85,Dental,Aetna HMO,2019-06-04,188.23,281.83
394,155,Retirement,MetLife Vision,2019-05-05,400.86,170.12
395,42,Health,Prudential Life,2019-01-20,483.04,120.01
396,76,Health,Aetna HMO,2020-07-17,323.05,225.82
397,163,Dental,Blue Cross PPO,2020-11-30,272.37,107.16
398,155,Vision,MetLife Vision,2019-06-22,177.17,8.37
399,27,Vision,Prudential Life,2023-07-10,501.07,231.68
400,85,Dental,Fidelity 401k,2023-01-28,200.32,65.51
401,130,Life Insurance,Fidelity 401k,2018-08-02,362.33,234.99
402,225,Vision,Aetna HMO,2019-08-18,467.11,225.53
403,27,Retirement,Blue Cross PPO,2024-03-05,223.26,191.72
404,233,Retirement,Aetna HMO,2022-11-16,473.33,114.55
405,187,Life Insurance,Fidelity 401k,2023-10-27,320.88,145.96
406,48,Vision,MetLife Vision,2020-08-17,213.14,99.72
407,114,Life Insurance,Aetna HMO,2023-08-06,482.93,176.95
408,20,Dental,Aetna HMO,2023-12-28,461.68,297.62
409,150,Health,Fidelity 401k,2022-11-25,397.07,86.83
410,235,Retirement,Blue Cross PPO,2019-11-23,331.67,221.51
411,269,Health,Aetna HMO,2018-06-29,330.71,189.6
412,80,Vision,Prudential Life,2018-05-28,539.65,239.27
413,181,Dental,Aetna HMO,2020-12-09,428.51,226.31
414,168,Retirement,Blue Cross PPO,2023-01-17,458.31,269.39
415,229,Dental,Blue Cross PPO,2018-11-20,337.95,218.07
416,12,Health,Blue Cross PPO,2023-01-02,260.59,99.03
417,201,Retirement,MetLife Vision,2021-04-20,339.96,110.51
418,23,Retirement,MetLife Vision,2021-05-28,533.25,78.13
419,261,Life Insurance,Blue Cross PPO,2023-07-04,574.6,210.3
420,250,Retirement,Prudential Life,2023-10-12,126.16,5.44
421,85,Vision,Prudential Life,2019-07-10,209.56,202.92
422,1,Health,Prudential Life,2020-05-28,212.18,36.2
423,274,Retirement,Blue Cross PPO,2021-08-04,453.43,237.0
424,10,Dental,Prudential Life,2020-03-06,127.39,252.05
425,261,Health,Aetna HMO,2022-02-21,234.74,31.63
426,128,Retirement,Aetna HMO,2019-03-24,175.5,213.36
427,190,Health,Fidelity 401k,2024-03-06,549.64,188.08
428,280,Health,Prudential Life,2024-01-26,349.32,109.49
429,290,Retirement,Aetna HMO,2019-07-20,447.1,192.64
430,69,Retirement,Prudential Life,2018-06-09,410.97,42.98
431,268,Dental,Prudential Life,2024-01-19,298.05,262.27
432,49,Health,MetLife Vision,2020-01-02,115.61,285.38
433,236,Life Insurance,MetLife Vision,2020-03-15,553.9,230.51
434,278,Health,MetLife Vision,2024-06-28,133.7,171.43
435,132,Life Insurance,MetLife Vision,2023-05-19,119.53,194.71
