order_id,customer_id,rep_id,order_date,status,channel,discount_pct,shipping_cost,region_id
193,12,8,2022-03-30,Processing,Phone,10.0,4.03,5
194,21,29,2022-10-28,Pending,Online,0.0,23.06,5
195,491,13,2022-02-08,Shipped,Online,0.0,11.23,4
196,445,16,2022-12-16,Processing,In-Store,10.0,3.57,5
197,421,25,2023-01-08,Cancelled,Phone,10.0,6.61,3
198,473,15,2022-05-21,Processing,In-Store,5.0,3.31,1
199,104,17,2024-10-29,Delivered,Online,10.0,2.41,4
200,462,20,2022-03-21,Cancelled,Phone,20.0,2.94,4
201,338,5,2022-01-03,Delivered,Phone,5.0,9.26,1
202,358,17,2024-05-28,Processing,In-Store,20.0,19.22,3
203,302,26,2022-07-20,Delivered,Online,0.0,11.93,2
204,466,28,2022-06-21,Shipped,Phone,10.0,10.22,2
205,3,23,2022-01-15,Cancelled,Phone,0.0,12.99,4
206,336,7,2023-10-09,Delivered,In-Store,0.0,3.87,5
207,130,9,2024-05-17,Cancelled,In-Store,10.0,6.89,4
208,387,7,2024-04-26,Cancelled,Phone,5.0,4.47,5
209,285,16,2023-06-04,Shipped,Phone,0.0,19.35,4
210,377,5,2022-09-01,Processing,In-Store,20.0,17.48,2
211,52,7,2024-11-07,Delivered,In-Store,20.0,13.76,1
212,83,13,2022-01-11,Pending,Online,5.0,23.15,4
213,46,3,2023-06-23,Processing,In-Store,0.0,15.23,4
214,477,13,2024-12-03,Shipped,Phone,10.0,1.44,2
215,328,16,2024-06-18,Pending,Online,20.0,16.42,5
216,147,7,2022-03-10,Cancelled,Phone,10.0,17.46,5
217,87,22,2022-03-15,Shipped,Online,15.0,0.01,2
218,45,9,2024-03-29,Shipped,Phone,5.0,10.14,2
219,266,1,2022-05-21,Pending,Phone,0.0,18.15,5
220,469,19,2023-12-14,Shipped,In-Store,0.0,15.16,2
221,233,30,2024-04-07,Cancelled,Online,0.0,4.38,5
222,55,18,2022-05-29,Cancelled,In-Store,0.0,23.68,5
223,490,9,2023-05-28,Delivered,In-Store,10.0,12.09,2
224,388,11,2024-07-28,Delivered,Phone,20.0,0.68,1
225,133,3,2024-02-23,Processing,Phone,15.0,5.75,3
226,212,12,2024-11-23,Cancelled,Online,15.0,20.8,2
227,148,3,2024-03-28,Shipped,Online,10.0,23.28,4
228,161,12,2023-03-24,Cancelled,In-Store,0.0,23.68,2
229,256,24,2023-02-13,Processing,Phone,0.0,21.82,2
230,118,7,2023-05-27,Cancelled,In-Store,0.0,19.47,1
231,472,3,2024-10-05,Cancelled,Online,20.0,21.43,1
232,435,16,2024-01-31,Cancelled,In-Store,5.0,22.45,5
233,445,9,2024-10-02,Processing,Phone,0.0,9.95,5
234,66,2,2024-12-12,Delivered,In-Store,10.0,0.81,3
235,202,28,2022-12-24,Delivered,Online,15.0,12.96,3
236,353,1,2022-01-25,Processing,In-Store,10.0,2.52,3
237,314,28,2023-06-16,Processing,Phone,0.0,5.93,4
238,491,20,2023-12-04,Shipped,Online,5.0,10.6,4
239,359,25,2024-02-02,Shipped,In-Store,0.0,11.27,5
240,68,19,2023-04-14,Pending,Phone,0.0,20.1,5
241,222,28,2024-02-20,Processing,Online,20.0,23.98,2
242,243,26,2022-01-20,Processing,In-Store,5.0,3.36,5
243,274,24,2023-10-09,Delivered,In-Store,0.0,14.05,5
244,25,13,2022-07-22,Processing,Online,0.0,20.35,4
245,430,21,2022-07-17,Delivered,Phone,0.0,6.49,3
246,287,18,2023-06-12,Shipped,Online,5.0,3.03,5
247,102,19,2022-12-24,Shipped,In-Store,0.0,16.83,4
248,397,24,2024-07-04,Pending,In-Store,10.0,7.16,2
249,445,6,2023-11-22,Delivered,Phone,10.0,14.29,1
250,41,6,2023-12-05,Processing,In-Store,0.0,16.33,3
251,310,21,2024-03-20,Shipped,In-Store,20.0,21.57,3
252,383,19,2024-12-02,Delivered,In-Store,0.0,4.6,1
253,65,24,2023-04-26,Shipped,Phone,15.0,18.74,2
254,86,13,2022-07-30,Pending,Online,5.0,13.71,1
255,395,13,2024-12-09,Pending,Online,0.0,15.45,1
256,336,30,2024-03-09,Shipped,Online,0.0,18.44,4
257,321,5,2022-09-26,Cancelled,Online,0.0,0.88,3
258,441,30,2023-10-29,Delivered,In-Store,20.0,13.51,3
259,281,15,2022-10-04,Cancelled,Online,10.0,14.94,5
260,223,17,2024-12-29,Shipped,In-Store,5.0,13.49,1
261,227,10,2024-01-20,Delivered,In-Store,0.0,7.59,1
262,268,27,2022-10-07,Shipped,In-Store,5.0,13.38,4
263,485,25,2024-09-04,Shipped,Online,20.0,10.76,3
264,306,8,2022-01-15,Cancelled,In-Store,0.0,10.29,5
265,224,13,2023-05-27,Processing,Phone,15.0,16.15,4
266,113,9,2022-06-12,Delivered,Phone,0.0,12.92,5
267,414,23,2023-07-11,Shipped,Phone,15.0,13.3,3
268,212,7,2022-05-21,Processing,Online,0.0,2.76,4
269,317,15,2023-07-12,Cancelled,In-Store,0.0,8.02,2
270,26,18,2022-02-15,Processing,Online,0.0,6.73,4
271,373,1,2023-04-22,Pending,Online,0.0,12.34,3
272,216,10,2024-10-17,Shipped,In-Store,15.0,19.79,3
273,42,27,2022-10-27,Pending,In-Store,20.0,9.81,5
274,241,6,2023-01-29,Shipped,In-Store,20.0,0.32,2
275,198,25,2024-06-26,Processing,Phone,0.0,4.98,1
276,267,22,2023-03-03,Delivered,In-Store,15.0,24.03,3
277,82,21,2022-03-28,Cancelled,Phone,0.0,6.33,3
278,102,12,2022-04-17,Processing,Online,0.0,15.82,3
279,8,6,2023-07-20,Cancelled,Online,5.0,19.73,1
280,497,2,2024-08-31,Cancelled,Online,0.0,19.27,2
281,81,16,2022-07-07,Cancelled,In-Store,20.0,15.63,1
282,183,21,2022-11-12,Cancelled,Online,0.0,12.2,3
283,286,26,2023-12-13,Delivered,Phone,0.0,0.53,4
284,184,24,2022-10-03,Shipped,Online,5.0,17.67,5
285,151,18,2024-09-30,Processing,Phone,0.0,13.59,3
286,375,15,2023-07-18,Cancelled,Phone,0.0,1.72,2
287,231,10,2023-06-24,Cancelled,In-Store,5.0,0.02,5
288,195,24,2023-01-15,Pending,Phone,20.0,9.1,5
289,123,11,2022-05-10,Cancelled,In-Store,0.0,13.1,4
290,393,18,2022-11-12,Cancelled,In-Store,0.0,10.25,3
291,57,4,2024-12-07,Pending,Online,20.0,23.44,2
292,448,2,2023-02-18,Pending,In-Store,0.0,2.47,5
293,329,27,2024-03-06,Delivered,Phone,10.0,17.53,3
294,26,12,2023-03-29,Cancelled,Phone,0.0,0.33,2
295,336,16,2022-06-13,Delivered,Phone,0.0,9.02,4
296,421,12,2022-04-30,Cancelled,In-Store,10.0,1.02,1
297,428,10,2022-06-09,Processing,Phone,0.0,2.53,2
298,273,13,2023-01-24,Processing,Phone,15.0,6.22,2
299,286,24,2024-04-30,Pending,Phone,10.0,8.95,4
300,360,22,2024-05-24,Pending,Online,20.0,4.51,4
301,259,11,2022-11-20,Cancelled,Phone,5.0,23.34,3
302,282,11,2024-02-01,Delivered,Phone,5.0,20.65,3
303,312,8,2023-03-15,Delivered,Phone,15.0,6.35,4
304,230,13,2022-01-01,Pending,In-Store,10.0,0.41,2
305,456,10,2022-01-14,Shipped,Online,0.0,21.39,1
306,396,27,2023-07-20,Cancelled,Phone,10.0,14.27,5
307,80,4,2022-03-19,Delivered,In-Store,0.0,3.46,3
308,456,19,2023-05-27,Processing,In-Store,20.0,7.51,5
309,205,19,2023-03-22,Pending,Phone,0.0,19.82,2
310,250,27,2022-07-15,Cancelled,Phone,0.0,0.93,5
311,196,3,2022-04-25,Shipped,In-Store,20.0,10.86,1
312,446,25,2023-04-10,Cancelled,Online,15.0,19.44,4
313,28,10,2024-12-09,Pending,In-Store,10.0,14.12,3
314,258,23,2023-03-29,Processing,Online,15.0,18.29,4
315,498,15,2024-10-30,Pending,Online,5.0,7.24,4
316,76,5,2023-11-20,Pending,In-Store,10.0,18.63,5
317,205,9,2022-06-24,Delivered,Phone,5.0,19.35,2
318,391,5,2024-09-11,Cancelled,Online,5.0,9.88,5
319,101,18,2024-12-09,Processing,Online,0.0,6.66,4
320,166,22,2022-07-03,Pending,Phone,5.0,10.59,3
321,98,11,2023-12-07,Cancelled,Phone,0.0,19.24,2
322,180,20,2024-06-24,Cancelled,Online,5.0,1.12,2
323,103,22,2024-02-05,Processing,Phone,20.0,2.15,1
324,125,20,2022-10-30,Shipped,Online,0.0,17.34,1
325,157,15,2024-08-22,Pending,In-Store,0.0,18.5,2
326,105,18,2024-12-07,Shipped,Phone,5.0,15.58,2
327,356,23,2022-02-07,Delivered,Phone,15.0,13.17,3
328,88,2,2023-08-05,Processing,Phone,10.0,6.78,4
329,336,1,2022-05-17,Delivered,Phone,0.0,16.57,3
330,443,4,2022-02-09,Shipped,Phone,5.0,5.78,4
331,261,23,2022-07-23,Shipped,In-Store,20.0,14.93,1
332,96,7,2024-10-22,Delivered,Phone,15.0,0.54,2
333,473,17,2023-09-17,Shipped,In-Store,5.0,18.61,1
334,178,22,2023-12-22,Shipped,Phone,0.0,5.91,5
335,142,26,2022-05-07,Shipped,In-Store,20.0,24.76,5
336,486,9,2023-04-07,Processing,In-Store,5.0,16.42,1
337,374,13,2024-12-02,Cancelled,Phone,15.0,5.69,2
338,294,5,2024-05-23,Shipped,Phone,0.0,11.23,2
339,106,21,2022-10-11,Cancelled,Phone,15.0,20.0,2
340,159,23,2024-12-08,Processing,In-Store,20.0,3.63,5
341,470,6,2023-10-13,Pending,Phone,10.0,23.72,1
342,95,11,2022-10-26,Pending,In-Store,5.0,24.03,3
343,227,24,2023-07-15,Processing,Online,0.0,3.29,1
344,391,20,2023-07-01,Cancelled,Phone,10.0,5.77,2
345,119,22,2022-02-23,Shipped,Online,15.0,19.5,2
346,258,28,2024-08-18,Shipped,Online,20.0,9.69,4
347,71,6,2023-01-31,Processing,Online,5.0,19.11,1
348,474,9,2024-04-25,Processing,Phone,15.0,24.71,2
349,34,6,2024-06-18,Cancelled,In-Store,15.0,8.12,4
350,455,8,2024-05-25,Delivered,Online,10.0,18.38,4
351,369,11,2024-03-18,Cancelled,Phone,10.0,14.85,5
352,329,29,2022-03-20,Cancelled,Online,5.0,11.42,1
353,450,8,2024-11-28,Cancelled,In-Store,15.0,0.98,4
354,265,25,2022-04-11,Processing,In-Store,5.0,9.95,3
355,397,27,2023-08-09,Delivered,Online,5.0,7.36,1
356,354,17,2022-10-19,Delivered,Phone,5.0,2.26,5
357,58,6,2022-10-05,Delivered,In-Store,0.0,11.27,2
358,233,19,2023-02-18,Delivered,Online,0.0,8.1,2
359,368,24,2022-09-11,Pending,Online,15.0,11.23,3
360,44,17,2024-02-26,Cancelled,Phone,0.0,9.47,4
361,23,25,2022-12-16,Shipped,Phone,20.0,16.49,2
362,84,28,2022-10-24,Processing,Phone,0.0,10.49,3
363,374,25,2024-07-02,Shipped,Phone,0.0,2.94,2
364,492,7,2022-01-08,Cancelled,In-Store,0.0,11.47,4
365,279,26,2022-01-12,Cancelled,In-Store,0.0,5.42,4
366,233,14,2024-06-23,Pending,Phone,10.0,0.16,5
367,143,20,2023-03-02,Pending,Online,0.0,1.38,3
368,19,5,2022-03-08,Cancelled,Phone,0.0,8.28,1
369,26,4,2024-05-03,Processing,Online,15.0,7.11,5
370,294,26,2022-12-30,Delivered,Phone,10.0,9.0,1
371,48,25,2023-09-05,Shipped,In-Store,5.0,20.51,4
372,432,18,2022-05-13,Shipped,In-Store,0.0,3.05,3
373,169,17,2024-04-27,Cancelled,Online,15.0,5.23,1
374,56,19,2024-12-19,Pending,In-Store,15.0,17.22,3
375,219,20,2023-10-11,Shipped,Phone,10.0,24.88,3
376,475,5,2024-10-13,Cancelled,Phone,15.0,12.44,2
377,453,20,2023-04-22,Shipped,Online,0.0,2.96,4
378,321,26,2022-08-30,Processing,Phone,5.0,10.35,3
379,180,18,2023-03-11,Pending,Phone,0.0,17.25,3
380,405,3,2023-09-23,Shipped,Phone,10.0,8.1,1
381,59,22,2023-11-14,Shipped,In-Store,15.0,14.22,1
382,427,6,2023-02-02,Shipped,In-Store,15.0,11.98,4
383,409,2,2022-10-06,Delivered,Online,15.0,11.52,5
384,459,11,2024-08-05,Delivered,Phone,0.0,20.88,3
385,290,24,2023-10-09,Cancelled,Phone,0.0,5.21,3
386,410,30,2023-12-26,Pending,Online,0.0,21.02,3
387,193,21,2024-12-30,Processing,Phone,10.0,9.74,5
388,60,28,2023-09-24,Shipped,Phone,0.0,6.79,1
389,255,29,2023-05-02,Shipped,In-Store,20.0,23.77,2
390,269,10,2022-12-25,Pending,In-Store,20.0,0.93,2
391,468,3,2024-06-27,Cancelled,Online,20.0,12.07,5
392,79,7,2023-11-28,Delivered,Phone,20.0,13.09,3
393,74,25,2022-07-21,Cancelled,Phone,0.0,5.13,1
394,236,13,2024-12-05,Pending,Online,0.0,23.31,5
395,447,3,2023-11-14,Delivered,Online,0.0,13.01,3
396,12,19,2023-10-02,Processing,In-Store,0.0,4.81,3
397,273,11,2024-06-22,Pending,In-Store,0.0,3.94,1
398,8,20,2024-11-18,Pending,Online,10.0,8.76,3
399,139,5,2023-08-04,Cancelled,Online,0.0,1.78,5
400,457,11,2024-06-27,Pending,Online,0.0,11.77,1
401,55,13,2022-04-21,Pending,In-Store,5.0,4.47,5
402,457,19,2024-07-02,Cancelled,In-Store,0.0,8.31,2
403,366,25,2024-12-28,Pending,In-Store,10.0,3.29,4
404,50,15,2023-09-28,Delivered,In-Store,0.0,23.69,2
405,441,29,2023-06-13,Shipped,In-Store,0.0,17.49,3
406,404,28,2023-10-28,Delivered,In-Store,0.0,1.63,1
407,180,16,2024-08-02,Processing,In-Store,20.0,8.72,5
408,66,17,2022-07-30,Delivered,Phone,20.0,2.67,5
409,333,3,2023-09-11,Cancelled,In-Store,5.0,14.76,2
410,318,8,2022-11-22,Delivered,In-Store,0.0,8.52,5
411,221,26,2024-06-10,Cancelled,In-Store,10.0,17.35,2
412,340,22,2022-06-09,Cancelled,In-Store,0.0,14.8,4
413,167,18,2022-07-19,Delivered,Online,0.0,23.9,1
414,307,4,2024-02-16,Shipped,In-Store,15.0,16.5,1
415,112,27,2022-10-12,Cancelled,Phone,20.0,0.0,2
416,339,5,2024-07-16,Cancelled,In-Store,5.0,15.39,4
417,101,7,2023-10-11,Shipped,Phone,20.0,22.83,3
418,471,30,2024-06-09,Shipped,Online,10.0,0.2,5
419,207,28,2022-09-19,Shipped,Online,0.0,22.53,1
420,1,23,2024-01-06,Pending,In-Store,20.0,0.78,4
421,360,19,2024-03-18,Shipped,Phone,5.0,10.15,4
422,280,7,2022-12-22,Delivered,Online,0.0,13.89,3
423,431,14,2022-11-12,Shipped,Phone,0.0,3.36,1
424,332,1,2022-10-22,Delivered,Phone,5.0,24.37,2
425,44,5,2024-05-01,Delivered,Phone,10.0,23.26,5
426,93,15,2024-11-09,Delivered,Phone,20.0,11.25,3
427,116,6,2024-05-19,Cancelled,Online,10.0,12.45,2
428,365,17,2023-07-06,Delivered,Phone,10.0,9.17,1
429,291,16,2024-01-25,Pending,Phone,5.0,24.04,1
430,73,24,2024-12-14,Shipped,In-Store,10.0,1.96,5
431,46,8,2024-08-25,Pending,Phone,15.0,13.48,5
432,160,20,2022-04-19,Shipped,Phone,20.0,0.27,4
433,263,29,2024-08-18,Cancelled,Phone,0.0,10.53,3
434,149,6,2022-03-14,Cancelled,Phone,0.0,18.17,5
435,134,2,2024-08-27,Cancelled,Online,10.0,1.29,3
436,415,24,2022-02-25,Shipped,In-Store,0.0,3.17,1
