post_id,platform,content_text,campaign_id,published_at,likes,shares,reach
68,Twitter,Industry remember rather common.,14,2024-09-06 20:34:00,3733,133,58401
69,Twitter,Carry research office one.,46,2024-04-23 14:46:00,1734,84,50615
70,LinkedIn,Today stage city finish size add recognize.,15,2024-05-03 02:21:00,1820,204,40539
71,LinkedIn,Deep wide product according.,31,2024-03-13 04:02:00,1442,485,88229
72,Twitter,Way else sister information type.,46,2022-03-01 15:19:00,4810,454,42293
73,Instagram,Author stop project book week practice here.,12,2023-07-25 02:41:00,2014,471,18849
74,Facebook,Father individual operation.,22,2022-08-11 23:08:00,1967,346,9655
75,Facebook,Officer throughout I standard financial.,43,2022-06-21 08:10:00,670,415,46170
76,Twitter,Present man skin property late sport.,22,2023-06-07 10:47:00,960,128,28819
77,Facebook,Staff rest his technology lose hour.,14,2025-01-14 04:22:00,499,28,69202
78,Instagram,Good across provide up sure cause job.,44,2022-09-17 01:22:00,566,30,25434
79,Facebook,They unit audience hair explain perhaps.,45,2022-06-03 11:37:00,2485,384,81497
80,Twitter,Manager care next maintain century guess science.,46,2025-01-17 06:18:00,4750,145,20067
81,Twitter,Coach issue reach network.,23,2022-10-05 14:03:00,3434,5,58567
82,Instagram,Increase parent organization.,42,2022-06-02 08:38:00,3920,202,38302
83,Twitter,Level quickly population it rate alone here.,15,2024-03-21 19:06:00,4036,452,84393
84,LinkedIn,Cause increase whether dark also class term.,16,2022-09-27 09:11:00,1492,116,37137
85,LinkedIn,Easy create name couple note.,30,2024-07-25 18:45:00,1244,390,90482
86,LinkedIn,Drop after bad two song.,44,2022-08-04 14:03:00,295,186,21412
87,Facebook,Enjoy again government maybe food mission floor.,21,2024-03-16 00:39:00,196,48,20977
88,Instagram,Recent green notice bit.,8,2024-09-12 05:53:00,311,288,88206
89,Facebook,Everybody include leader education.,2,2022-11-17 14:49:00,283,329,75463
90,Facebook,Religious model fish visit whatever they current.,13,2022-07-06 11:10:00,959,47,99373
91,Instagram,Lead understand prevent foreign why western trial.,8,2024-08-25 16:52:00,3412,369,24093
92,Facebook,Wind easy would space my south.,42,2024-04-03 22:54:00,741,188,53519
93,Twitter,Report season join economy less move.,28,2025-01-16 12:17:00,3161,325,87192
94,Facebook,Force radio tough realize.,42,2022-02-06 09:48:00,2654,192,75448
95,Instagram,Pass on book state same can team various.,1,2024-04-29 05:33:00,2869,116,50715
96,Instagram,Plant inside we option hotel.,20,2022-12-15 17:40:00,550,270,61716
97,LinkedIn,Exist it team student magazine operation course.,49,2022-05-31 22:12:00,3365,119,46072
98,Facebook,North stuff though any spend about pressure.,13,2022-08-29 07:15:00,963,47,91164
99,Twitter,Spend parent around skill per task scientist.,44,2024-09-28 23:03:00,3578,369,37575
100,Facebook,Student could western lawyer.,20,2024-09-10 16:50:00,1677,459,74964
101,LinkedIn,Trip buy team half.,18,2024-08-28 19:45:00,732,9,31433
102,LinkedIn,Occur plant together room.,47,2023-03-06 07:53:00,3888,300,79962
103,LinkedIn,Commercial fight worry establish read character.,26,2022-05-26 16:21:00,12,82,80852
104,Instagram,Hospital interesting describe society.,26,2024-06-18 01:49:00,3511,131,37138
105,LinkedIn,Deep question already choose country capital campaign drive.,39,2023-03-06 00:44:00,2623,246,57786
106,Instagram,Before everybody dog poor finish war other.,46,2022-06-27 09:00:00,3139,299,97215
107,Twitter,Study assume event city center executive father.,26,2022-02-15 01:22:00,2328,79,73231
108,Instagram,Any evidence address western outside scene.,14,2023-12-13 15:17:00,313,418,73171
109,Facebook,Walk middle talk policy think.,7,2024-06-26 09:16:00,2432,148,9892
110,Twitter,Social agency enter about until dark agency people.,49,2024-12-15 17:53:00,1063,161,71006
111,Twitter,Machine protect community question reflect drop up.,47,2023-05-18 21:22:00,2812,74,51531
112,Twitter,Listen poor majority great either huge join.,30,2023-02-26 07:34:00,483,434,50344
113,LinkedIn,Ground water front finally unit explain.,32,2024-09-07 19:38:00,4198,288,5972
114,Facebook,Conference hope into fund.,49,2023-03-04 17:44:00,708,467,7038
115,LinkedIn,Oil sometimes officer thank parent.,26,2023-03-18 03:00:00,2581,482,78243
116,Facebook,Leg anything catch attention.,2,2024-08-03 12:07:00,2090,2,88067
117,Facebook,Value better those store.,33,2024-05-28 16:29:00,924,441,86614
118,Instagram,Pm notice join line take.,39,2022-05-02 15:50:00,1977,438,29639
119,Twitter,Win popular form Congress explain land country.,7,2022-04-27 19:11:00,436,23,81519
120,LinkedIn,Attorney capital ten ten determine try read.,8,2023-07-26 19:46:00,4305,308,18173
121,LinkedIn,Challenge kid outside note.,44,2024-02-22 17:22:00,185,293,67160
122,Facebook,Fire property beautiful explain Congress smile.,30,2023-01-31 19:33:00,1800,343,50558
123,Facebook,Instead pull work almost.,26,2022-01-23 20:26:00,925,7,80473
124,Instagram,Task return foot become about everybody.,3,2023-03-29 07:33:00,1271,470,99954
125,Twitter,Couple economy democratic environment economy.,44,2023-03-06 17:40:00,1358,93,31517
126,Facebook,See nor some open.,14,2024-07-27 10:20:00,4069,69,61059
127,LinkedIn,Challenge real wonder remain place.,22,2022-09-28 20:20:00,230,333,8573
128,Instagram,Picture close threat kid response dream church.,10,2022-04-05 13:39:00,3288,184,57940
129,Instagram,Another physical total turn two floor lot.,26,2024-09-24 23:49:00,3810,279,66213
130,Instagram,Own design music head.,8,2023-01-24 00:32:00,2082,418,65982
131,Twitter,Add onto tonight.,39,2024-10-13 04:00:00,322,200,92270
132,Instagram,Deep wish garden room interest whatever.,14,2022-09-24 19:21:00,3500,260,73941
133,Instagram,Those exist hard including look need finally.,23,2024-06-18 09:32:00,4801,389,31870
134,Instagram,Pressure drop ever inside describe contain expert.,30,2022-02-07 13:47:00,537,290,91976
135,Instagram,Government smile set including tell expect.,23,2022-01-17 00:13:00,4292,39,94480
136,Facebook,Free security same four.,42,2022-04-25 08:13:00,4573,276,420
137,LinkedIn,Fine daughter win series stage method board.,23,2023-02-23 02:22:00,51,5,98679
138,Facebook,How push grow stage guess oil force.,45,2024-12-27 06:23:00,1558,154,90212
139,Facebook,Actually size policy shoulder up relate.,42,2023-08-24 05:21:00,2689,203,9115
140,Facebook,Season check notice house evening eight cause.,5,2024-06-23 16:19:00,1790,452,59247
141,Instagram,Nor contain thought.,2,2022-07-20 16:47:00,1623,95,47149
142,Instagram,Begin enter good truth plant stuff.,44,2024-11-13 03:44:00,3149,305,46643
143,Twitter,Law candidate machine including event.,42,2024-01-20 04:16:00,3334,389,77854
144,Twitter,Century involve degree continue suffer.,49,2024-05-25 01:16:00,1505,167,75168
145,LinkedIn,Nation determine main.,17,2022-01-15 02:39:00,1980,471,75250
146,Facebook,Opportunity central administration single.,47,2024-11-09 02:45:00,4169,372,38237
147,Twitter,Point chance throughout provide paper coach.,46,2023-01-17 08:52:00,2519,455,47555
148,Instagram,Allow respond purpose want figure hour.,46,2023-09-29 07:19:00,1499,161,77548
149,Facebook,News agent source quality.,41,2022-06-04 05:09:00,4562,206,99540
150,Facebook,Special cup approach nation Mrs defense your family.,10,2023-03-31 23:46:00,4106,82,13604
151,LinkedIn,Idea reach agency week just choose field.,28,2022-11-12 17:24:00,4526,405,45487
152,Twitter,Wonder help final no issue range.,7,2022-03-29 01:45:00,3744,114,44164
153,LinkedIn,Quite north finally.,5,2023-02-19 05:46:00,2885,434,60594
154,LinkedIn,Impact city radio green rock morning friend.,42,2023-09-16 09:51:00,692,407,34115
155,Twitter,Free plan close live.,10,2023-07-26 06:50:00,149,93,44577
156,Facebook,Help not sure decision.,33,2024-12-05 17:23:00,2669,461,58262
157,Twitter,Force same city each.,39,2023-03-27 19:31:00,2191,86,83955
158,Instagram,Responsibility think two star paper.,1,2025-01-18 11:22:00,364,69,87138
159,Instagram,List area radio level.,11,2024-02-07 18:39:00,896,136,99589
160,Twitter,Sit quite education edge there.,50,2023-10-11 06:50:00,4682,419,47382
161,Facebook,Indicate black government visit fear rock.,27,2022-09-07 14:10:00,119,241,8169
162,Twitter,Beautiful answer her message collection sport.,28,2024-09-22 19:35:00,4125,307,26767
163,Instagram,Serious second receive what wall pattern.,13,2024-03-07 07:57:00,393,49,45331
164,Twitter,Even economy thus effort.,31,2024-09-16 06:29:00,2317,367,71183
165,LinkedIn,Senior quite someone.,8,2024-12-24 09:17:00,4475,253,70082
166,LinkedIn,Growth minute interview religious indicate beautiful project event.,23,2022-11-04 18:06:00,4445,434,37344
167,Facebook,Window direction pretty than name name building.,4,2022-02-16 01:54:00,1375,175,42240
168,Instagram,Scientist environmental inside attention career strategy truth management.,33,2022-11-09 10:55:00,3797,101,14437
169,Twitter,Own size place particular southern before pull.,2,2023-01-03 05:55:00,255,489,30450
170,Instagram,Civil son baby Democrat.,49,2023-05-19 20:22:00,2469,21,48001
171,Twitter,Share Congress accept check oil hair democratic.,13,2023-06-02 00:51:00,785,213,36516
172,Instagram,Drug step PM rate quickly.,35,2024-01-10 21:03:00,3410,478,4206
173,Twitter,Should order concern collection animal.,13,2024-10-19 02:39:00,4392,194,46378
174,Facebook,Business organization interview cost street.,5,2022-02-13 04:45:00,570,416,96177
175,Facebook,Performance page today we.,26,2023-10-23 08:34:00,863,288,87583
176,Twitter,Production lead player human.,12,2022-12-08 00:50:00,3206,478,8890
177,Facebook,Recently add recognize real prevent police sell.,11,2023-10-11 00:05:00,4912,415,10458
178,Instagram,Week heavy garden where.,31,2024-11-10 22:28:00,4621,160,2836
179,Facebook,Start company family final draw.,30,2022-03-06 00:55:00,3279,93,18504
180,Facebook,Six member sing box tree.,3,2022-06-05 14:52:00,4042,170,80223
181,LinkedIn,Expect manage itself boy let phone.,30,2023-08-01 17:41:00,4861,19,78759
182,Twitter,Laugh card cell whose town such apply.,13,2023-03-29 13:56:00,140,358,40496
183,Facebook,Down yard rest act thank value dark phone.,32,2022-02-06 14:46:00,155,214,56876
184,LinkedIn,Political condition daughter both program actually hear.,47,2024-01-05 15:39:00,3114,458,42201
185,Twitter,That Democrat enter away do raise senior cost.,31,2023-02-26 18:54:00,4566,126,9353
186,LinkedIn,His guess pretty amount clearly detail better.,11,2023-10-29 18:32:00,1300,71,11315
187,Instagram,Nor rise close west seat cold hit.,1,2022-08-14 13:09:00,2384,350,33486
188,Facebook,Big serious husband.,23,2022-05-25 12:38:00,3370,42,28302
189,Instagram,Book sort would life stop Mr say.,1,2023-05-15 08:01:00,4433,342,37008
190,Instagram,According floor four medical themselves senior it doctor.,34,2023-10-24 07:07:00,2602,365,5916
191,Twitter,Color American of.,41,2024-07-21 20:18:00,1982,288,32059
192,LinkedIn,Low southern wall decade.,37,2022-07-27 21:47:00,3113,180,36460
193,Facebook,Executive purpose guess.,38,2023-07-30 17:01:00,3360,68,7280
194,Facebook,Back miss single art garden.,9,2024-10-10 19:21:00,4099,480,83183
195,Instagram,Follow floor month maybe clearly fact upon.,4,2024-07-08 05:22:00,497,430,78098
196,Twitter,Artist site mean job particular anyone according.,13,2023-03-26 00:09:00,411,415,54824
197,Twitter,You practice hotel process store.,10,2022-01-28 10:13:00,4179,144,44243
198,Twitter,Value discussion foreign time base total.,36,2022-08-17 06:16:00,4693,239,67533
199,Facebook,Cold political word drug rise nature.,29,2023-10-15 04:53:00,1830,74,49541
200,Instagram,Ago suggest natural door action blue seem.,6,2022-03-08 06:35:00,1273,57,15684
201,Instagram,Step eight interview crime.,12,2022-01-16 10:50:00,352,344,16903
202,Facebook,Move authority peace always ahead field.,21,2022-05-15 07:03:00,4618,386,82606
203,Instagram,Fire at light require event week.,12,2023-09-01 05:50:00,3337,148,84365
204,Instagram,Rest leave property even.,49,2024-10-03 00:30:00,167,111,38322
205,Facebook,Voice tax note treatment news weight.,25,2022-12-24 02:22:00,2943,169,18015
206,Instagram,Price clear western soldier stop language produce agent.,17,2022-11-10 03:25:00,4666,472,13603
207,Facebook,Myself bag east work miss.,49,2024-09-20 11:52:00,4647,402,40009
208,LinkedIn,Artist buy you we ever training recognize.,43,2022-02-01 08:20:00,2164,432,75394
209,LinkedIn,Somebody I keep top once full environmental.,28,2023-10-22 09:46:00,4070,269,97467
210,Twitter,Scene benefit although check behind instead.,39,2022-10-28 09:03:00,4110,267,50838
211,Instagram,Avoid tonight thank level sometimes can.,26,2022-06-01 21:06:00,4326,444,58303
212,LinkedIn,Program new edge world.,1,2024-06-16 08:39:00,4540,310,1762
213,LinkedIn,Figure measure class leave carry.,27,2022-07-07 17:02:00,1252,447,4332
214,Twitter,Rock arrive true player popular.,8,2024-02-05 11:27:00,3806,236,41646
215,Twitter,Mother model new six.,8,2024-04-21 06:23:00,1288,320,33734
216,Facebook,Remember material without whatever people then.,20,2023-12-29 00:28:00,3559,165,40281
217,Instagram,Democrat right red through phone.,34,2024-11-14 18:06:00,2593,406,48782
218,Twitter,Record effort thus partner.,40,2025-01-01 18:29:00,4023,483,47623
219,LinkedIn,Me program crime paper more she experience.,20,2022-10-01 10:59:00,4097,10,65270
220,Facebook,Entire quality eat newspaper five.,10,2022-11-21 03:10:00,10,399,25263
221,Instagram,Somebody get report owner network need.,48,2023-03-14 13:00:00,90,54,39680
222,Facebook,If smile choose eat wind term store.,12,2023-05-11 05:15:00,1073,389,81800
223,LinkedIn,Time voice piece argue bit.,49,2023-08-14 04:40:00,277,135,98731
224,LinkedIn,Create establish arrive energy there begin.,32,2023-03-11 22:36:00,2687,112,67082
225,Facebook,Ready eight ready gas win indeed.,13,2022-01-31 15:04:00,4182,155,53902
226,Instagram,Commercial than news consider describe hair.,1,2022-02-22 07:45:00,2706,56,85185
227,Facebook,Exist entire guy.,39,2022-04-15 20:13:00,1789,472,30592
228,LinkedIn,Science this wall data.,16,2023-02-04 12:47:00,291,464,46726
229,Instagram,Value base black fund threat.,10,2022-04-18 21:28:00,1650,45,9417
230,Facebook,Fall nothing long eye she.,44,2024-04-25 15:55:00,3379,350,23051
231,Twitter,Place mother federal task.,33,2024-05-25 11:34:00,1086,207,30807
232,LinkedIn,Her media tonight avoid perhaps.,7,2024-02-11 02:32:00,463,96,4610
233,Twitter,Without impact sell politics.,34,2024-06-15 18:48:00,2248,80,52248
234,Twitter,Top produce explain only.,44,2023-08-02 00:46:00,2902,150,99196
235,Instagram,Wrong community kid daughter Democrat traditional peace.,23,2024-02-02 02:21:00,3293,318,68273
236,Twitter,Hear population speech growth take article firm.,11,2023-01-19 19:52:00,4738,36,92133
237,LinkedIn,End word prepare someone.,11,2024-11-04 20:00:00,4985,496,9028
238,LinkedIn,Task lose notice true today.,30,2024-08-20 22:01:00,656,294,90262
239,Twitter,Fund letter thousand.,32,2024-08-06 20:50:00,947,233,77527
240,Facebook,Employee science young agent.,26,2024-10-13 16:21:00,4595,224,52102
241,Instagram,Begin economy woman tough draw long policy.,8,2022-11-13 02:45:00,3690,250,93740
242,Facebook,Vote final seat write player TV.,47,2023-06-13 09:06:00,2830,429,49592
243,Facebook,Indeed international say opportunity box ago speak organization.,29,2023-08-09 06:56:00,3942,456,44127
244,Twitter,Drug knowledge finally bill speech sometimes.,19,2024-12-27 02:13:00,1191,473,70707
245,LinkedIn,Million make what pick.,33,2022-01-29 03:11:00,2998,180,65900
246,Facebook,Full interesting support entire base ok.,43,2023-07-17 10:28:00,1550,166,21860
247,Instagram,Blue clearly able road.,17,2022-03-13 14:06:00,2495,435,82308
248,LinkedIn,Bank analysis travel seven cost.,13,2022-08-09 01:16:00,3533,472,95106
249,Facebook,Close up per indeed yet team while.,10,2024-10-17 09:03:00,2148,182,56697
250,Facebook,Both common never thousand.,21,2023-07-28 06:04:00,1456,294,7460
251,Twitter,Section pay far head sure.,34,2022-12-28 13:20:00,812,78,99281
252,Facebook,House herself page PM who measure end allow.,29,2023-01-15 18:37:00,1076,207,29472
253,Twitter,Positive experience everything especially.,29,2022-03-08 20:59:00,274,306,45816
254,LinkedIn,Hot politics development major east.,5,2023-03-24 21:38:00,680,347,24281
255,Twitter,True attack woman often college relate successful.,10,2024-06-20 23:27:00,809,179,72583
256,Facebook,Remember outside lead food like join time today.,50,2022-11-06 11:44:00,691,44,71052
257,Instagram,Mean or agreement fire long light star political.,45,2023-08-30 05:10:00,1954,61,73546
258,Facebook,Hope its light result between.,33,2023-03-19 02:44:00,1777,87,81771
259,Instagram,Only painting role movement first sign.,23,2024-10-02 00:12:00,2386,471,3874
260,Instagram,Now window game speak score.,8,2025-01-01 02:17:00,4381,189,40542
261,Twitter,Most should plan people.,26,2022-10-25 20:49:00,3601,489,85656
262,Facebook,International address pay deep film life.,34,2022-08-06 17:29:00,1552,59,62858
263,Facebook,Admit main suddenly something beautiful become.,9,2024-09-08 13:18:00,1329,417,66739
264,Facebook,Can close carry financial pretty.,42,2024-03-10 17:20:00,1017,302,20162
265,Instagram,Money theory candidate everyone.,5,2024-09-25 22:59:00,2884,351,70862
266,Instagram,Fall maybe work paper doctor if drive church.,39,2022-11-01 14:44:00,2321,82,86282
267,LinkedIn,Political like law role opportunity.,42,2022-04-19 07:39:00,979,200,16024
268,LinkedIn,Statement reveal individual.,9,2024-11-14 02:06:00,869,484,13398
269,Instagram,Similar follow to magazine teacher nice.,3,2023-09-07 00:18:00,4066,278,86062
270,Instagram,Road seek form color wall voice.,15,2024-09-01 09:32:00,403,191,17883
271,LinkedIn,Stop information soldier suffer anything process south.,47,2024-08-06 23:00:00,1051,23,65580
272,Twitter,System system open play.,37,2024-09-16 01:40:00,654,213,89086
273,Twitter,Perform none set yeah.,8,2024-05-16 04:37:00,2584,263,8670
274,LinkedIn,Theory decade person many question once.,29,2024-09-07 03:37:00,3240,336,65081
275,Instagram,Pattern central star professor fund also a.,32,2023-06-09 02:43:00,3296,196,6758
276,Instagram,Energy bed now bank can century nor.,18,2025-01-27 10:55:00,4500,348,98020
277,Facebook,Like floor student myself attorney year.,41,2023-10-02 08:42:00,1115,146,44826
278,LinkedIn,That heart easy claim expect audience capital its.,18,2024-11-04 16:25:00,2387,436,46504
279,Twitter,Against arrive government against.,33,2024-05-16 17:47:00,2399,161,14062
280,Twitter,Daughter those baby money marriage.,27,2023-11-07 05:31:00,3404,215,58376
281,Twitter,Country century conference him glass owner store.,7,2023-12-04 11:11:00,2588,429,35472
282,LinkedIn,Reality American bill west at.,45,2024-08-12 17:13:00,1495,45,10408
283,Twitter,Source south answer early.,25,2025-01-08 03:35:00,3378,264,48624
284,LinkedIn,Article spring factor beautiful practice.,26,2023-03-16 09:20:00,4319,345,44781
285,Instagram,Information source involve professor quality.,48,2024-10-03 15:04:00,10,147,48238
286,Instagram,Painting current development treat music room range at.,33,2023-01-11 13:58:00,1935,154,23244
287,Facebook,Drive indeed right rich including vote situation lawyer.,12,2023-02-26 11:39:00,1513,271,68248
288,Instagram,Garden west help ground federal pay.,1,2022-02-03 10:08:00,2860,42,27586
289,Instagram,Debate tonight mean party.,12,2024-09-02 05:20:00,4375,483,52920
290,LinkedIn,Dark sign return blue anything.,33,2023-01-12 03:04:00,2105,5,93048
291,Facebook,Person off he dog any peace.,47,2024-10-24 14:16:00,1269,211,14998
292,Facebook,Court economic present these.,41,2023-10-01 14:07:00,1395,35,95690
293,Instagram,Half seat attorney wind mind.,9,2024-08-25 11:29:00,1569,123,93044
294,Twitter,Section agreement age heavy admit catch.,3,2022-02-20 13:06:00,925,443,84656
295,Twitter,Add key response floor yourself second.,28,2023-12-09 04:39:00,3846,398,37280
296,LinkedIn,Figure medical join blue view.,11,2023-02-02 07:40:00,2938,81,31541
297,Facebook,Where none each writer produce law.,34,2023-06-04 21:23:00,4894,221,30977
298,Twitter,Law approach on approach note stay truth general.,43,2024-11-22 09:25:00,510,230,37902
299,LinkedIn,Citizen scientist simple.,26,2024-12-05 03:20:00,2677,165,57199
300,LinkedIn,Medical deal left born hear Congress.,13,2024-05-27 22:03:00,2546,241,84779
