incident_id,title,severity,category,status,reported_by,assigned_to,created_at,resolved_at
60,Approach imagine concern picture cultural old,Medium,Software,Closed,omay,brentrichardson,2024-07-10 02:44:00,2024-04-20 05:51:00
61,Establish time key out hospital,Medium,Hardware,Closed,kleinshane,jessicahines,2024-04-13 21:20:00,2023-04-16 13:19:00
62,Provide others general new begin their,Low,Access,In Progress,dlivingston,arianarandolph,2023-11-17 06:50:00,
63,Shoulder enjoy however model,High,Network,Closed,carlos33,shawndavis,2023-04-11 06:03:00,2023-05-22 06:06:00
64,West fire resource commercial,Medium,Access,Closed,ruth61,fstephens,2023-08-30 09:11:00,2025-01-03 00:46:00
65,Action support tonight clearly big owner a,High,Software,Resolved,robinsonrobert,david78,2024-02-07 15:53:00,
66,With heavy couple language through nation film,Medium,Hardware,Open,barbergary,brandon64,2023-05-23 10:15:00,2023-09-18 05:15:00
67,Amount stage issue expect apply later radio,Medium,Security,Closed,rossamanda,rebeccafigueroa,2024-04-03 15:24:00,
68,Project color cost add claim begin man,Low,Access,Closed,curtislee,ijackson,2023-07-22 20:40:00,2024-11-08 18:48:00
69,Same man rule paper doctor international,Medium,Security,Closed,nancyryan,charlesgregory,2024-04-26 09:03:00,2024-12-19 15:31:00
70,Impact full occur last school manage,Low,Network,Open,hpowell,dmendoza,2024-10-27 10:11:00,2024-12-06 01:01:00
71,Team market too million space team,Medium,Hardware,Closed,diazaaron,christopherpittman,2024-01-15 02:01:00,2024-09-05 22:55:00
72,Difference glass purpose beat,Medium,Hardware,In Progress,qshelton,alexis58,2024-04-18 04:22:00,2024-03-19 11:18:00
73,View rather if change authority prepare view,Low,Security,Closed,holdendominic,wnovak,2024-11-13 17:37:00,2024-08-31 05:31:00
74,Western newspaper move radio dog perhaps my situation,Low,Security,Closed,bentondavid,rosaleslauren,2024-12-27 22:14:00,2023-11-24 22:11:00
75,Reality discover success item rest respond economy why,Medium,Network,Closed,kennethjacobs,hollandjustin,2023-06-23 16:36:00,2024-01-27 20:12:00
76,Personal medical while seem along pressure begin,Low,Hardware,Closed,joestephens,mmyers,2024-04-15 17:41:00,2023-01-23 15:56:00
77,Shoulder prevent ago past ever sister white,Low,Network,In Progress,ballelizabeth,isimpson,2024-10-28 07:22:00,2024-04-13 20:14:00
78,His change perhaps trip media responsibility child,High,Access,Closed,lukeray,cgamble,2024-08-15 07:04:00,2025-01-13 13:43:00
79,Five modern human control personal down appear,Medium,Hardware,Closed,nicole56,vluna,2024-10-28 06:20:00,2024-12-26 14:46:00
80,Notice air by evidence my sing garden,High,Network,Closed,joseph28,zmurray,2024-11-02 00:31:00,2023-01-08 23:35:00
81,Cell step particularly control east,Medium,Software,Resolved,francesstevenson,kristine33,2024-11-05 18:39:00,2024-02-15 06:50:00
82,Whether type various future clearly bag quite,Medium,Security,Resolved,jacob57,robincooper,2024-12-22 13:08:00,2023-09-02 17:59:00
83,Why commercial watch develop,Critical,Software,Closed,matthewfranklin,curtis81,2024-01-03 02:39:00,2023-09-22 17:17:00
84,Represent hard agent position million what wear,Low,Software,Closed,alexis57,mallory30,2023-06-16 11:37:00,2023-04-15 06:52:00
85,Fill perhaps there throw station,Low,Hardware,Closed,housedaniel,kgeorge,2023-12-02 19:04:00,2023-04-10 18:26:00
86,Current strategy four,Medium,Software,In Progress,josephjohnson,jason41,2024-12-21 03:01:00,2024-05-25 09:21:00
87,Family blue still dark describe community,High,Hardware,Closed,lisaalvarez,allenronald,2024-03-15 07:25:00,2025-01-22 19:00:00
88,Animal where entire suggest recent poor,Low,Software,Closed,campbellkayla,johnsonmichael,2023-09-15 02:31:00,2023-05-27 04:15:00
89,Him more young receive model no painting,Medium,Security,Closed,katherinesmith,david88,2024-05-13 16:50:00,2023-02-11 22:12:00
90,Task give clear carry former speak speak,Low,Hardware,In Progress,ubutler,csparks,2024-07-12 03:08:00,2024-03-28 02:56:00
91,Kind fear cold manage full front scientist,Low,Access,Closed,amber59,yoconnell,2024-10-31 23:36:00,2023-12-29 09:43:00
92,Skin success explain maybe fight pass,Medium,Software,Closed,poncelisa,bduke,2023-05-03 02:57:00,2023-11-22 18:27:00
93,Usually according always choose,Medium,Security,Closed,nathan39,charlesyoung,2023-08-11 02:05:00,2023-07-31 07:06:00
94,Son than attorney accept,Low,Access,Resolved,timothy83,lpeters,2023-06-15 07:03:00,2025-01-20 10:50:00
95,Exist expect mind pay,Low,Software,Closed,twillis,sthomas,2023-01-27 00:15:00,2024-06-30 03:32:00
96,Institution together small rest fall,Low,Hardware,Closed,ahernandez,michaelrobertson,2023-11-01 17:23:00,2024-11-25 01:58:00
97,Try explain wear attorney,Critical,Network,Resolved,lindathompson,mclaughlinjames,2023-11-08 02:45:00,2024-07-12 02:28:00
98,Call paper these population,Critical,Access,In Progress,claire06,mcclureapril,2024-03-08 02:27:00,2024-04-27 17:28:00
99,Energy civil response leg agency close,Low,Hardware,In Progress,tpowell,ortegagregory,2023-03-07 09:36:00,2024-05-05 00:13:00
100,Tonight lose fly section,Low,Network,In Progress,anna47,nicholashuffman,2024-10-21 09:42:00,2023-08-08 23:13:00
101,Foot peace memory,Medium,Hardware,In Progress,qreyes,jessicalong,2024-02-26 11:04:00,2023-01-23 09:53:00
102,Than responsibility whether population compare lead Democrat,Medium,Network,Open,ucobb,sararios,2023-10-27 03:12:00,
103,What unit for common,Medium,Software,Closed,joycekeith,oconnorlauren,2024-04-11 18:19:00,
104,Away field network century to foot hair who,Low,Hardware,Closed,lukecase,robert77,2023-05-11 21:14:00,2024-01-02 13:48:00
105,Despite space face walk number end effect,Low,Security,In Progress,ucarr,whitesean,2023-03-29 15:24:00,2023-03-21 22:33:00
106,Keep cost company attorney area east too life,Low,Access,Closed,nhiggins,uzimmerman,2024-07-26 18:35:00,2024-07-22 14:31:00
107,Often next trip drug,Medium,Security,Closed,anthonyleonard,taylormichael,2023-03-07 06:32:00,2024-11-04 02:08:00
108,Nature community third,Low,Access,Resolved,kathleen79,gstone,2024-06-29 18:14:00,2024-10-21 20:51:00
109,Just raise really reveal these project group,High,Software,Resolved,danafoster,lindseysandra,2023-08-19 01:17:00,2024-08-25 08:20:00
110,Dark everything few,Medium,Access,Resolved,kbrewer,daniel15,2024-06-06 02:41:00,2024-04-13 23:14:00
111,West the now up,Medium,Access,Resolved,johnsonedward,kimberlyblair,2024-12-03 00:31:00,2024-08-16 21:25:00
112,See professional begin current everyone test memory arm,Low,Network,In Progress,rhondaray,rmiller,2024-10-10 03:22:00,2023-11-24 16:21:00
113,Matter participant boy huge plan rule break church,Low,Access,In Progress,wortiz,brianobrien,2024-07-06 20:20:00,2024-02-06 23:08:00
114,Break him bit tree,Critical,Software,Closed,martinezjennifer,vtaylor,2024-09-07 06:49:00,2023-07-08 14:05:00
115,Service usually cup performance role already occur,Low,Software,In Progress,njames,guerrerostanley,2024-02-25 07:33:00,2024-03-07 14:00:00
116,Since billion share example beyond,High,Network,Closed,andrew86,sandraheath,2024-10-12 02:49:00,2024-04-15 17:42:00
117,Professor word change expert can style option,Medium,Network,Closed,virginia56,cochranjill,2023-12-21 11:43:00,2025-01-07 10:48:00
118,South Democrat project,Medium,Software,In Progress,david97,frankjeremy,2023-02-06 14:48:00,2024-06-13 22:37:00
119,Budget every interest grow force happen film,Low,Security,Resolved,jasonjohnson,beasleykimberly,2024-05-30 16:34:00,2024-08-25 05:41:00
120,Cell loss approach,Low,Hardware,Closed,coxfernando,angelaramirez,2023-04-19 01:47:00,
121,Out article responsibility who,Low,Network,Closed,lsimmons,gutierrezdavid,2023-01-23 19:19:00,2023-03-12 03:50:00
122,Most war blood floor well,High,Security,In Progress,mariacohen,walkerjennifer,2024-03-30 11:42:00,2024-12-11 00:57:00
123,Allow around admit guy toward,Low,Network,Closed,xelliott,yrichardson,2023-01-24 22:19:00,2024-02-24 15:05:00
124,Performance he opportunity sing girl,Medium,Software,Closed,ronald23,timothy12,2023-06-02 13:08:00,2023-11-05 15:03:00
125,Left able analysis arrive budget,Low,Access,Resolved,williamsanthony,gspencer,2024-04-26 02:07:00,2023-05-02 16:29:00
126,Human shake bed class might name might,Medium,Network,In Progress,seth29,oneilldaniel,2023-06-10 10:29:00,2024-12-11 09:42:00
127,Region less crime amount laugh east,Medium,Network,Resolved,vmarquez,novaklisa,2023-05-18 09:53:00,2024-03-10 16:36:00
128,Guess most every feel song,Low,Security,Closed,dannygonzalez,cunninghamhunter,2023-09-20 19:51:00,2023-03-04 06:40:00
129,Teacher put land region other many daughter,Low,Software,Closed,cookyvonne,catherinemoore,2023-08-22 16:06:00,2024-03-29 19:38:00
130,Two stuff threat join chance good,Low,Access,Closed,warrenmariah,dsmith,2024-08-10 04:16:00,2024-08-11 05:18:00
131,Idea international financial form operation,Medium,Software,Closed,popebrent,hestrada,2023-05-05 03:59:00,2023-07-17 01:05:00
132,Also see enjoy door should,Medium,Software,In Progress,hooveranna,audrey53,2023-09-11 02:52:00,2024-01-02 22:24:00
133,First common eight participant,Low,Network,Resolved,mortonkenneth,znoble,2023-05-08 05:29:00,2023-03-25 15:03:00
134,More manage difference assume leg keep build increase,Critical,Software,In Progress,curtis61,javiermitchell,2024-04-16 08:12:00,2023-06-09 11:56:00
135,Machine number eat,Medium,Security,In Progress,kathleenkim,jillianrasmussen,2024-12-06 10:13:00,2023-11-20 02:56:00
136,Organization old treatment yet land address represent treat,Low,Hardware,In Progress,nicolecharles,anthonymcdonald,2023-03-16 10:16:00,
137,Leave tough such black improve subject produce,High,Access,Closed,mccoydonna,cody81,2023-01-28 20:08:00,
138,Hard reduce past message mean,Critical,Network,In Progress,hlester,daughertysydney,2024-02-16 20:37:00,2023-02-04 11:55:00
139,Mean onto face product air star audience,High,Network,Closed,tshannon,eugenemartinez,2023-11-13 08:10:00,2024-03-11 14:41:00
140,Miss scene do work win health,Low,Hardware,Closed,ryanbryan,greenbrandon,2024-01-10 06:35:00,2023-05-21 10:49:00
141,Floor project stock conference country nor federal,Medium,Network,Closed,pdavis,villawilliam,2023-04-22 21:20:00,2024-09-29 18:45:00
142,Purpose opportunity social outside interest tough character,Low,Software,Closed,qlane,dbeck,2024-02-28 22:05:00,2023-12-05 10:13:00
143,Amount great require else so,Medium,Software,Resolved,brodriguez,snyderandrea,2023-06-07 12:33:00,
144,Computer exist throw real next,Low,Software,Open,jennifer51,zcarpenter,2023-04-20 08:54:00,2024-11-04 09:02:00
145,Consider policy those unit reduce executive,High,Hardware,In Progress,preyes,selena60,2023-12-22 17:23:00,2023-12-24 16:03:00
146,Laugh fine ask activity night,Low,Software,Closed,cruzernest,bethany36,2023-06-25 16:33:00,
147,My by maybe off smile,Critical,Security,Resolved,josephross,christinabeard,2024-05-24 22:42:00,2024-08-23 21:56:00
148,World house character would,Low,Security,Closed,eguzman,ejohnson,2024-01-05 08:50:00,2023-10-30 04:22:00
149,Feel Democrat stop only,High,Security,Resolved,michaelcampos,yolandamarks,2024-05-09 08:18:00,2023-10-09 18:24:00
150,Blue degree rest thus game wonder,Medium,Access,In Progress,hullmanuel,moraleskimberly,2023-11-10 13:18:00,2023-02-20 13:00:00
151,Travel growth what,Medium,Access,Closed,tyler41,pattersondebra,2023-05-19 12:19:00,2023-05-10 23:42:00
152,Recent event skin indicate suddenly,Medium,Software,Closed,ecampos,bartondavid,2024-05-23 14:37:00,2024-07-30 11:57:00
153,Organization of national among must,Low,Software,Closed,clinesteven,collinmiller,2024-01-24 00:37:00,
154,Including summer bit difficult for,High,Software,Open,samanthasims,amy98,2023-06-10 11:16:00,2023-12-30 23:12:00
155,Source eat window how peace key us high,Low,Network,Open,haley15,brianna50,2024-03-20 01:36:00,2024-09-22 07:09:00
156,Buy care out Congress,Low,Software,Resolved,pvang,csmall,2024-03-26 18:09:00,2023-05-21 11:42:00
157,Box listen institution rock dinner other,Low,Network,Closed,uclark,robertfletcher,2023-10-31 06:07:00,2023-03-01 06:08:00
158,Beyond often foreign outside,Medium,Hardware,Closed,dwashington,wheelerdenise,2024-12-10 18:19:00,2024-10-12 19:32:00
159,Southern federal will economic another,Low,Software,Closed,rlutz,kristen89,2023-06-08 14:35:00,2023-06-10 21:59:00
160,Issue improve force job class star,Medium,Network,Closed,leroy57,bmorgan,2024-05-26 18:58:00,2024-03-01 23:16:00
161,Late well should who court media part,Medium,Software,Closed,yanderson,jonathan66,2023-12-29 22:39:00,2024-04-13 23:32:00
162,Take contain industry red,Low,Hardware,Resolved,rodriguezcynthia,jeremy00,2023-07-17 23:06:00,2023-10-23 21:46:00
163,Civil cost company family white sometimes,Low,Hardware,Resolved,ebrandt,icollins,2023-04-20 16:14:00,
164,Party hope billion computer remember beyond,High,Software,Closed,renee84,aholder,2023-06-15 06:38:00,2024-02-09 21:58:00
165,Address listen might how represent yard campaign,High,Security,In Progress,thompsoncaitlin,scott04,2024-02-23 08:45:00,
166,Care responsibility society table police interesting challenge,Low,Network,In Progress,calhounbrian,jeremy75,2024-02-03 10:42:00,2023-03-25 05:35:00
167,Involve recent role term mother,Medium,Access,Open,ospencer,miguelbaker,2023-05-06 00:22:00,
168,Company campaign public reason discussion food education,High,Hardware,Resolved,brandon64,denise47,2024-09-09 05:02:00,2024-10-28 09:43:00
169,Science thank suddenly baby cause cover,Low,Access,Resolved,imitchell,nfleming,2024-06-22 22:08:00,2024-03-07 15:30:00
170,Late top huge deal,Low,Hardware,In Progress,deanna27,anthonydillon,2023-08-04 10:44:00,2023-08-24 20:56:00
171,Much rate standard today government actually myself,Medium,Hardware,Closed,lawsonpaul,margaretscott,2024-06-16 06:38:00,2024-08-16 05:05:00
172,Almost participant society director rest,Low,Software,In Progress,josephenglish,melanie40,2023-01-13 04:24:00,
173,Tax tell skin,Medium,Hardware,Open,robertsonjennifer,galexander,2023-07-18 20:40:00,2024-12-15 16:24:00
174,Method attack interesting writer everything,Low,Access,Closed,sabrina54,ronald83,2024-01-27 10:13:00,2023-03-12 11:57:00
175,These read little people late six blue,Medium,Hardware,In Progress,john91,amandahorne,2023-01-27 11:11:00,
176,Produce them save sound nothing international only,Medium,Hardware,Open,nicoleduran,torrestricia,2024-04-09 07:01:00,2024-08-05 11:03:00
177,Official car look ever last case heavy,Medium,Hardware,Closed,patrickmichelle,lpage,2024-04-23 14:54:00,2023-08-23 03:08:00
178,Car data news difficult last,Low,Hardware,Closed,johnsparks,theresagalloway,2023-10-09 02:47:00,2023-12-16 01:57:00
179,Matter hot stage want note work military,Low,Hardware,Closed,josephangela,garymartinez,2024-04-09 21:58:00,2024-09-14 20:53:00
180,Address discover threat administration,Low,Network,Resolved,ymurray,williamsanthony,2024-02-26 17:45:00,
181,Others test try quality resource business natural stand,Low,Security,In Progress,nathanrobles,bryan38,2023-01-29 17:41:00,2023-03-30 05:48:00
182,Up practice political be member,High,Access,Closed,hartmanjoshua,jamesparker,2023-10-13 11:11:00,2024-10-21 22:20:00
183,First put best about safe yes lead seem,Medium,Network,In Progress,adamroth,sherry96,2023-08-03 02:52:00,2024-09-28 19:33:00
184,Street former total animal item to,Low,Software,In Progress,fhenderson,smithdeborah,2024-01-05 14:50:00,2023-07-23 05:12:00
185,Federal beautiful bed subject year different,Critical,Access,Resolved,aaron78,craig99,2023-02-28 13:55:00,
186,Significant light mission address significant,Low,Network,Resolved,russellkelley,angela68,2023-01-13 05:50:00,2023-05-06 07:59:00
187,North if home learn address doctor item,Critical,Security,Resolved,kennedywanda,eharrington,2024-07-13 13:31:00,2024-06-13 22:50:00
188,Air sort investment guy such notice,Medium,Software,Closed,mjohnson,davidharding,2023-12-13 00:37:00,2023-04-11 09:21:00
189,It reduce write lawyer,Critical,Access,Closed,omarturner,tranadam,2024-03-24 05:57:00,2024-02-28 19:18:00
190,Happy cause authority leave friend fire whatever,Low,Hardware,Resolved,stucker,lambertdevin,2024-05-28 13:21:00,
191,His continue avoid my something,Low,Software,Closed,juanfranklin,bcase,2023-05-18 01:19:00,2023-08-21 20:35:00
192,Computer cell wall free onto,Medium,Software,Closed,tbrown,jennifer54,2024-11-29 22:16:00,2023-05-31 03:31:00
193,Black network race health,Low,Software,Closed,floreskimberly,aaronlane,2023-10-30 19:55:00,2024-08-11 09:06:00
194,Suddenly happen store report,Medium,Security,Resolved,hurleybrandon,trobinson,2023-02-04 14:35:00,2024-07-28 21:56:00
195,Improve week least deep carry summer,Low,Access,Resolved,gbraun,samanthacarr,2024-12-14 11:34:00,2023-10-06 19:04:00
196,Above become minute war stage,Low,Network,Open,eugenegreen,iallen,2024-10-23 13:29:00,2024-03-16 09:05:00
197,Authority walk my use significant according,Medium,Access,In Progress,brownmichael,davisautumn,2024-08-15 14:34:00,2023-11-22 06:29:00
198,Particular such though,Medium,Network,Closed,zavaladiane,jacob10,2023-10-13 18:13:00,2023-04-24 13:47:00
199,Dinner stage soldier apply notice current,Medium,Access,Resolved,fordlisa,erin07,2023-05-31 08:15:00,2024-03-26 17:00:00
200,Town stop president theory off,Medium,Network,In Progress,anna54,lisathomas,2024-05-09 20:37:00,2023-12-20 02:51:00
201,Miss including new degree tax general organization,Medium,Security,Resolved,sue16,chunglaura,2024-08-16 05:27:00,2024-08-27 04:48:00
202,Understand within dark financial Mrs degree side,High,Hardware,Closed,johnsonmartin,michaelhoffman,2023-06-12 15:13:00,2024-05-24 03:09:00
203,Idea range attention throughout degree think so growth,Medium,Security,Closed,alexandria35,robertbrown,2023-03-16 04:54:00,2023-01-29 17:49:00
204,Without itself seat language open,Medium,Access,Closed,veronicadavies,sarah83,2023-12-24 18:07:00,2023-05-27 22:19:00
205,Field computer son him wonder traditional why,High,Security,Resolved,richard28,riverabrian,2023-01-08 18:34:00,2023-01-02 10:58:00
206,Until relate hour large friend bag,Medium,Access,In Progress,kmoore,jessicasmith,2024-10-31 19:02:00,2023-07-31 00:12:00
207,Must four she,Low,Software,Open,williamscristina,jessica91,2023-09-09 20:25:00,2023-07-14 04:37:00
208,Between bar beyond single walk,Medium,Security,Closed,burkegloria,markphillips,2024-07-02 08:39:00,2024-09-09 14:55:00
209,Radio approach reflect collection agency response,Low,Security,Closed,samantha54,flemingwhitney,2023-01-29 23:31:00,2024-03-13 01:01:00
210,Project consider too size,Medium,Security,Open,monica00,michellemalone,2023-10-12 07:15:00,2023-02-03 01:50:00
211,Bad book Democrat,Medium,Access,Open,rebeccareed,scott95,2024-11-07 15:19:00,2023-10-19 06:24:00
212,Just analysis strong,Medium,Network,Closed,hubbardjanet,stevenpierce,2024-10-14 12:15:00,2024-12-21 14:27:00
213,Remain operation hand agreement discover seem,High,Network,Closed,williamstoni,susan93,2024-05-04 22:31:00,2023-01-08 23:20:00
214,Significant activity real often able,Medium,Software,Closed,david03,nwilliams,2024-03-23 13:07:00,2023-10-26 17:46:00
215,Ask myself phone travel western,Medium,Network,In Progress,nicole92,michael35,2024-05-15 16:23:00,2024-10-05 02:16:00
216,Future animal hold almost imagine main wait,High,Access,Resolved,schneiderraymond,jhahn,2024-04-26 05:26:00,2023-09-23 21:36:00
217,Available hit keep enjoy,High,Hardware,In Progress,wendymason,jenniferhuber,2024-12-31 07:36:00,2024-06-21 05:07:00
218,Now eye ok white heart,Medium,Network,Open,andrewlong,kbennett,2024-12-16 03:13:00,2023-05-23 21:44:00
219,Foreign design plan stock authority defense,Critical,Software,Closed,iedwards,gwhite,2023-09-22 11:26:00,2024-05-10 02:23:00
220,Mr contain article cost water reflect change,Low,Software,In Progress,kylechase,smithkristin,2024-04-20 20:44:00,2023-01-09 09:20:00
221,Always time instead quality green accept share,Medium,Access,Closed,pdixon,hernandezrebecca,2024-08-13 02:57:00,
222,Himself know some pattern,Low,Software,Resolved,campbellerika,kcook,2024-10-30 12:31:00,2024-11-15 14:48:00
223,So myself follow not control commercial say,Low,Software,Closed,zcollins,hallmegan,2024-03-19 12:25:00,2024-05-08 12:02:00
224,Provide think something those center have,Medium,Hardware,Open,chrismurray,swu,2024-11-18 23:59:00,2024-10-19 04:37:00
225,Call traditional boy song success difficult sell accept,Medium,Software,Closed,ryanbernard,hollandcathy,2023-07-09 02:31:00,2023-10-23 18:39:00
226,Attack trade modern buy,Medium,Security,Resolved,rsharp,ariana61,2024-08-30 17:32:00,2023-05-29 14:23:00
227,Me deep he nearly,Medium,Software,In Progress,crossnicole,evaughn,2023-01-06 13:04:00,2024-07-22 11:44:00
228,Region behind new and,Critical,Access,In Progress,christensenkendra,timothycannon,2024-07-03 14:50:00,2024-10-23 16:27:00
229,Teach attack without participant choice training look common,Low,Software,Open,martin40,cowandevin,2024-01-25 15:08:00,2024-03-19 06:37:00
230,Class approach necessary past Mr personal stuff,Critical,Hardware,Closed,derekdougherty,kingjoshua,2023-03-31 08:15:00,
231,Would pressure room under team security at,High,Hardware,Closed,barbara30,jillnavarro,2023-09-02 07:52:00,
