email_id,campaign_id,subject,sent_to_count,open_count,click_count,bounce_count,sent_at
57,34,Street would tell baby thing truth movie,31110,11810,1846,214,2022-04-13 13:44:00
58,15,Gas future since what trouble religious,17825,705,3050,500,2022-06-12 06:02:00
59,3,Surface recently organization result seat middle center decade,23400,7633,1534,119,2024-02-05 06:11:00
60,29,Where series series himself address bring,37543,1919,4169,87,2023-04-10 07:52:00
61,8,Beautiful PM air him no,27300,8016,982,214,2022-10-08 19:56:00
62,38,Provide important relationship manage among very,27707,12088,4519,33,2024-08-16 10:19:00
63,36,A cause total total,6625,4755,2424,418,2022-09-22 20:45:00
64,16,Nearly near want citizen serve,14890,5687,1284,341,2022-07-21 10:25:00
65,4,Pay how live without kitchen want current,9723,3607,1386,154,2024-10-12 09:58:00
66,26,Difference similar me would heart inside,35032,7914,4660,67,2024-10-08 02:35:00
67,23,Least beyond pick,23721,12120,594,117,2024-08-14 01:13:00
68,45,Girl process for,23533,11690,4771,231,2024-07-25 17:46:00
69,2,Stuff suffer open major almost,37123,8147,4156,324,2023-08-17 03:29:00
70,33,Hospital late over away economy,27893,14694,3870,316,2023-04-04 19:49:00
71,14,Accept watch yes establish international near mouth second,29032,9816,1813,292,2023-09-09 23:47:00
72,39,Responsibility anyone government why investment,38926,10920,2707,414,2024-10-04 05:01:00
73,9,Around claim defense behind,3865,3424,2602,83,2022-09-06 01:19:00
74,35,Song institution think campaign evening manager meet any,6805,1993,2134,477,2024-05-04 16:40:00
75,6,Nor middle figure,16385,14529,4383,434,2023-04-11 07:04:00
76,14,Single history story part,34814,7103,1639,350,2023-08-15 18:08:00
77,14,Shoulder actually agent trouble public whom understand,21703,11441,1110,381,2023-07-25 19:12:00
78,32,Decide media floor hotel truth remember piece,49507,13220,925,22,2023-07-25 03:29:00
79,26,Executive suddenly send discussion off wide never,12718,13251,4563,470,2023-11-12 22:57:00
80,7,Bit blue most watch her,920,4145,65,479,2022-05-25 13:17:00
81,3,Model century cut actually,48932,4429,218,116,2024-08-16 21:25:00
82,9,Call produce PM pressure report,8061,1861,4337,465,2022-02-11 13:39:00
83,3,Picture billion whom on among sense,18625,4057,4136,301,2022-06-13 03:19:00
84,42,Feel security official coach officer as consider north,34091,2459,582,311,2022-08-18 05:00:00
85,25,Person star already raise set cause newspaper report,10110,13363,2088,477,2023-08-12 02:33:00
86,21,Would home involve year hold close,49698,392,576,342,2024-05-03 13:46:00
87,19,Officer floor yet audience dark we finally,44359,1345,2794,420,2022-02-07 19:39:00
88,24,Nor stand like design leave,32906,12206,2714,197,2024-12-15 02:04:00
89,42,Protect present again beyond cultural,15485,4190,1829,39,2023-11-24 07:53:00
90,12,Claim series professor plant their,39893,3690,778,132,2023-04-21 19:08:00
91,48,Relationship Congress sell drug cold above business,34402,10637,1277,398,2022-11-17 06:23:00
92,46,Nice nearly bring development term,40452,13974,3298,124,2023-07-22 22:30:00
93,11,Spend meeting argue just,28626,2775,2222,428,2024-06-29 03:57:00
94,39,Image laugh author carry region them professor,49336,3874,4693,48,2024-05-11 10:57:00
95,11,Parent shake themselves arrive choose wide yard,29586,11092,3632,438,2023-02-12 00:34:00
96,31,Sound especially group person traditional draw,46473,2265,2074,449,2022-01-21 07:25:00
97,19,Decide actually just,34908,12353,340,6,2022-12-05 21:22:00
98,43,Lot organization poor entire others production company,19327,200,3544,363,2023-07-06 23:40:00
99,43,Game they ask type example success,25519,11015,3723,216,2024-01-20 02:31:00
100,10,Way recently behind seat first laugh she,32228,12231,4099,468,2023-10-04 07:10:00
