attendance_id,employee_id,date,check_in,check_out,hours_worked,status
228,77,2024-06-10,10:25,18:30,8.0,Present
229,110,2024-06-03,08:23,17:39,7.6,Present
230,110,2024-06-04,09:10,,,Half Day
231,110,2024-06-05,,,,Absent
232,110,2024-06-06,09:09,19:08,8.2,Present
233,110,2024-06-07,08:33,17:59,6.0,Present
234,110,2024-06-10,08:13,19:04,6.9,Present
235,144,2024-06-03,09:14,17:50,4.7,Present
236,144,2024-06-04,10:29,19:22,6.9,Present
237,144,2024-06-05,,,,Absent
238,144,2024-06-06,09:30,17:01,7.8,Present
239,144,2024-06-07,08:28,19:37,7.9,Present
240,144,2024-06-10,08:44,19:08,6.3,Present
241,69,2024-06-03,09:15,19:42,8.5,Present
242,69,2024-06-04,08:02,16:29,6.9,Present
243,69,2024-06-05,08:13,,,Half Day
244,69,2024-06-06,10:49,16:30,6.5,Present
245,69,2024-06-07,10:40,18:55,6.1,Present
246,69,2024-06-10,08:06,19:35,8.5,Present
247,25,2024-06-03,09:09,19:41,8.8,Present
248,25,2024-06-04,09:28,17:21,7.7,Present
249,25,2024-06-05,08:22,19:13,5.5,Present
250,25,2024-06-06,09:33,18:51,9.0,Present
251,25,2024-06-07,09:28,18:29,7.8,Present
252,25,2024-06-10,10:10,17:54,7.2,Present
253,97,2024-06-03,10:06,19:54,6.1,Present
254,97,2024-06-04,10:44,16:34,6.2,Present
255,97,2024-06-05,08:36,,,Half Day
256,97,2024-06-06,09:14,19:46,7.7,Present
257,97,2024-06-07,09:14,19:24,5.2,Present
258,97,2024-06-10,09:15,19:00,4.1,Present
259,116,2024-06-03,,,,Absent
260,116,2024-06-04,08:16,16:41,6.8,Present
261,116,2024-06-05,08:32,17:49,6.5,Present
262,116,2024-06-06,08:29,18:58,4.7,Present
263,116,2024-06-07,08:00,19:38,4.1,Present
264,116,2024-06-10,10:58,19:07,8.6,Present
265,246,2024-06-03,09:45,16:26,6.1,Present
266,246,2024-06-04,08:35,16:08,8.5,Present
267,246,2024-06-05,08:10,17:43,5.5,Present
268,246,2024-06-06,,,,Absent
269,246,2024-06-07,10:26,18:05,6.4,Present
270,246,2024-06-10,,,,Absent
271,164,2024-06-03,09:26,17:54,6.0,Present
272,164,2024-06-04,,,,On Leave
273,164,2024-06-05,,,,Absent
274,164,2024-06-06,08:34,17:12,7.8,Present
275,164,2024-06-07,10:46,18:01,7.1,Present
276,164,2024-06-10,08:49,19:56,7.0,Present
277,54,2024-06-03,09:36,18:28,6.2,Present
278,54,2024-06-04,08:28,,,Half Day
279,54,2024-06-05,09:36,18:03,7.4,Present
280,54,2024-06-06,09:01,18:19,6.3,Present
281,54,2024-06-07,10:08,19:17,8.2,Present
282,54,2024-06-10,09:51,17:37,8.8,Present
283,142,2024-06-03,10:52,18:57,6.4,Present
284,142,2024-06-04,08:44,19:26,6.7,Present
285,142,2024-06-05,10:07,16:01,8.6,Present
286,142,2024-06-06,10:30,,,Half Day
287,142,2024-06-07,09:42,16:03,4.9,Present
288,142,2024-06-10,10:58,17:44,7.5,Present
289,78,2024-06-03,08:13,17:08,5.2,Present
290,78,2024-06-04,08:01,18:06,4.8,Present
291,78,2024-06-05,09:41,19:11,7.2,Present
292,78,2024-06-06,10:56,16:10,5.8,Present
293,78,2024-06-07,,,,On Leave
294,78,2024-06-10,08:36,18:06,4.4,Present
295,96,2024-06-03,09:21,18:22,4.8,Present
296,96,2024-06-04,08:28,19:20,6.1,Present
297,96,2024-06-05,08:26,18:54,7.0,Present
298,96,2024-06-06,10:41,17:26,4.7,Present
299,96,2024-06-07,09:23,,,Half Day
300,96,2024-06-10,09:09,16:46,7.3,Present
301,236,2024-06-03,08:18,17:54,4.1,Present
302,236,2024-06-04,08:51,17:32,6.5,Present
303,236,2024-06-05,10:36,18:28,4.2,Present
304,236,2024-06-06,08:26,16:35,6.8,Present
305,236,2024-06-07,09:04,16:16,5.5,Present
306,236,2024-06-10,08:42,16:14,7.3,Present
307,197,2024-06-03,10:39,16:56,8.8,Present
308,197,2024-06-04,10:29,18:34,8.6,Present
309,197,2024-06-05,08:09,19:50,8.2,Present
310,197,2024-06-06,08:21,17:42,6.7,Present
311,197,2024-06-07,08:46,18:13,7.7,Present
312,197,2024-06-10,08:53,19:41,8.8,Present
313,216,2024-06-03,10:57,19:46,7.8,Present
314,216,2024-06-04,08:32,16:55,4.2,Present
315,216,2024-06-05,09:42,,,Half Day
316,216,2024-06-06,,,,On Leave
317,216,2024-06-07,10:58,19:46,7.4,Present
318,216,2024-06-10,09:40,,,Half Day
319,254,2024-06-03,08:52,18:49,4.7,Present
320,254,2024-06-04,08:59,16:02,8.5,Present
321,254,2024-06-05,10:35,19:23,6.7,Present
322,254,2024-06-06,10:12,17:16,6.8,Present
323,254,2024-06-07,10:14,18:54,4.8,Present
324,254,2024-06-10,09:28,18:25,6.3,Present
325,92,2024-06-03,09:14,,,Half Day
326,92,2024-06-04,09:05,18:06,5.7,Present
327,92,2024-06-05,09:59,17:55,4.4,Present
328,92,2024-06-06,08:07,19:36,8.8,Present
329,92,2024-06-07,09:51,19:07,6.3,Present
330,92,2024-06-10,09:40,17:45,4.2,Present
331,214,2024-06-03,09:33,18:07,8.3,Present
332,214,2024-06-04,08:17,16:25,6.8,Present
333,214,2024-06-05,09:16,,,Half Day
334,214,2024-06-06,08:24,17:45,7.5,Present
335,214,2024-06-07,10:59,,,Half Day
336,214,2024-06-10,09:59,16:58,9.0,Present
337,9,2024-06-03,10:08,,,Half Day
338,9,2024-06-04,10:12,16:37,4.8,Present
339,9,2024-06-05,08:13,19:01,5.3,Present
340,9,2024-06-06,10:02,17:41,9.0,Present
341,9,2024-06-07,08:31,17:39,5.5,Present
342,9,2024-06-10,08:32,19:12,7.9,Present
343,204,2024-06-03,08:36,18:52,4.6,Present
344,204,2024-06-04,10:09,18:21,6.7,Present
345,204,2024-06-05,10:15,16:24,8.5,Present
346,204,2024-06-06,08:30,19:12,8.8,Present
347,204,2024-06-07,10:59,19:52,6.1,Present
348,204,2024-06-10,10:25,,,Half Day
349,294,2024-06-03,,,,On Leave
350,294,2024-06-04,08:33,16:59,6.0,Present
351,294,2024-06-05,,,,Absent
352,294,2024-06-06,09:50,17:56,4.6,Present
353,294,2024-06-07,10:48,18:13,4.4,Present
354,294,2024-06-10,09:24,,,Half Day
355,33,2024-06-03,,,,Absent
356,33,2024-06-04,10:43,18:39,6.2,Present
357,33,2024-06-05,09:04,16:53,4.7,Present
358,33,2024-06-06,10:43,16:00,5.4,Present
359,33,2024-06-07,10:40,,,Half Day
360,33,2024-06-10,10:11,18:28,7.1,Present
361,259,2024-06-03,09:18,18:02,8.0,Present
362,259,2024-06-04,09:34,18:38,6.6,Present
363,259,2024-06-05,,,,Absent
364,259,2024-06-06,10:49,,,Half Day
365,259,2024-06-07,08:24,16:19,5.2,Present
366,259,2024-06-10,09:32,18:39,7.2,Present
367,81,2024-06-03,09:49,18:54,4.0,Present
368,81,2024-06-04,09:37,16:36,7.2,Present
369,81,2024-06-05,08:22,17:06,8.9,Present
370,81,2024-06-06,10:01,17:58,4.0,Present
371,81,2024-06-07,09:31,17:03,6.7,Present
372,81,2024-06-10,08:21,,,Half Day
373,170,2024-06-03,08:37,17:13,5.0,Present
374,170,2024-06-04,09:28,16:22,4.7,Present
375,170,2024-06-05,08:22,17:34,5.5,Present
376,170,2024-06-06,08:59,19:37,7.2,Present
377,170,2024-06-07,08:23,17:58,5.2,Present
378,170,2024-06-10,10:48,18:49,7.2,Present
379,187,2024-06-03,,,,On Leave
380,187,2024-06-04,08:27,17:31,5.4,Present
381,187,2024-06-05,08:42,16:05,7.7,Present
382,187,2024-06-06,09:19,18:19,7.2,Present
383,187,2024-06-07,09:00,17:43,5.5,Present
384,187,2024-06-10,08:01,16:24,8.2,Present
385,106,2024-06-03,08:31,16:15,8.5,Present
386,106,2024-06-04,10:54,19:14,4.1,Present
387,106,2024-06-05,10:21,16:45,5.5,Present
388,106,2024-06-06,09:00,,,Half Day
389,106,2024-06-07,09:11,16:19,4.2,Present
390,106,2024-06-10,10:50,18:00,5.4,Present
391,62,2024-06-03,08:10,,,Half Day
392,62,2024-06-04,10:21,19:45,9.0,Present
393,62,2024-06-05,08:57,,,Half Day
394,62,2024-06-06,09:12,19:04,5.4,Present
395,62,2024-06-07,08:05,17:38,4.1,Present
396,62,2024-06-10,08:33,19:34,8.4,Present
397,140,2024-06-03,09:22,19:18,6.0,Present
398,140,2024-06-04,10:49,17:24,5.2,Present
399,140,2024-06-05,08:02,18:33,7.7,Present
400,140,2024-06-06,09:12,16:56,6.9,Present
401,140,2024-06-07,10:00,19:52,4.2,Present
402,140,2024-06-10,09:07,19:56,8.8,Present
403,51,2024-06-03,10:10,19:44,8.1,Present
404,51,2024-06-04,08:17,,,Half Day
405,51,2024-06-05,09:34,17:05,5.5,Present
406,51,2024-06-06,09:17,17:21,7.9,Present
407,51,2024-06-07,10:46,17:15,4.7,Present
408,51,2024-06-10,08:39,19:53,6.9,Present
409,104,2024-06-03,10:19,,,Half Day
410,104,2024-06-04,,,,On Leave
411,104,2024-06-05,10:52,19:13,8.7,Present
412,104,2024-06-06,08:16,17:38,4.8,Present
413,104,2024-06-07,08:08,18:00,8.6,Present
414,104,2024-06-10,09:43,18:25,4.1,Present
415,258,2024-06-03,08:58,19:16,8.6,Present
416,258,2024-06-04,09:46,19:39,5.8,Present
417,258,2024-06-05,09:05,19:47,6.9,Present
418,258,2024-06-06,08:40,16:09,7.8,Present
419,258,2024-06-07,08:11,18:55,6.0,Present
420,258,2024-06-10,09:17,19:27,4.2,Present
421,107,2024-06-03,08:19,17:17,4.5,Present
422,107,2024-06-04,10:26,18:24,4.8,Present
423,107,2024-06-05,09:03,18:25,5.5,Present
424,107,2024-06-06,10:01,19:10,5.5,Present
425,107,2024-06-07,09:44,,,Half Day
426,107,2024-06-10,09:49,17:04,8.2,Present
427,145,2024-06-03,09:48,17:29,5.4,Present
428,145,2024-06-04,10:38,17:31,6.4,Present
429,145,2024-06-05,08:19,17:57,5.3,Present
430,145,2024-06-06,09:50,16:11,8.2,Present
431,145,2024-06-07,10:26,16:08,7.8,Present
432,145,2024-06-10,09:06,17:17,8.2,Present
433,272,2024-06-03,10:29,19:38,6.8,Present
434,272,2024-06-04,,,,Absent
435,272,2024-06-05,10:04,18:44,8.3,Present
436,272,2024-06-06,10:07,17:54,6.3,Present
437,272,2024-06-07,08:46,16:18,8.6,Present
438,272,2024-06-10,09:53,17:09,5.6,Present
439,255,2024-06-03,09:32,18:33,4.4,Present
440,255,2024-06-04,08:17,19:04,8.7,Present
441,255,2024-06-05,09:39,17:40,8.3,Present
442,255,2024-06-06,10:47,19:57,5.6,Present
443,255,2024-06-07,08:21,,,Half Day
444,255,2024-06-10,09:50,17:32,4.1,Present
445,194,2024-06-03,09:56,18:29,7.8,Present
446,194,2024-06-04,09:37,19:08,8.6,Present
447,194,2024-06-05,08:42,,,Half Day
448,194,2024-06-06,09:08,19:01,6.0,Present
449,194,2024-06-07,10:35,16:13,8.1,Present
450,194,2024-06-10,09:24,17:59,5.0,Present
451,49,2024-06-03,08:23,16:10,6.9,Present
452,49,2024-06-04,09:34,19:14,7.5,Present
453,49,2024-06-05,10:59,18:08,5.5,Present
454,49,2024-06-06,09:54,,,Half Day
455,49,2024-06-07,09:52,18:50,4.4,Present
456,49,2024-06-10,08:46,19:41,5.9,Present
457,105,2024-06-03,09:35,16:37,5.6,Present
458,105,2024-06-04,09:13,16:21,9.0,Present
459,105,2024-06-05,08:10,17:23,8.1,Present
460,105,2024-06-06,08:06,19:34,7.7,Present
461,105,2024-06-07,10:52,16:10,8.1,Present
462,105,2024-06-10,10:11,16:16,7.1,Present
463,87,2024-06-03,09:56,19:55,7.3,Present
464,87,2024-06-04,08:52,19:35,4.6,Present
465,87,2024-06-05,09:16,17:24,8.0,Present
466,87,2024-06-06,08:20,17:35,5.1,Present
467,87,2024-06-07,09:48,,,Half Day
468,87,2024-06-10,09:18,17:18,6.3,Present
469,130,2024-06-03,08:14,18:41,4.7,Present
470,130,2024-06-04,09:35,,,Half Day
471,130,2024-06-05,09:51,18:51,6.0,Present
472,130,2024-06-06,08:06,18:59,5.8,Present
473,130,2024-06-07,08:57,19:58,4.0,Present
474,130,2024-06-10,,,,On Leave
475,231,2024-06-03,08:23,19:32,6.5,Present
476,231,2024-06-04,08:48,16:30,8.7,Present
477,231,2024-06-05,10:24,16:55,8.3,Present
478,231,2024-06-06,09:14,16:28,5.5,Present
479,231,2024-06-07,08:09,19:38,6.5,Present
480,231,2024-06-10,08:57,19:12,4.1,Present
481,188,2024-06-03,,,,Absent
482,188,2024-06-04,09:39,,,Half Day
483,188,2024-06-05,10:19,19:53,5.9,Present
484,188,2024-06-06,08:06,19:18,8.4,Present
485,188,2024-06-07,09:35,18:12,8.0,Present
486,188,2024-06-10,09:52,18:53,5.1,Present
487,160,2024-06-03,10:25,18:06,8.1,Present
488,160,2024-06-04,10:22,18:47,8.1,Present
489,160,2024-06-05,09:12,16:21,7.2,Present
490,160,2024-06-06,10:38,19:41,4.7,Present
491,160,2024-06-07,09:05,17:41,4.1,Present
492,160,2024-06-10,,,,On Leave
493,274,2024-06-03,08:50,19:55,8.8,Present
494,274,2024-06-04,08:25,18:49,7.0,Present
495,274,2024-06-05,10:28,19:33,6.3,Present
496,274,2024-06-06,09:37,19:18,8.9,Present
497,274,2024-06-07,10:50,16:43,8.7,Present
498,274,2024-06-10,08:17,16:37,6.2,Present
499,158,2024-06-03,,,,On Leave
500,158,2024-06-04,10:39,19:49,7.2,Present
501,158,2024-06-05,08:51,19:20,6.1,Present
502,158,2024-06-06,09:52,18:03,6.1,Present
503,158,2024-06-07,08:37,16:56,5.9,Present
504,158,2024-06-10,08:27,19:39,8.8,Present
505,19,2024-06-03,08:49,,,Half Day
506,19,2024-06-04,10:44,17:13,4.9,Present
507,19,2024-06-05,,,,Absent
508,19,2024-06-06,08:31,17:04,6.8,Present
509,19,2024-06-07,08:19,17:26,6.9,Present
510,19,2024-06-10,08:56,,,Half Day
511,156,2024-06-03,09:30,19:10,6.1,Present
512,156,2024-06-04,09:27,16:40,5.5,Present
513,156,2024-06-05,08:04,17:39,8.1,Present
514,156,2024-06-06,10:49,18:43,5.8,Present
515,156,2024-06-07,09:17,19:01,6.4,Present
516,156,2024-06-10,08:00,19:40,7.5,Present
517,148,2024-06-03,08:35,18:57,5.0,Present
518,148,2024-06-04,09:23,19:44,7.3,Present
519,148,2024-06-05,10:55,,,Half Day
520,148,2024-06-06,,,,Absent
521,148,2024-06-07,08:09,17:55,7.7,Present
522,148,2024-06-10,09:59,18:46,7.4,Present
523,123,2024-06-03,10:28,,,Half Day
524,123,2024-06-04,08:19,18:08,7.2,Present
525,123,2024-06-05,10:00,17:58,5.4,Present
526,123,2024-06-06,10:24,19:54,8.6,Present
527,123,2024-06-07,09:01,18:53,7.6,Present
528,123,2024-06-10,09:41,16:42,8.0,Present
529,139,2024-06-03,10:07,,,Half Day
530,139,2024-06-04,10:24,17:07,4.4,Present
531,139,2024-06-05,08:09,17:02,5.3,Present
532,139,2024-06-06,10:14,19:51,5.8,Present
533,139,2024-06-07,08:47,16:26,7.4,Present
534,139,2024-06-10,10:06,17:27,8.0,Present
535,178,2024-06-03,08:48,17:55,8.2,Present
536,178,2024-06-04,08:43,16:08,4.5,Present
537,178,2024-06-05,10:44,,,Half Day
538,178,2024-06-06,10:59,19:53,5.2,Present
539,178,2024-06-07,09:35,17:57,5.5,Present
540,178,2024-06-10,10:17,19:00,7.8,Present
541,268,2024-06-03,,,,On Leave
542,268,2024-06-04,09:44,19:19,4.1,Present
543,268,2024-06-05,10:44,18:59,5.0,Present
544,268,2024-06-06,08:42,19:52,5.8,Present
545,268,2024-06-07,09:05,19:11,4.4,Present
546,268,2024-06-10,08:37,17:39,5.9,Present
547,211,2024-06-03,10:54,19:51,5.9,Present
548,211,2024-06-04,08:08,16:25,5.7,Present
549,211,2024-06-05,,,,Absent
550,211,2024-06-06,10:29,17:24,7.3,Present
551,211,2024-06-07,10:21,16:46,4.6,Present
552,211,2024-06-10,10:34,17:59,7.4,Present
553,30,2024-06-03,09:21,16:25,7.3,Present
554,30,2024-06-04,08:38,16:38,8.7,Present
555,30,2024-06-05,08:49,16:05,8.8,Present
556,30,2024-06-06,08:49,18:10,6.4,Present
557,30,2024-06-07,10:28,19:22,8.3,Present
558,30,2024-06-10,08:11,18:06,4.8,Present
559,281,2024-06-03,09:46,16:44,5.2,Present
560,281,2024-06-04,,,,Absent
