metric_id,campaign_id,metric_date,impressions,clicks,conversions,revenue_attributed,ctr
44,6,2022-12-23,270619,19312,691,33799.17,0.0185
45,30,2024-06-07,438791,19262,863,21449.54,0.0096
46,15,2024-12-24,457084,7737,267,24549.88,0.1249
47,28,2022-11-02,215691,9002,432,39297.37,0.1085
48,8,2023-11-11,342752,1718,68,26610.83,0.0042
49,1,2023-05-01,172445,1130,905,40893.1,0.1099
50,40,2022-01-27,344803,16355,547,38770.26,0.0112
51,7,2023-06-07,12361,15210,441,22594.98,0.0355
52,43,2024-08-09,11765,1127,518,6560.81,0.1483
53,31,2023-09-07,353485,13440,809,14133.83,0.0236
54,43,2023-12-13,23672,14680,266,22863.1,0.026
55,37,2025-01-26,440226,18822,755,12151.18,0.1111
56,48,2023-03-20,390950,10469,584,11476.11,0.0122
57,33,2023-06-06,297368,14527,62,22073.0,0.0889
58,9,2024-01-11,254425,10727,122,5167.92,0.0125
59,19,2022-02-21,458902,6313,292,8898.84,0.1223
60,21,2024-04-08,232805,6609,927,34727.38,0.1098
61,50,2022-04-07,66491,15250,393,19277.96,0.1386
62,12,2024-06-20,321957,3014,697,6639.84,0.0628
63,23,2023-07-22,20256,16827,937,45287.33,0.0556
64,39,2022-06-19,3632,7524,604,44031.72,0.0454
65,8,2022-04-29,31933,7952,195,15605.61,0.0517
66,50,2023-01-22,59015,15600,317,36064.32,0.0225
67,28,2024-01-12,306416,16426,98,4244.47,0.1106
68,50,2024-09-03,408008,18511,773,4494.66,0.0306
69,44,2024-06-27,350178,17122,669,29931.71,0.0378
70,29,2022-10-25,284637,1959,399,44430.21,0.0931
71,25,2025-01-21,71017,8564,534,3721.8,0.1219
72,41,2023-01-17,322459,16156,106,10883.27,0.0148
73,21,2024-11-20,427409,5532,335,2494.02,0.0444
74,14,2023-07-25,349806,6038,95,43085.32,0.0185
75,11,2022-07-14,364047,17911,882,48529.32,0.0283
76,34,2022-12-11,308876,3106,265,17487.33,0.1322
77,30,2022-03-31,339214,10498,943,47775.62,0.1371
78,14,2022-12-30,49955,5051,328,29467.56,0.0544
79,19,2023-01-29,74741,9058,299,35410.15,0.1112
80,12,2022-12-23,32249,15296,526,48592.06,0.0965
81,2,2023-11-08,380507,983,858,27414.03,0.084
82,43,2023-07-07,384245,1734,762,27029.89,0.1112
83,26,2024-08-02,85230,8007,954,38270.71,0.0329
84,38,2023-05-16,196142,3282,755,47076.77,0.0701
85,33,2024-02-05,33996,10408,829,49471.89,0.044
86,14,2024-01-11,223416,15651,910,39316.61,0.0435
87,23,2023-08-13,469281,208,910,30768.15,0.0634
88,29,2023-07-22,193557,10467,419,9769.33,0.0738
89,49,2022-03-20,64140,17059,496,48509.15,0.1081
90,6,2023-04-10,426409,294,5,19801.91,0.0452
91,38,2024-05-06,420191,3173,179,43939.84,0.1389
92,37,2022-12-03,198633,4886,700,45478.55,0.035
93,25,2022-08-14,285815,3655,374,21954.43,0.0705
94,27,2023-08-12,486360,4327,206,23367.98,0.1075
95,21,2022-03-17,238444,18470,723,1470.43,0.0954
96,20,2024-08-01,197126,11419,160,9853.61,0.1176
97,50,2023-05-14,438946,6839,708,34748.98,0.0952
98,2,2022-08-04,94445,7468,171,28454.7,0.124
99,7,2022-08-27,370761,5333,826,13322.55,0.0361
100,7,2023-12-28,360513,16610,931,45604.28,0.0235
101,6,2022-12-08,454049,2757,771,49452.47,0.0123
102,3,2025-01-11,467486,18,717,30209.3,0.0853
103,4,2024-03-05,214473,12220,615,39389.22,0.1266
104,22,2024-03-21,437502,3086,727,13516.59,0.0097
105,36,2022-07-20,158965,11487,132,44536.52,0.1333
106,36,2024-03-14,6891,13197,548,29633.39,0.1213
107,31,2023-09-21,138412,16136,740,817.87,0.0727
108,39,2023-11-12,91698,4559,303,30370.65,0.0932
109,43,2025-01-23,304844,14521,408,44516.33,0.0858
110,25,2022-03-02,25830,14716,404,28442.31,0.0133
111,27,2023-10-30,357050,18295,475,1324.38,0.134
112,23,2022-09-16,486522,11415,53,37857.48,0.0632
113,49,2023-11-20,156651,3620,649,48640.08,0.1414
114,46,2024-06-06,233554,17238,645,16611.91,0.0049
115,20,2023-10-05,204261,15257,796,44151.34,0.1337
116,42,2024-11-16,492518,2080,568,47038.55,0.1244
117,16,2022-10-06,336510,9855,775,35998.45,0.1471
118,21,2022-01-18,282237,11564,91,43485.76,0.0199
119,30,2023-06-17,475876,16794,945,32528.24,0.0159
120,10,2024-05-11,391668,17381,376,8676.0,0.1398
121,22,2024-05-25,350123,13562,7,16674.88,0.0868
122,37,2023-02-01,77693,2118,590,23097.27,0.0416
123,24,2024-03-18,109321,17405,151,18600.3,0.0903
124,11,2024-12-13,233700,12905,93,40356.97,0.0936
125,46,2024-04-26,416737,17611,95,11061.99,0.085
126,8,2022-02-14,69249,1301,557,24971.02,0.0474
127,12,2024-12-26,310050,19083,238,41887.3,0.0506
128,47,2022-02-06,23144,8173,65,30515.56,0.0803
129,30,2022-11-22,167118,17173,277,43285.31,0.0285
130,33,2024-02-12,187426,4142,825,2652.88,0.0753
131,34,2024-03-08,26318,5900,362,37534.98,0.1342
132,31,2024-11-07,49640,2953,851,34530.02,0.095
133,38,2022-04-19,359880,19933,448,7444.07,0.0668
134,12,2024-10-21,195420,12219,862,38734.94,0.1135
135,38,2024-09-01,140846,18227,953,12722.32,0.1286
136,34,2024-01-09,87441,5915,536,20849.02,0.1456
137,34,2022-09-14,231248,4836,418,39088.05,0.1246
138,25,2023-11-26,251677,14219,521,7960.29,0.1062
139,39,2024-06-12,247740,4821,535,8907.99,0.1295
140,7,2024-08-02,263858,13201,518,46105.01,0.0402
141,34,2025-01-08,257885,16759,698,29798.21,0.0497
142,37,2024-12-11,208305,14426,707,7724.18,0.0452
143,39,2024-01-03,152339,4063,640,18178.81,0.0113
144,28,2022-12-15,212967,18671,389,23138.47,0.0272
145,35,2022-10-08,189547,15923,438,39576.51,0.0529
146,22,2022-05-16,139047,14129,934,18048.8,0.0886
147,15,2022-05-14,141825,6563,58,29734.99,0.0896
148,23,2023-04-14,83993,3378,554,28823.55,0.1264
149,7,2024-01-14,360924,8157,47,16354.42,0.0772
150,25,2024-01-25,138868,17832,213,40636.8,0.1006
151,36,2022-04-02,223940,16375,111,30196.98,0.0744
152,12,2024-01-15,496422,2709,525,42913.9,0.0645
153,30,2023-11-04,350453,13488,387,33408.74,0.1324
154,7,2024-07-14,344874,11952,887,36634.57,0.0457
155,44,2022-04-04,322548,14981,716,17531.32,0.0571
156,16,2023-04-17,144424,15427,266,33276.09,0.0875
157,3,2022-04-10,156758,10031,883,3206.06,0.1269
158,41,2022-04-25,6087,14070,37,9682.39,0.1448
159,50,2024-11-29,162052,7824,774,18822.14,0.1262
160,34,2024-03-29,44272,10575,737,21421.15,0.0823
161,31,2023-01-31,154097,1025,921,31438.98,0.0836
162,39,2023-05-24,285565,8680,73,9990.75,0.1493
163,2,2024-06-25,274509,15431,29,11446.86,0.0991
164,4,2022-06-29,147612,2180,114,25317.51,0.1367
165,41,2022-04-26,227192,1428,796,19423.33,0.0259
166,46,2022-06-15,249408,14462,919,20979.17,0.1253
167,42,2024-03-28,263044,673,792,47229.72,0.1318
168,20,2022-12-12,1082,11286,33,32366.79,0.0804
169,1,2022-03-16,33850,17323,669,7602.03,0.141
170,45,2024-03-28,98036,2048,976,5894.74,0.0926
171,1,2024-02-25,437629,17577,571,24002.45,0.0017
172,47,2022-03-24,306374,1784,816,15393.97,0.0376
173,27,2024-04-27,118120,9207,357,20045.68,0.0515
174,41,2023-06-28,406957,1101,720,23935.86,0.1024
175,10,2023-12-21,445270,19599,144,6288.9,0.0258
176,15,2023-11-01,411629,4277,26,23620.28,0.0626
177,17,2023-05-24,181169,18617,221,7600.55,0.0636
178,8,2024-11-09,410663,6635,705,41301.79,0.007
179,22,2024-07-18,442168,15752,313,15543.51,0.0962
180,28,2022-11-08,62357,9393,716,16279.84,0.085
181,20,2024-11-25,431181,8831,491,32296.1,0.0645
182,49,2023-04-03,221864,3216,505,33824.9,0.057
183,11,2024-03-29,281407,2107,899,38380.56,0.1007
184,24,2023-11-04,346324,977,940,4301.28,0.045
185,30,2022-01-29,7309,9249,690,817.1,0.015
186,13,2023-04-11,241042,10957,599,47309.24,0.0164
187,11,2024-12-15,329072,13799,716,3884.9,0.0188
188,34,2024-11-22,111181,11122,337,22370.55,0.0145
189,2,2022-07-19,224945,2840,676,30484.75,0.112
190,47,2024-01-28,432258,18795,304,47295.36,0.0528
191,16,2023-10-28,395208,4506,892,18057.7,0.068
192,40,2023-09-08,82433,953,852,35399.86,0.0543
193,38,2023-10-26,342505,9195,982,13739.62,0.0828
194,1,2023-10-12,294503,19880,159,32728.75,0.0782
195,8,2023-11-16,418914,10056,877,40527.56,0.1162
196,42,2024-05-22,100125,389,516,11765.72,0.1048
197,31,2024-09-06,72681,11115,116,49985.77,0.1367
198,15,2023-02-01,294955,19341,343,12192.87,0.1227
199,6,2022-03-11,94510,12743,230,29868.41,0.1109
200,19,2023-03-25,194019,9663,264,29662.19,0.0974
201,1,2024-07-05,178806,10464,297,18069.99,0.0805
202,11,2022-11-16,127415,8906,30,28267.18,0.0674
203,50,2024-10-25,364880,18566,328,45156.99,0.0733
204,20,2023-03-12,276868,4735,438,24855.66,0.0233
205,11,2024-06-21,185938,19033,531,46493.17,0.0571
206,3,2024-08-11,302535,18175,780,3426.08,0.1258
207,8,2023-04-19,58131,10063,447,29119.89,0.0245
208,40,2023-03-25,107615,16413,385,37132.87,0.0333
209,23,2024-10-29,255506,5573,229,19231.02,0.038
210,25,2022-11-04,276315,10859,767,35367.46,0.0438
211,42,2025-01-20,39765,3475,840,31987.74,0.1266
212,32,2024-01-10,277876,15054,228,44764.58,0.1327
213,35,2024-12-13,16591,12036,49,34633.32,0.0459
214,7,2022-09-10,175766,5843,300,23128.4,0.0121
215,34,2024-06-19,393026,2790,829,46157.74,0.0984
216,2,2023-02-11,1603,1723,251,17047.56,0.0209
217,43,2024-08-30,171174,3220,474,31761.48,0.08
218,15,2022-09-21,147434,10032,816,42026.98,0.0744
219,50,2024-10-30,470654,7856,434,45673.07,0.1479
220,46,2022-03-27,470859,4843,622,25261.1,0.1083
221,45,2024-01-26,339368,11767,750,27218.32,0.1211
222,5,2023-08-29,395384,13240,644,5029.66,0.1312
223,48,2022-12-10,441112,15397,31,4174.14,0.0859
224,14,2024-11-18,293365,16220,799,49949.51,0.0179
225,44,2022-09-26,360306,17748,251,20138.81,0.0656
226,25,2024-05-14,445977,17667,517,37568.16,0.0417
227,17,2025-01-22,259441,19207,294,30489.91,0.014
228,13,2023-02-09,488150,4395,133,1455.31,0.1277
229,18,2022-03-05,244068,5263,896,22823.4,0.0333
230,33,2024-01-15,202634,18709,216,42816.64,0.1173
231,33,2024-09-28,390778,8713,978,35128.63,0.1339
232,50,2023-08-17,72749,1721,988,40616.72,0.0035
233,19,2022-04-24,428549,19125,851,258.65,0.0071
234,41,2023-03-08,373647,9353,356,2842.29,0.1285
235,29,2023-04-23,196579,415,622,8982.74,0.1322
236,25,2022-12-20,180817,5317,436,3396.19,0.0564
237,24,2023-06-08,46541,17152,949,27204.31,0.0213
238,46,2022-12-31,490155,16632,462,1599.97,0.0223
239,14,2024-05-29,394386,2891,221,30136.82,0.0856
240,11,2023-03-03,82250,7098,600,34053.0,0.1074
241,46,2023-07-28,356274,9499,336,4743.15,0.129
242,11,2022-10-27,245910,13788,666,34343.58,0.0014
243,29,2024-12-30,220656,14077,7,47267.14,0.1394
244,26,2023-08-19,152322,4170,780,174.49,0.0686
245,32,2024-09-28,54964,7587,960,32286.44,0.1015
246,40,2022-11-16,378540,7700,930,12338.36,0.0271
247,40,2024-10-21,166828,3841,90,25403.69,0.065
248,44,2022-01-06,183016,8820,130,9976.03,0.0122
249,7,2022-12-04,198720,4604,361,38901.68,0.0413
250,33,2023-07-30,208308,13172,722,24711.1,0.0586
251,21,2023-12-02,13638,11898,462,15667.06,0.0104
252,18,2023-04-21,134439,4201,344,13840.85,0.022
253,21,2022-01-19,497205,17564,373,37100.22,0.1498
254,6,2024-01-09,161604,18724,940,13264.61,0.104
255,24,2022-01-18,361005,9714,433,45858.28,0.1286
256,14,2023-06-09,443191,5611,349,15014.87,0.0238
257,10,2024-10-23,295436,770,669,11410.12,0.0238
258,1,2022-12-15,299643,15736,662,37021.16,0.1122
259,19,2022-02-19,427888,10583,467,29703.51,0.1041
260,41,2024-07-09,351895,6486,950,10354.42,0.0523
261,3,2022-07-24,273466,18053,619,22711.57,0.1298
262,6,2022-04-17,359788,19641,457,41811.21,0.146
263,3,2022-12-01,432667,16990,916,47256.19,0.0643
264,47,2023-12-06,128782,11960,719,32946.76,0.0124
265,38,2025-01-30,186715,15238,633,44799.75,0.099
266,11,2022-06-14,140263,17065,409,27845.61,0.0255
267,16,2024-01-02,181804,3965,685,17240.01,0.0053
268,43,2023-05-17,469601,8279,413,21150.51,0.0362
269,33,2025-01-12,494356,223,266,27148.12,0.0016
270,6,2022-12-20,384155,15884,789,48119.36,0.1274
271,45,2023-07-23,226743,471,42,4004.44,0.0192
272,24,2024-06-10,484763,13623,241,47022.15,0.019
273,48,2022-05-14,14816,16711,273,27233.14,0.0518
274,45,2023-01-29,452561,19760,702,39320.75,0.1315
275,34,2022-07-27,462802,4872,256,964.77,0.1197
276,32,2024-04-11,203448,19100,407,13817.56,0.0404
277,6,2023-11-11,323402,3491,27,5701.3,0.0487
278,37,2024-06-26,345016,3365,466,33177.1,0.1111
279,18,2023-01-20,354145,3236,951,38373.07,0.0114
280,33,2024-06-30,461184,10632,7,45378.01,0.0295
281,41,2022-01-06,385856,13468,731,44164.9,0.0166
282,31,2023-04-08,179696,11321,680,45625.78,0.0929
283,8,2024-09-06,251222,14483,160,43155.05,0.0649
284,19,2022-05-01,469066,2596,826,19442.22,0.0275
285,37,2023-12-02,103695,8379,368,13471.23,0.0922
286,31,2022-10-13,281022,1026,513,41879.49,0.1137
287,13,2024-10-10,82184,10521,589,17392.86,0.1226
288,7,2024-03-13,379174,17540,612,47208.17,0.0848
289,32,2023-10-09,10132,3479,313,27683.63,0.0196
290,44,2022-04-05,479927,5551,509,1378.03,0.1026
291,26,2023-07-21,376110,13291,360,49382.89,0.072
292,5,2022-03-30,189773,4598,833,24932.03,0.0292
293,32,2023-12-08,163793,6443,924,16226.63,0.0714
294,36,2022-04-25,63397,10469,176,21553.04,0.0989
295,32,2023-08-31,280679,12621,579,35725.29,0.0332
296,33,2024-12-05,99452,18702,496,35954.34,0.1136
297,29,2022-08-18,494460,13237,921,19984.8,0.0491
298,42,2022-06-15,149546,9884,265,17632.16,0.1286
299,15,2023-01-02,373566,6430,126,7455.01,0.0955
300,42,2022-08-19,400906,8376,842,7958.96,0.0404
301,44,2023-11-04,265971,18500,105,17993.54,0.0906
302,21,2023-09-06,174405,17772,154,40208.91,0.1416
303,30,2023-01-13,13287,8468,117,21804.82,0.1211
304,13,2023-07-01,88987,8730,122,26191.55,0.0487
305,2,2023-08-17,276288,19242,887,2946.89,0.0587
306,26,2024-10-05,7849,17226,724,24716.84,0.0604
307,9,2023-07-03,17188,16666,130,27977.87,0.1416
308,14,2022-04-18,17212,18949,187,23438.87,0.0355
309,21,2022-11-10,293655,19705,860,8910.63,0.0482
310,2,2022-10-19,374914,13124,693,24812.59,0.011
311,11,2023-12-24,257627,2479,819,17996.94,0.0742
312,47,2022-09-09,252773,10783,246,39677.92,0.0348
313,29,2025-01-08,404890,12544,671,29725.89,0.0339
314,8,2024-12-14,459398,9219,245,30688.97,0.0619
315,11,2022-11-24,422392,19177,527,32746.54,0.1453
316,27,2022-06-01,308403,11018,451,5397.72,0.0826
317,14,2022-01-22,27852,6371,28,31451.1,0.0575
318,17,2022-06-16,169617,18138,608,20212.8,0.0874
319,44,2024-09-20,444467,10045,533,7435.74,0.123
320,30,2023-10-12,475574,17579,754,10440.62,0.1029
321,13,2022-07-19,287346,8004,687,30925.05,0.1121
322,9,2022-06-27,172252,16134,245,40664.97,0.1387
323,1,2024-12-30,110601,13459,939,4987.27,0.1083
324,45,2023-01-14,75469,16504,480,29480.65,0.0714
325,6,2022-05-12,451410,518,607,25257.86,0.0202
326,19,2024-12-02,436210,3673,416,4768.54,0.0292
327,28,2022-12-20,293049,18009,702,40750.97,0.1243
328,31,2022-05-08,55070,12218,556,37456.14,0.0911
329,49,2024-04-14,248687,3550,582,20784.49,0.0248
330,28,2023-05-07,447816,314,169,33536.89,0.0616
331,27,2024-12-12,25316,6698,141,32125.26,0.067
332,14,2024-04-12,228812,12603,182,28784.52,0.087
333,14,2024-07-24,492471,9243,68,41857.84,0.0822
334,14,2022-05-27,345318,14491,353,33394.36,0.0573
335,14,2023-11-26,25225,17484,179,6516.96,0.1299
336,46,2023-07-16,259942,7237,22,4756.9,0.0205
337,37,2022-02-26,445788,14638,286,48032.22,0.1465
338,12,2023-07-24,52891,17942,218,32038.28,0.0332
339,27,2024-08-15,78121,1028,485,33965.45,0.1027
340,42,2022-02-07,58343,8877,726,24188.78,0.1102
341,48,2022-10-14,246211,5679,957,43943.06,0.0084
342,37,2024-01-25,282902,346,629,1288.81,0.0167
343,5,2024-08-07,441887,9298,678,27000.73,0.1197
344,33,2024-04-19,70477,4179,19,49747.17,0.0809
345,27,2024-09-11,129253,13448,281,11932.81,0.0806
346,18,2022-05-11,404109,12211,167,12442.34,0.0887
347,50,2023-01-10,339181,2032,894,6755.86,0.1276
348,41,2022-03-27,37751,12925,732,38202.04,0.0559
349,7,2024-01-14,37673,15184,269,24600.85,0.1451
350,49,2022-11-23,128310,9233,214,49293.14,0.0651
351,41,2024-05-07,149093,14368,636,26287.84,0.1186
352,19,2024-06-02,477555,11007,817,32602.8,0.0334
353,23,2022-02-09,140605,12555,517,38876.87,0.008
354,7,2023-10-19,363496,4412,458,39765.48,0.0615
355,3,2024-03-15,18609,8084,37,22727.14,0.1253
356,45,2024-10-23,180851,13395,622,33272.99,0.1495
357,49,2024-04-28,473047,7642,908,49166.21,0.1227
358,12,2022-09-09,319803,8519,739,31722.53,0.1041
359,25,2023-04-28,341002,8369,223,43458.85,0.0901
360,50,2024-10-16,37375,5707,250,20696.72,0.1491
361,28,2022-08-29,319223,7337,956,40724.26,0.1076
362,43,2024-08-14,339368,2031,405,5964.32,0.0762
363,31,2024-12-31,382512,1568,959,48271.04,0.013
364,30,2022-05-16,216728,12612,670,29272.05,0.0859
365,13,2023-07-01,341715,2886,56,16490.66,0.1376
366,25,2024-09-25,401841,5405,270,6403.0,0.0681
367,18,2022-09-27,19237,14520,898,40870.67,0.1129
368,19,2023-01-01,333212,15158,121,38093.7,0.1398
369,5,2023-01-29,231237,11242,901,49847.85,0.1219
370,36,2024-05-07,433512,14470,764,38122.81,0.0403
371,15,2024-04-25,145949,17453,588,44425.62,0.1267
372,6,2024-08-02,166043,19602,964,557.85,0.0756
373,41,2024-09-04,362585,437,60,43262.19,0.0559
374,34,2022-12-17,293513,3645,886,45014.52,0.0077
375,49,2023-10-30,479100,8197,241,13104.49,0.0113
376,50,2022-08-23,1601,5636,178,1667.36,0.0343
377,9,2022-05-27,216601,824,647,44075.62,0.1396
378,10,2024-12-16,459648,6202,469,87.4,0.14
379,47,2024-09-24,486841,5714,953,20930.36,0.0369
380,37,2023-02-05,480584,7279,680,45114.73,0.1354
381,1,2022-11-10,425761,6686,174,27140.14,0.0491
382,8,2022-10-17,141318,284,41,19459.56,0.0216
383,18,2022-07-12,254345,9949,760,26399.33,0.0075
384,26,2023-07-05,420483,19409,700,25601.84,0.111
385,17,2024-07-17,363179,14242,623,1259.83,0.1297
386,11,2022-02-01,454210,5740,474,20053.38,0.1064
387,38,2022-02-14,434794,8801,919,15765.35,0.1012
388,36,2023-01-17,9601,5577,792,48206.23,0.0655
389,40,2022-09-29,240700,18067,169,41012.72,0.0931
390,11,2023-11-10,113123,18907,538,9462.6,0.1352
391,19,2023-10-10,119305,14554,272,2617.38,0.1123
392,25,2025-01-15,140800,1192,935,46449.76,0.1365
393,23,2024-05-02,154354,6507,146,32412.48,0.0623
394,22,2023-04-10,62693,4784,269,25923.32,0.1144
395,35,2022-12-29,236531,19955,50,19519.26,0.141
396,50,2023-09-16,177754,14796,243,13176.89,0.0842
397,22,2023-07-13,62913,7129,859,44119.15,0.0358
398,25,2022-05-28,219544,6017,855,18390.66,0.0343
399,43,2022-05-19,314164,15121,222,34252.36,0.0297
400,46,2023-06-21,323498,9812,341,7240.85,0.0032
401,23,2022-10-30,147925,4780,671,49590.33,0.0538
402,27,2024-10-04,106774,16995,663,38600.5,0.0921
403,1,2024-07-13,403649,12417,741,5683.84,0.0189
404,45,2025-01-27,404837,15584,718,19188.26,0.0994
405,43,2023-11-24,153236,1381,24,40580.5,0.1352
406,9,2022-01-18,371447,5208,898,35446.17,0.0657
407,30,2024-05-07,307691,11799,105,7857.34,0.111
408,1,2023-10-05,257399,950,728,7990.01,0.0294
409,2,2023-04-22,273334,6020,928,2931.97,0.0023
410,3,2023-03-23,309071,398,861,4463.39,0.0101
411,4,2022-04-14,298456,5693,838,27954.6,0.0261
412,50,2022-01-08,104442,17831,863,46084.22,0.0727
413,7,2023-11-16,61054,9522,107,23274.11,0.0875
414,11,2024-05-21,193411,9363,999,2761.8,0.0127
415,26,2022-12-27,386934,9229,886,6975.16,0.0539
416,44,2024-01-21,194094,7286,522,24115.96,0.086
417,38,2022-07-02,167368,9925,162,48648.26,0.0271
418,46,2022-04-16,189511,18001,677,9963.96,0.0216
419,34,2023-04-10,247158,2062,713,18741.83,0.08
420,31,2023-11-06,164596,8348,809,30501.81,0.0329
421,17,2022-11-05,153707,12850,414,2904.07,0.0733
422,39,2023-06-09,268738,8756,157,9187.04,0.0045
423,40,2022-02-17,8627,3500,763,14595.37,0.1175
424,7,2022-03-23,36436,14227,656,3029.19,0.0668
425,2,2024-06-01,241731,1483,260,35956.08,0.0026
426,18,2022-08-12,498449,7067,947,17417.95,0.076
427,1,2024-01-30,140810,5743,209,11029.04,0.0531
428,19,2022-06-03,187663,3973,980,27498.1,0.1217
429,8,2023-04-26,492417,8212,976,8844.55,0.0818
430,33,2022-08-19,190948,2757,673,13967.54,0.1103
431,16,2022-01-20,171820,7337,475,29001.23,0.0983
432,41,2022-08-05,377551,11337,674,44772.84,0.1238
433,10,2024-09-16,203846,18036,309,32419.18,0.0158
434,49,2022-07-29,223189,4185,741,27763.74,0.0588
435,46,2023-02-12,449365,12917,145,13019.06,0.0953
436,43,2022-08-31,302592,2783,474,49975.74,0.1009
437,13,2023-10-17,297168,7514,155,29638.5,0.1317
438,18,2022-02-27,176656,10490,274,38952.96,0.0585
439,44,2022-10-14,46493,18156,186,22178.84,0.0025
440,49,2024-03-11,407718,4565,439,27684.07,0.0638
441,3,2023-09-05,156784,15474,428,48287.94,0.0963
442,32,2024-11-07,440396,19141,993,26352.82,0.0584
443,11,2024-12-02,217834,16339,962,14573.74,0.0355
444,46,2024-12-02,421580,11245,839,39163.79,0.0241
445,49,2024-11-14,31650,10064,584,32797.96,0.104
446,23,2022-12-08,186880,10553,902,27846.2,0.1311
447,46,2022-08-20,412335,10736,226,30205.11,0.0509
448,14,2022-05-13,382887,6385,75,10604.84,0.1272
449,5,2023-09-12,380182,16601,341,33094.06,0.1466
450,5,2024-07-10,141226,7702,788,40534.44,0.0105
451,12,2024-04-20,68582,2584,925,29383.56,0.0677
452,45,2023-05-20,55789,9792,372,22593.23,0.0647
453,24,2023-09-10,98670,10613,942,25710.23,0.0642
454,26,2022-01-07,430654,3854,583,34309.92,0.1477
455,47,2023-06-24,211269,3379,123,21186.32,0.0812
456,2,2024-09-19,157152,11046,928,7977.45,0.0463
457,35,2024-04-07,62727,10820,42,46342.37,0.0548
458,8,2022-07-09,26688,17633,941,889.62,0.1261
459,1,2024-04-01,360993,3809,355,14779.28,0.0149
460,21,2024-08-06,282638,15255,985,48835.63,0.0379
461,30,2022-08-03,108870,3645,90,45464.29,0.0883
462,41,2022-10-01,477365,14951,78,2232.59,0.0305
463,25,2024-06-01,482008,307,444,10489.6,0.0838
464,48,2024-08-25,325754,17175,570,3259.95,0.0533
465,18,2023-11-21,225753,2022,403,28604.92,0.13
466,21,2022-08-09,174206,5830,771,44184.94,0.0279
467,45,2023-10-05,350034,1938,622,1531.82,0.0571
468,41,2022-08-02,177523,6470,912,31294.19,0.1326
469,26,2023-06-09,147178,7265,782,3301.93,0.0255
470,1,2022-02-23,440872,8139,6,1481.13,0.1015
471,50,2022-12-16,455515,1425,539,37685.41,0.0312
472,1,2024-02-15,269888,17532,977,37428.22,0.1032
473,36,2023-04-17,35966,2874,296,29617.79,0.0305
474,33,2024-04-23,260772,13372,554,12773.58,0.1242
475,18,2022-05-15,345972,4937,115,43610.53,0.119
476,31,2022-04-15,201321,4853,891,7207.76,0.0175
477,35,2023-09-23,67257,13532,751,191.9,0.0235
478,1,2023-03-10,348312,18709,22,7974.8,0.131
479,22,2023-09-26,72530,11536,623,15568.78,0.0237
480,16,2022-07-28,58761,4675,117,1656.86,0.089
481,1,2022-06-25,98786,8562,690,14032.81,0.0236
482,13,2024-03-23,4790,4667,326,20758.77,0.0361
