invoice_id,order_id,invoice_date,due_date,amount,status,payment_method
57,57,2024-11-21,2024-12-21,961.13,Paid,Bank Transfer
58,58,2024-12-09,2025-01-08,1746.8,Paid,Bank Transfer
59,59,2023-05-26,2023-06-25,854.08,Paid,Credit Card
60,60,2024-08-08,2024-09-07,630.09,Unpaid,Bank Transfer
61,61,2024-09-28,2024-10-28,415.45,Paid,Credit Card
62,62,2023-12-18,2024-01-17,647.84,Unpaid,Credit Card
63,63,2024-03-02,2024-04-01,1310.45,Paid,Credit Card
64,64,2023-04-07,2023-05-07,1251.54,Paid,Credit Card
65,65,2022-01-19,2022-02-18,1293.83,Paid,Cash
66,66,2023-09-18,2023-10-18,1705.19,Paid,Bank Transfer
67,67,2024-08-13,2024-09-12,757.75,Paid,Cash
68,68,2022-01-16,2022-02-15,1022.36,Paid,Cash
69,69,2023-08-02,2023-09-01,595.2,Paid,Bank Transfer
70,70,2023-10-28,2023-11-27,503.45,Paid,Cash
71,71,2024-11-25,2024-12-25,1321.31,Paid,Credit Card
72,72,2023-10-17,2023-11-16,697.07,Paid,Credit Card
73,73,2024-05-07,2024-06-06,1732.54,Paid,Bank Transfer
74,74,2023-12-04,2024-01-03,871.08,Paid,Cash
75,75,2024-01-05,2024-02-04,1373.41,Paid,Credit Card
76,76,2022-07-19,2022-08-18,535.25,Paid,Cash
77,77,2023-01-10,2023-02-09,1478.99,Paid,Credit Card
78,78,2023-09-21,2023-10-21,1476.51,Paid,Cash
79,79,2022-08-30,2022-09-29,1979.41,Paid,Bank Transfer
80,80,2022-05-26,2022-06-25,174.04,Overdue,Cash
81,81,2024-04-26,2024-05-26,1535.46,Overdue,Cash
82,82,2024-07-26,2024-08-25,1191.31,Unpaid,Bank Transfer
83,83,2022-12-29,2023-01-28,1987.36,Paid,Cash
84,84,2022-12-12,2023-01-11,221.57,Paid,Cash
85,85,2024-06-07,2024-07-07,445.77,Unpaid,Bank Transfer
86,86,2024-12-29,2025-01-28,815.55,Paid,Bank Transfer
87,87,2024-12-23,2025-01-22,1465.73,Unpaid,Bank Transfer
88,88,2023-12-07,2024-01-06,861.6,Paid,Cash
89,89,2022-05-14,2022-06-13,1292.82,Unpaid,Cash
90,90,2023-11-23,2023-12-23,983.98,Paid,Bank Transfer
91,91,2023-01-21,2023-02-20,1446.68,Overdue,Bank Transfer
92,92,2022-02-14,2022-03-16,811.79,Unpaid,Cash
93,93,2023-06-08,2023-07-08,1773.17,Overdue,Credit Card
94,94,2022-02-10,2022-03-12,1485.94,Paid,Bank Transfer
95,95,2023-06-02,2023-07-02,820.15,Overdue,Cash
96,96,2022-07-26,2022-08-25,762.36,Overdue,Cash
97,97,2022-08-03,2022-09-02,1245.27,Paid,Cash
98,98,2024-10-16,2024-11-15,344.86,Paid,Cash
99,99,2024-01-04,2024-02-03,478.48,Paid,Cash
100,100,2024-09-11,2024-10-11,1414.66,Unpaid,Bank Transfer
101,101,2024-10-08,2024-11-07,1818.37,Paid,Bank Transfer
102,102,2023-04-19,2023-05-19,570.91,Unpaid,Cash
103,103,2022-03-22,2022-04-21,499.1,Overdue,Bank Transfer
104,104,2022-07-14,2022-08-13,365.98,Paid,Credit Card
105,105,2024-06-15,2024-07-15,521.69,Paid,Credit Card
106,106,2024-03-31,2024-04-30,448.24,Paid,Cash
107,107,2022-12-08,2023-01-07,789.33,Paid,Bank Transfer
108,108,2024-09-15,2024-10-15,979.42,Unpaid,Credit Card
109,109,2022-03-01,2022-03-31,442.16,Overdue,Credit Card
110,110,2022-05-10,2022-06-09,521.59,Overdue,Bank Transfer
111,111,2023-04-04,2023-05-04,351.97,Unpaid,Bank Transfer
112,112,2023-05-25,2023-06-24,1732.19,Paid,Credit Card
113,113,2022-04-22,2022-05-22,392.2,Overdue,Bank Transfer
114,114,2022-12-05,2023-01-04,578.41,Paid,Cash
115,115,2023-04-02,2023-05-02,1750.05,Paid,Cash
116,116,2024-06-28,2024-07-28,467.34,Overdue,Bank Transfer
117,117,2024-10-15,2024-11-14,1297.38,Paid,Credit Card
118,118,2022-07-06,2022-08-05,1083.8,Unpaid,Bank Transfer
119,119,2024-07-23,2024-08-22,633.99,Unpaid,Bank Transfer
120,120,2023-11-11,2023-12-11,618.84,Paid,Credit Card
121,121,2022-08-22,2022-09-21,1939.36,Paid,Credit Card
122,122,2023-08-21,2023-09-20,1020.86,Paid,Credit Card
123,123,2024-10-05,2024-11-04,299.88,Overdue,Bank Transfer
124,124,2023-02-06,2023-03-08,407.28,Unpaid,Bank Transfer
125,125,2023-01-26,2023-02-25,1078.33,Paid,Bank Transfer
126,126,2024-07-11,2024-08-10,435.87,Overdue,Cash
127,127,2022-01-09,2022-02-08,1556.12,Paid,Cash
128,128,2024-09-16,2024-10-16,352.22,Paid,Bank Transfer
129,129,2023-10-22,2023-11-21,1109.75,Paid,Bank Transfer
130,130,2023-12-04,2024-01-03,1756.11,Overdue,Credit Card
131,131,2024-11-15,2024-12-15,1621.51,Overdue,Bank Transfer
132,132,2023-02-16,2023-03-18,1417.65,Paid,Credit Card
133,133,2022-09-29,2022-10-29,1942.83,Overdue,Bank Transfer
134,134,2023-12-23,2024-01-22,673.98,Overdue,Credit Card
135,135,2024-12-29,2025-01-28,766.04,Paid,Cash
136,136,2022-10-25,2022-11-24,372.07,Overdue,Credit Card
137,137,2023-05-29,2023-06-28,1886.08,Paid,Cash
138,138,2022-03-08,2022-04-07,456.27,Overdue,Cash
139,139,2024-03-07,2024-04-06,201.57,Paid,Cash
140,140,2022-04-07,2022-05-07,129.86,Paid,Cash
141,141,2022-04-21,2022-05-21,148.76,Paid,Bank Transfer
142,142,2024-01-24,2024-02-23,394.38,Paid,Cash
143,143,2022-12-30,2023-01-29,1221.27,Paid,Bank Transfer
144,144,2024-05-27,2024-06-26,1831.16,Paid,Cash
145,145,2022-01-12,2022-02-11,1224.37,Paid,Cash
146,146,2023-10-23,2023-11-22,937.35,Paid,Credit Card
147,147,2023-09-09,2023-10-09,1684.02,Paid,Credit Card
148,148,2023-01-12,2023-02-11,145.36,Paid,Credit Card
149,149,2024-04-06,2024-05-06,954.92,Paid,Bank Transfer
150,150,2023-08-25,2023-09-24,199.54,Paid,Bank Transfer
151,151,2022-01-19,2022-02-18,1452.98,Paid,Credit Card
152,152,2023-05-15,2023-06-14,513.93,Paid,Cash
153,153,2023-08-03,2023-09-02,725.59,Paid,Credit Card
154,154,2024-07-01,2024-07-31,1905.49,Paid,Credit Card
155,155,2022-06-18,2022-07-18,97.2,Paid,Bank Transfer
156,156,2023-03-08,2023-04-07,607.73,Unpaid,Bank Transfer
157,157,2024-06-10,2024-07-10,1074.99,Paid,Credit Card
158,158,2022-03-19,2022-04-18,1240.95,Unpaid,Bank Transfer
159,159,2023-04-12,2023-05-12,1235.54,Paid,Cash
160,160,2022-02-04,2022-03-06,1540.75,Paid,Bank Transfer
161,161,2022-04-04,2022-05-04,825.42,Unpaid,Credit Card
162,162,2023-07-31,2023-08-30,1503.64,Paid,Bank Transfer
163,163,2024-12-28,2025-01-27,1976.15,Paid,Credit Card
164,164,2022-10-23,2022-11-22,1570.51,Paid,Cash
165,165,2022-10-17,2022-11-16,1190.2,Paid,Bank Transfer
166,166,2022-06-24,2022-07-24,1878.74,Overdue,Bank Transfer
167,167,2024-11-15,2024-12-15,695.66,Paid,Bank Transfer
168,168,2023-01-07,2023-02-06,627.44,Paid,Cash
169,169,2022-05-30,2022-06-29,1836.37,Paid,Credit Card
170,170,2024-09-24,2024-10-24,850.32,Paid,Cash
171,171,2022-05-23,2022-06-22,1501.46,Unpaid,Cash
172,172,2022-11-09,2022-12-09,1239.4,Paid,Credit Card
173,173,2023-10-04,2023-11-03,1792.44,Overdue,Cash
174,174,2024-01-07,2024-02-06,282.18,Paid,Credit Card
175,175,2024-01-05,2024-02-04,1604.12,Paid,Bank Transfer
176,176,2023-07-29,2023-08-28,1080.38,Unpaid,Cash
177,177,2022-02-08,2022-03-10,1851.61,Paid,Cash
178,178,2023-03-12,2023-04-11,185.76,Unpaid,Bank Transfer
179,179,2022-11-01,2022-12-01,1857.18,Unpaid,Credit Card
180,180,2023-08-19,2023-09-18,1307.76,Unpaid,Cash
181,181,2022-01-22,2022-02-21,1145.59,Unpaid,Credit Card
182,182,2022-11-23,2022-12-23,80.34,Paid,Cash
183,183,2024-09-17,2024-10-17,556.56,Overdue,Cash
184,184,2024-01-27,2024-02-26,190.97,Paid,Credit Card
185,185,2024-07-20,2024-08-19,703.62,Paid,Credit Card
186,186,2023-07-15,2023-08-14,1330.86,Paid,Bank Transfer
187,187,2024-01-19,2024-02-18,276.42,Paid,Cash
188,188,2023-04-02,2023-05-02,1262.05,Paid,Cash
189,189,2024-09-14,2024-10-14,418.45,Paid,Credit Card
190,190,2022-06-07,2022-07-07,112.32,Unpaid,Bank Transfer
191,191,2022-08-31,2022-09-30,1126.54,Overdue,Bank Transfer
192,192,2024-09-07,2024-10-07,1475.33,Paid,Credit Card
193,193,2022-03-30,2022-04-29,1121.87,Paid,Credit Card
194,194,2022-10-28,2022-11-27,1227.92,Paid,Bank Transfer
195,195,2022-02-08,2022-03-10,682.66,Paid,Bank Transfer
196,196,2022-12-16,2023-01-15,1360.25,Overdue,Cash
197,197,2023-01-08,2023-02-07,65.67,Paid,Cash
198,198,2022-05-21,2022-06-20,1896.5,Unpaid,Credit Card
199,199,2024-10-29,2024-11-28,1615.91,Paid,Bank Transfer
200,200,2022-03-21,2022-04-20,1113.79,Paid,Credit Card
201,201,2022-01-03,2022-02-02,539.05,Unpaid,Bank Transfer
202,202,2024-05-28,2024-06-27,1697.45,Unpaid,Bank Transfer
203,203,2022-07-20,2022-08-19,913.29,Unpaid,Cash
204,204,2022-06-21,2022-07-21,1959.87,Paid,Credit Card
205,205,2022-01-15,2022-02-14,1441.67,Paid,Bank Transfer
206,206,2023-10-09,2023-11-08,1743.84,Overdue,Cash
207,207,2024-05-17,2024-06-16,1177.16,Paid,Bank Transfer
208,208,2024-04-26,2024-05-26,796.44,Paid,Credit Card
209,209,2023-06-04,2023-07-04,89.85,Unpaid,Bank Transfer
210,210,2022-09-01,2022-10-01,1261.47,Paid,Bank Transfer
211,211,2024-11-07,2024-12-07,1614.41,Paid,Cash
212,212,2022-01-11,2022-02-10,1126.55,Overdue,Cash
213,213,2023-06-23,2023-07-23,1854.96,Unpaid,Cash
214,214,2024-12-03,2025-01-02,1762.55,Paid,Bank Transfer
215,215,2024-06-18,2024-07-18,1400.57,Overdue,Cash
216,216,2022-03-10,2022-04-09,1662.58,Paid,Credit Card
217,217,2022-03-15,2022-04-14,790.92,Paid,Bank Transfer
218,218,2024-03-29,2024-04-28,1301.37,Paid,Cash
219,219,2022-05-21,2022-06-20,65.6,Paid,Credit Card
220,220,2023-12-14,2024-01-13,1602.74,Paid,Cash
221,221,2024-04-07,2024-05-07,776.74,Paid,Bank Transfer
222,222,2022-05-29,2022-06-28,1664.8,Paid,Cash
223,223,2023-05-28,2023-06-27,1511.41,Paid,Cash
224,224,2024-07-28,2024-08-27,1238.49,Paid,Cash
225,225,2024-02-23,2024-03-24,53.02,Paid,Credit Card
226,226,2024-11-23,2024-12-23,1524.66,Paid,Cash
227,227,2024-03-28,2024-04-27,1181.99,Paid,Cash
228,228,2023-03-24,2023-04-23,506.87,Paid,Cash
229,229,2023-02-13,2023-03-15,1147.68,Paid,Credit Card
230,230,2023-05-27,2023-06-26,1186.46,Paid,Bank Transfer
231,231,2024-10-05,2024-11-04,930.01,Overdue,Cash
232,232,2024-01-31,2024-03-01,114.6,Paid,Credit Card
233,233,2024-10-02,2024-11-01,629.1,Paid,Cash
234,234,2024-12-12,2025-01-11,493.95,Paid,Credit Card
235,235,2022-12-24,2023-01-23,1915.48,Unpaid,Bank Transfer
236,236,2022-01-25,2022-02-24,445.8,Paid,Cash
237,237,2023-06-16,2023-07-16,676.13,Paid,Credit Card
238,238,2023-12-04,2024-01-03,1321.87,Unpaid,Bank Transfer
239,239,2024-02-02,2024-03-03,35.5,Overdue,Bank Transfer
240,240,2023-04-14,2023-05-14,1731.77,Overdue,Bank Transfer
241,241,2024-02-20,2024-03-21,1633.09,Overdue,Cash
242,242,2022-01-20,2022-02-19,1545.04,Paid,Bank Transfer
243,243,2023-10-09,2023-11-08,1383.76,Paid,Cash
244,244,2022-07-22,2022-08-21,1784.02,Paid,Cash
245,245,2022-07-17,2022-08-16,1879.74,Overdue,Cash
246,246,2023-06-12,2023-07-12,387.43,Paid,Cash
247,247,2022-12-24,2023-01-23,1814.34,Overdue,Credit Card
248,248,2024-07-04,2024-08-03,1525.07,Paid,Cash
249,249,2023-11-22,2023-12-22,452.3,Paid,Bank Transfer
250,250,2023-12-05,2024-01-04,435.14,Unpaid,Cash
251,251,2024-03-20,2024-04-19,1038.19,Unpaid,Cash
252,252,2024-12-02,2025-01-01,1460.44,Unpaid,Bank Transfer
253,253,2023-04-26,2023-05-26,1815.16,Unpaid,Cash
254,254,2022-07-30,2022-08-29,56.57,Unpaid,Bank Transfer
255,255,2024-12-09,2025-01-08,661.42,Overdue,Credit Card
256,256,2024-03-09,2024-04-08,969.67,Paid,Cash
257,257,2022-09-26,2022-10-26,575.84,Paid,Cash
258,258,2023-10-29,2023-11-28,960.39,Paid,Credit Card
259,259,2022-10-04,2022-11-03,477.48,Paid,Credit Card
260,260,2024-12-29,2025-01-28,1876.5,Paid,Bank Transfer
261,261,2024-01-20,2024-02-19,1373.68,Paid,Cash
262,262,2022-10-07,2022-11-06,1264.45,Overdue,Cash
263,263,2024-09-04,2024-10-04,1252.85,Paid,Cash
264,264,2022-01-15,2022-02-14,1422.9,Paid,Credit Card
265,265,2023-05-27,2023-06-26,1934.6,Paid,Cash
266,266,2022-06-12,2022-07-12,1279.5,Overdue,Bank Transfer
267,267,2023-07-11,2023-08-10,1374.13,Paid,Bank Transfer
268,268,2022-05-21,2022-06-20,898.65,Paid,Cash
269,269,2023-07-12,2023-08-11,1310.79,Overdue,Cash
270,270,2022-02-15,2022-03-17,996.18,Paid,Bank Transfer
271,271,2023-04-22,2023-05-22,463.56,Overdue,Bank Transfer
272,272,2024-10-17,2024-11-16,724.07,Paid,Credit Card
273,273,2022-10-27,2022-11-26,1539.66,Unpaid,Bank Transfer
274,274,2023-01-29,2023-02-28,1775.71,Overdue,Bank Transfer
275,275,2024-06-26,2024-07-26,892.39,Overdue,Bank Transfer
276,276,2023-03-03,2023-04-02,490.41,Paid,Credit Card
277,277,2022-03-28,2022-04-27,1140.13,Paid,Bank Transfer
278,278,2022-04-17,2022-05-17,1478.07,Paid,Credit Card
279,279,2023-07-20,2023-08-19,1673.44,Unpaid,Credit Card
280,280,2024-08-31,2024-09-30,1677.5,Paid,Cash
281,281,2022-07-07,2022-08-06,668.02,Unpaid,Cash
282,282,2022-11-12,2022-12-12,1285.82,Paid,Bank Transfer
283,283,2023-12-13,2024-01-12,306.28,Overdue,Bank Transfer
284,284,2022-10-03,2022-11-02,1523.46,Paid,Bank Transfer
285,285,2024-09-30,2024-10-30,1549.14,Overdue,Credit Card
286,286,2023-07-18,2023-08-17,969.6,Unpaid,Cash
287,287,2023-06-24,2023-07-24,116.66,Overdue,Bank Transfer
288,288,2023-01-15,2023-02-14,883.07,Paid,Credit Card
289,289,2022-05-10,2022-06-09,1612.84,Overdue,Credit Card
290,290,2022-11-12,2022-12-12,563.7,Paid,Credit Card
291,291,2024-12-07,2025-01-06,1821.78,Overdue,Credit Card
292,292,2023-02-18,2023-03-20,162.54,Paid,Credit Card
293,293,2024-03-06,2024-04-05,888.49,Paid,Bank Transfer
294,294,2023-03-29,2023-04-28,1593.23,Overdue,Bank Transfer
295,295,2022-06-13,2022-07-13,812.49,Unpaid,Credit Card
296,296,2022-04-30,2022-05-30,1858.52,Paid,Bank Transfer
297,297,2022-06-09,2022-07-09,559.68,Paid,Bank Transfer
298,298,2023-01-24,2023-02-23,505.2,Paid,Bank Transfer
299,299,2024-04-30,2024-05-30,100.99,Unpaid,Bank Transfer
300,300,2024-05-24,2024-06-23,1714.47,Unpaid,Cash
301,301,2022-11-20,2022-12-20,1407.02,Unpaid,Credit Card
302,302,2024-02-01,2024-03-02,115.19,Paid,Cash
303,303,2023-03-15,2023-04-14,428.3,Paid,Cash
304,304,2022-01-01,2022-01-31,1155.3,Paid,Cash
305,305,2022-01-14,2022-02-13,1387.93,Overdue,Bank Transfer
306,306,2023-07-20,2023-08-19,829.36,Paid,Cash
307,307,2022-03-19,2022-04-18,741.57,Paid,Credit Card
308,308,2023-05-27,2023-06-26,1962.61,Paid,Bank Transfer
309,309,2023-03-22,2023-04-21,1450.86,Paid,Cash
310,310,2022-07-15,2022-08-14,506.88,Paid,Cash
311,311,2022-04-25,2022-05-25,1004.31,Paid,Bank Transfer
312,312,2023-04-10,2023-05-10,1107.06,Paid,Credit Card
313,313,2024-12-09,2025-01-08,784.83,Unpaid,Bank Transfer
314,314,2023-03-29,2023-04-28,450.74,Overdue,Bank Transfer
315,315,2024-10-30,2024-11-29,807.38,Overdue,Bank Transfer
316,316,2023-11-20,2023-12-20,591.37,Unpaid,Credit Card
317,317,2022-06-24,2022-07-24,902.71,Overdue,Credit Card
318,318,2024-09-11,2024-10-11,1665.76,Paid,Credit Card
319,319,2024-12-09,2025-01-08,1339.28,Overdue,Cash
320,320,2022-07-03,2022-08-02,1147.65,Paid,Cash
321,321,2023-12-07,2024-01-06,1019.65,Unpaid,Bank Transfer
322,322,2024-06-24,2024-07-24,761.8,Paid,Credit Card
323,323,2024-02-05,2024-03-06,1153.72,Paid,Bank Transfer
324,324,2022-10-30,2022-11-29,210.04,Paid,Cash
325,325,2024-08-22,2024-09-21,1565.89,Paid,Credit Card
326,326,2024-12-07,2025-01-06,1350.92,Unpaid,Bank Transfer
327,327,2022-02-07,2022-03-09,1247.43,Paid,Cash
328,328,2023-08-05,2023-09-04,1523.48,Paid,Cash
329,329,2022-05-17,2022-06-16,1565.63,Paid,Cash
330,330,2022-02-09,2022-03-11,1149.32,Paid,Bank Transfer
331,331,2022-07-23,2022-08-22,900.98,Paid,Bank Transfer
332,332,2024-10-22,2024-11-21,1564.66,Overdue,Credit Card
333,333,2023-09-17,2023-10-17,973.19,Paid,Bank Transfer
334,334,2023-12-22,2024-01-21,619.92,Overdue,Bank Transfer
335,335,2022-05-07,2022-06-06,1304.31,Paid,Cash
336,336,2023-04-07,2023-05-07,1673.98,Paid,Bank Transfer
337,337,2024-12-02,2025-01-01,1083.35,Unpaid,Credit Card
338,338,2024-05-23,2024-06-22,685.85,Unpaid,Cash
339,339,2022-10-11,2022-11-10,365.95,Paid,Cash
340,340,2024-12-08,2025-01-07,25.29,Overdue,Bank Transfer
341,341,2023-10-13,2023-11-12,1540.01,Paid,Bank Transfer
342,342,2022-10-26,2022-11-25,821.73,Paid,Bank Transfer
343,343,2023-07-15,2023-08-14,1732.96,Paid,Credit Card
344,344,2023-07-01,2023-07-31,732.69,Unpaid,Bank Transfer
345,345,2022-02-23,2022-03-25,267.48,Paid,Cash
346,346,2024-08-18,2024-09-17,114.52,Paid,Bank Transfer
347,347,2023-01-31,2023-03-02,1294.03,Unpaid,Bank Transfer
348,348,2024-04-25,2024-05-25,1720.44,Paid,Cash
349,349,2024-06-18,2024-07-18,1922.66,Paid,Cash
350,350,2024-05-25,2024-06-24,162.08,Paid,Cash
351,351,2024-03-18,2024-04-17,1082.39,Paid,Credit Card
352,352,2022-03-20,2022-04-19,717.75,Paid,Bank Transfer
353,353,2024-11-28,2024-12-28,1924.61,Paid,Bank Transfer
354,354,2022-04-11,2022-05-11,524.03,Paid,Bank Transfer
355,355,2023-08-09,2023-09-08,555.32,Unpaid,Bank Transfer
356,356,2022-10-19,2022-11-18,208.56,Overdue,Bank Transfer
357,357,2022-10-05,2022-11-04,1753.56,Paid,Bank Transfer
358,358,2023-02-18,2023-03-20,443.71,Paid,Credit Card
359,359,2022-09-11,2022-10-11,490.82,Paid,Cash
360,360,2024-02-26,2024-03-27,746.1,Paid,Bank Transfer
361,361,2022-12-16,2023-01-15,1114.32,Overdue,Bank Transfer
362,362,2022-10-24,2022-11-23,982.25,Overdue,Bank Transfer
363,363,2024-07-02,2024-08-01,1669.07,Paid,Cash
364,364,2022-01-08,2022-02-07,213.49,Unpaid,Bank Transfer
365,365,2022-01-12,2022-02-11,107.74,Overdue,Bank Transfer
366,366,2024-06-23,2024-07-23,1263.58,Paid,Credit Card
367,367,2023-03-02,2023-04-01,832.88,Paid,Credit Card
368,368,2022-03-08,2022-04-07,1488.49,Paid,Bank Transfer
369,369,2024-05-03,2024-06-02,23.72,Paid,Bank Transfer
370,370,2022-12-30,2023-01-29,221.49,Unpaid,Cash
371,371,2023-09-05,2023-10-05,1994.24,Unpaid,Cash
372,372,2022-05-13,2022-06-12,1438.31,Paid,Cash
373,373,2024-04-27,2024-05-27,1958.56,Overdue,Bank Transfer
374,374,2024-12-19,2025-01-18,1446.32,Paid,Bank Transfer
375,375,2023-10-11,2023-11-10,266.48,Paid,Cash
376,376,2024-10-13,2024-11-12,652.3,Paid,Credit Card
377,377,2023-04-22,2023-05-22,1046.04,Paid,Bank Transfer
378,378,2022-08-30,2022-09-29,1878.88,Paid,Cash
379,379,2023-03-11,2023-04-10,1537.83,Paid,Credit Card
380,380,2023-09-23,2023-10-23,933.73,Paid,Cash
381,381,2023-11-14,2023-12-14,1652.8,Paid,Credit Card
382,382,2023-02-02,2023-03-04,174.11,Paid,Cash
383,383,2022-10-06,2022-11-05,1362.05,Paid,Credit Card
384,384,2024-08-05,2024-09-04,887.89,Paid,Bank Transfer
385,385,2023-10-09,2023-11-08,930.82,Paid,Cash
386,386,2023-12-26,2024-01-25,86.22,Overdue,Bank Transfer
387,387,2024-12-30,2025-01-29,1407.44,Paid,Cash
388,388,2023-09-24,2023-10-24,638.95,Paid,Bank Transfer
389,389,2023-05-02,2023-06-01,1809.65,Paid,Credit Card
390,390,2022-12-25,2023-01-24,1503.54,Paid,Cash
391,391,2024-06-27,2024-07-27,1624.64,Paid,Cash
392,392,2023-11-28,2023-12-28,1108.36,Overdue,Bank Transfer
393,393,2022-07-21,2022-08-20,901.44,Paid,Bank Transfer
394,394,2024-12-05,2025-01-04,1996.46,Unpaid,Bank Transfer
395,395,2023-11-14,2023-12-14,1999.72,Paid,Cash
396,396,2023-10-02,2023-11-01,1595.26,Overdue,Cash
397,397,2024-06-22,2024-07-22,826.89,Unpaid,Credit Card
398,398,2024-11-18,2024-12-18,919.82,Paid,Cash
399,399,2023-08-04,2023-09-03,1085.9,Paid,Credit Card
400,400,2024-06-27,2024-07-27,1934.74,Paid,Bank Transfer
401,401,2022-04-21,2022-05-21,1644.14,Paid,Cash
402,402,2024-07-02,2024-08-01,34.46,Paid,Credit Card
403,403,2024-12-28,2025-01-27,113.31,Unpaid,Bank Transfer
404,404,2023-09-28,2023-10-28,346.64,Paid,Cash
405,405,2023-06-13,2023-07-13,468.89,Unpaid,Cash
406,406,2023-10-28,2023-11-27,1847.31,Paid,Bank Transfer
407,407,2024-08-02,2024-09-01,1430.29,Overdue,Bank Transfer
408,408,2022-07-30,2022-08-29,894.43,Paid,Cash
409,409,2023-09-11,2023-10-11,550.7,Paid,Credit Card
410,410,2022-11-22,2022-12-22,1413.12,Paid,Cash
411,411,2024-06-10,2024-07-10,122.07,Unpaid,Cash
412,412,2022-06-09,2022-07-09,1447.41,Paid,Cash
413,413,2022-07-19,2022-08-18,885.17,Paid,Cash
414,414,2024-02-16,2024-03-17,1631.24,Unpaid,Credit Card
415,415,2022-10-12,2022-11-11,1037.06,Paid,Credit Card
416,416,2024-07-16,2024-08-15,1898.2,Unpaid,Credit Card
417,417,2023-10-11,2023-11-10,1795.91,Unpaid,Cash
418,418,2024-06-09,2024-07-09,1893.03,Paid,Credit Card
419,419,2022-09-19,2022-10-19,1774.98,Overdue,Bank Transfer
420,420,2024-01-06,2024-02-05,869.75,Overdue,Credit Card
421,421,2024-03-18,2024-04-17,195.15,Paid,Cash
