payroll_id,employee_id,pay_period,gross_salary,deductions,net_salary,payment_date
99,17,2024-03,11887.06,3618.52,8268.54,2024-03-28
100,17,2024-04,16064.84,4614.65,11450.19,2024-04-28
101,17,2024-05,12700.36,3939.25,8761.11,2024-05-28
102,17,2024-06,7925.73,2589.25,5336.48,2024-06-28
103,34,2024-01,16217.26,4651.04,11566.22,2024-01-28
104,34,2024-02,3525.06,892.19,2632.87,2024-02-28
105,34,2024-03,10275.54,3552.6,6722.94,2024-03-28
106,34,2024-04,14392.73,3630.6,10762.13,2024-04-28
107,34,2024-05,13599.97,2769.97,10830.0,2024-05-28
108,34,2024-06,9547.4,3260.96,6286.44,2024-06-28
109,270,2024-01,17915.56,5973.84,11941.72,2024-01-28
110,270,2024-02,6708.51,1799.15,4909.36,2024-02-28
111,270,2024-03,9509.82,2197.61,7312.21,2024-03-28
112,270,2024-04,12652.75,2996.84,9655.91,2024-04-28
113,270,2024-05,14575.61,4939.13,9636.48,2024-05-28
114,270,2024-06,7761.42,2484.8,5276.62,2024-06-28
115,242,2024-01,9197.28,2425.25,6772.03,2024-01-28
116,242,2024-02,7716.96,2602.19,5114.77,2024-02-28
117,242,2024-03,12373.98,3520.14,8853.84,2024-03-28
118,242,2024-04,5700.85,1489.86,4210.99,2024-04-28
119,242,2024-05,5460.97,1482.0,3978.97,2024-05-28
120,242,2024-06,5510.99,1320.82,4190.17,2024-06-28
121,143,2024-01,6425.43,2013.77,4411.66,2024-01-28
122,143,2024-02,5859.83,1929.4,3930.43,2024-02-28
123,143,2024-03,12236.99,3495.45,8741.54,2024-03-28
124,143,2024-04,17824.39,4437.73,13386.66,2024-04-28
125,143,2024-05,9082.5,2254.02,6828.48,2024-05-28
126,143,2024-06,15086.34,3264.4,11821.94,2024-06-28
127,237,2024-01,17046.23,3570.05,13476.18,2024-01-28
128,237,2024-02,6503.6,1487.24,5016.36,2024-02-28
129,237,2024-03,16391.75,4254.91,12136.84,2024-03-28
130,237,2024-04,12778.16,2997.78,9780.38,2024-04-28
131,237,2024-05,17239.87,5465.48,11774.39,2024-05-28
132,237,2024-06,9659.37,3106.44,6552.93,2024-06-28
133,86,2024-01,11209.64,3319.63,7890.01,2024-01-28
134,86,2024-02,14228.06,2916.88,11311.18,2024-02-28
135,86,2024-03,8313.34,2561.73,5751.61,2024-03-28
136,86,2024-04,4301.23,926.88,3374.35,2024-04-28
137,86,2024-05,14886.6,3334.92,11551.68,2024-05-28
138,86,2024-06,7020.39,2315.71,4704.68,2024-06-28
139,47,2024-01,9416.4,2222.72,7193.68,2024-01-28
140,47,2024-02,6755.29,2021.44,4733.85,2024-02-28
141,47,2024-03,9937.45,2783.65,7153.8,2024-03-28
142,47,2024-04,4010.74,1385.7,2625.04,2024-04-28
143,47,2024-05,10882.97,2605.59,8277.38,2024-05-28
144,47,2024-06,7308.64,1668.32,5640.32,2024-06-28
145,117,2024-01,15892.32,4326.4,11565.92,2024-01-28
146,117,2024-02,4789.8,1272.25,3517.55,2024-02-28
147,117,2024-03,11423.07,2994.08,8428.99,2024-03-28
148,117,2024-04,3980.69,1238.26,2742.43,2024-04-28
149,117,2024-05,7304.25,1879.11,5425.14,2024-05-28
150,117,2024-06,16452.19,3352.56,13099.63,2024-06-28
151,54,2024-01,6074.59,1635.22,4439.37,2024-01-28
152,54,2024-02,10222.14,3257.51,6964.63,2024-02-28
153,54,2024-03,6434.34,1618.7,4815.64,2024-03-28
154,54,2024-04,4815.63,1558.93,3256.7,2024-04-28
155,54,2024-05,7854.34,1982.03,5872.31,2024-05-28
156,54,2024-06,17015.54,5625.73,11389.81,2024-06-28
157,286,2024-01,9780.97,3331.27,6449.7,2024-01-28
158,286,2024-02,5909.92,1759.89,4150.03,2024-02-28
159,286,2024-03,14676.6,4062.17,10614.43,2024-03-28
160,286,2024-04,7902.24,1789.21,6113.03,2024-04-28
161,286,2024-05,9036.35,2448.97,6587.38,2024-05-28
162,286,2024-06,13892.29,2807.2,11085.09,2024-06-28
163,82,2024-01,16022.66,4460.75,11561.91,2024-01-28
164,82,2024-02,12066.28,2817.95,9248.33,2024-02-28
165,82,2024-03,5915.16,1293.56,4621.6,2024-03-28
166,82,2024-04,11205.12,2856.03,8349.09,2024-04-28
167,82,2024-05,10606.54,3704.97,6901.57,2024-05-28
168,82,2024-06,4560.74,1167.68,3393.06,2024-06-28
169,198,2024-01,9503.54,2640.68,6862.86,2024-01-28
170,198,2024-02,17519.68,5842.91,11676.77,2024-02-28
171,198,2024-03,14883.05,3567.32,11315.73,2024-03-28
172,198,2024-04,4027.94,1218.73,2809.21,2024-04-28
173,198,2024-05,3566.21,1221.36,2344.85,2024-05-28
174,198,2024-06,4947.89,1200.61,3747.28,2024-06-28
175,183,2024-01,9032.2,2775.96,6256.24,2024-01-28
176,183,2024-02,11336.2,3596.55,7739.65,2024-02-28
177,183,2024-03,9483.45,2561.42,6922.03,2024-03-28
178,183,2024-04,6934.54,1779.61,5154.93,2024-04-28
179,183,2024-05,16912.58,5441.27,11471.31,2024-05-28
180,183,2024-06,9862.67,3102.95,6759.72,2024-06-28
181,226,2024-01,9508.96,2189.37,7319.59,2024-01-28
182,226,2024-02,6928.62,1588.54,5340.08,2024-02-28
183,226,2024-03,4405.33,937.49,3467.84,2024-03-28
184,226,2024-04,9771.35,2150.23,7621.12,2024-04-28
185,226,2024-05,5275.56,1639.22,3636.34,2024-05-28
186,226,2024-06,10801.47,3773.43,7028.04,2024-06-28
187,159,2024-01,7582.93,1524.27,6058.66,2024-01-28
188,159,2024-02,6438.13,2037.25,4400.88,2024-02-28
189,159,2024-03,12632.83,4018.09,8614.74,2024-03-28
190,159,2024-04,6447.85,1838.62,4609.23,2024-04-28
191,159,2024-05,12817.98,3336.21,9481.77,2024-05-28
192,159,2024-06,10351.25,2466.3,7884.95,2024-06-28
193,199,2024-01,5773.82,1568.12,4205.7,2024-01-28
194,199,2024-02,11412.97,3949.81,7463.16,2024-02-28
195,199,2024-03,11324.75,2427.62,8897.13,2024-03-28
196,199,2024-04,16166.84,5478.56,10688.28,2024-04-28
197,199,2024-05,10125.96,2224.92,7901.04,2024-05-28
198,199,2024-06,13479.79,3981.22,9498.57,2024-06-28
199,4,2024-01,15147.47,4803.9,10343.57,2024-01-28
200,4,2024-02,4548.98,961.1,3587.88,2024-02-28
201,4,2024-03,8180.33,1890.73,6289.6,2024-03-28
202,4,2024-04,11694.59,2979.27,8715.32,2024-04-28
203,4,2024-05,10557.8,2506.01,8051.79,2024-05-28
204,4,2024-06,16987.86,3622.76,13365.1,2024-06-28
205,112,2024-01,8962.88,1877.89,7084.99,2024-01-28
206,112,2024-02,3770.3,888.95,2881.35,2024-02-28
207,112,2024-03,10554.87,2226.03,8328.84,2024-03-28
208,112,2024-04,13889.59,4359.72,9529.87,2024-04-28
209,112,2024-05,9826.15,1984.89,7841.26,2024-05-28
210,112,2024-06,10663.5,2628.19,8035.31,2024-06-28
211,30,2024-01,17911.47,4850.63,13060.84,2024-01-28
212,30,2024-02,9204.56,2794.86,6409.7,2024-02-28
213,30,2024-03,6763.13,1868.8,4894.33,2024-03-28
214,30,2024-04,3057.01,930.02,2126.99,2024-04-28
215,30,2024-05,6722.72,1433.36,5289.36,2024-05-28
216,30,2024-06,10211.58,2156.49,8055.09,2024-06-28
217,68,2024-01,10966.29,3294.05,7672.24,2024-01-28
218,68,2024-02,9663.44,2851.25,6812.19,2024-02-28
219,68,2024-03,12026.06,3379.41,8646.65,2024-03-28
220,68,2024-04,16585.61,4728.54,11857.07,2024-04-28
221,68,2024-05,17126.52,5982.83,11143.69,2024-05-28
222,68,2024-06,14656.41,4893.98,9762.43,2024-06-28
223,109,2024-01,17483.13,5575.68,11907.45,2024-01-28
224,109,2024-02,14807.21,4396.81,10410.4,2024-02-28
225,109,2024-03,10753.39,2592.47,8160.92,2024-03-28
226,109,2024-04,11582.59,2750.74,8831.85,2024-04-28
227,109,2024-05,7750.53,2512.18,5238.35,2024-05-28
228,109,2024-06,9326.16,2587.89,6738.27,2024-06-28
229,55,2024-01,5229.67,1788.36,3441.31,2024-01-28
230,55,2024-02,14644.24,3022.73,11621.51,2024-02-28
231,55,2024-03,5510.9,1350.59,4160.31,2024-03-28
232,55,2024-04,10675.19,2293.78,8381.41,2024-04-28
233,55,2024-05,13186.77,3311.19,9875.58,2024-05-28
234,55,2024-06,14996.55,4511.03,10485.52,2024-06-28
235,69,2024-01,14821.35,4637.11,10184.24,2024-01-28
236,69,2024-02,6467.98,1344.03,5123.95,2024-02-28
237,69,2024-03,13425.3,3688.53,9736.77,2024-03-28
238,69,2024-04,3440.38,1038.57,2401.81,2024-04-28
239,69,2024-05,7191.58,1968.21,5223.37,2024-05-28
240,69,2024-06,17924.59,4329.55,13595.04,2024-06-28
241,37,2024-01,17754.37,5811.26,11943.11,2024-01-28
242,37,2024-02,11420.4,3989.14,7431.26,2024-02-28
243,37,2024-03,6829.85,1814.2,5015.65,2024-03-28
244,37,2024-04,17878.3,5954.29,11924.01,2024-04-28
245,37,2024-05,5376.92,1871.61,3505.31,2024-05-28
246,37,2024-06,6023.19,1583.94,4439.25,2024-06-28
247,251,2024-01,7274.52,1942.04,5332.48,2024-01-28
248,251,2024-02,10556.86,2749.05,7807.81,2024-02-28
249,251,2024-03,6211.0,1660.21,4550.79,2024-03-28
250,251,2024-04,12698.1,3598.94,9099.16,2024-04-28
251,251,2024-05,13539.53,3682.04,9857.49,2024-05-28
252,251,2024-06,6320.48,2023.63,4296.85,2024-06-28
253,59,2024-01,14966.44,4024.16,10942.28,2024-01-28
254,59,2024-02,9108.41,2782.84,6325.57,2024-02-28
255,59,2024-03,17613.42,4020.0,13593.42,2024-03-28
256,59,2024-04,16140.08,4890.25,11249.83,2024-04-28
257,59,2024-05,12609.33,3857.0,8752.33,2024-05-28
258,59,2024-06,9114.59,2600.86,6513.73,2024-06-28
259,230,2024-01,11731.94,3097.19,8634.75,2024-01-28
260,230,2024-02,14589.07,3556.33,11032.74,2024-02-28
261,230,2024-03,13470.57,3893.66,9576.91,2024-03-28
262,230,2024-04,6765.12,1575.57,5189.55,2024-04-28
263,230,2024-05,16315.68,4253.5,12062.18,2024-05-28
264,230,2024-06,13625.47,4105.61,9519.86,2024-06-28
265,9,2024-01,10134.41,3295.16,6839.25,2024-01-28
266,9,2024-02,8572.94,2718.98,5853.96,2024-02-28
267,9,2024-03,16592.9,4580.97,12011.93,2024-03-28
268,9,2024-04,8303.18,2087.4,6215.78,2024-04-28
269,9,2024-05,9793.3,3008.22,6785.08,2024-05-28
270,9,2024-06,16337.94,4155.21,12182.73,2024-06-28
271,79,2024-01,5071.44,1477.86,3593.58,2024-01-28
272,79,2024-02,17468.08,4817.09,12650.99,2024-02-28
273,79,2024-03,9209.98,2582.1,6627.88,2024-03-28
274,79,2024-04,13217.11,4238.73,8978.38,2024-04-28
275,79,2024-05,16679.86,3815.98,12863.88,2024-05-28
276,79,2024-06,7374.56,2073.72,5300.84,2024-06-28
277,46,2024-01,11483.56,2582.99,8900.57,2024-01-28
278,46,2024-02,14378.75,4788.17,9590.58,2024-02-28
279,46,2024-03,8659.95,2098.37,6561.58,2024-03-28
280,46,2024-04,7030.1,1748.1,5282.0,2024-04-28
281,46,2024-05,5736.23,1863.65,3872.58,2024-05-28
282,46,2024-06,8849.07,2619.9,6229.17,2024-06-28
283,181,2024-01,5331.09,1854.76,3476.33,2024-01-28
284,181,2024-02,15180.18,3430.09,11750.09,2024-02-28
285,181,2024-03,7993.0,2749.12,5243.88,2024-03-28
286,181,2024-04,11330.87,3817.91,7512.96,2024-04-28
287,181,2024-05,16697.08,5240.44,11456.64,2024-05-28
288,181,2024-06,13849.27,4769.41,9079.86,2024-06-28
289,274,2024-01,9572.38,2504.66,7067.72,2024-01-28
290,274,2024-02,14460.85,4170.0,10290.85,2024-02-28
291,274,2024-03,3038.31,987.77,2050.54,2024-03-28
292,274,2024-04,10618.92,3429.02,7189.9,2024-04-28
293,274,2024-05,17353.71,4262.12,13091.59,2024-05-28
294,274,2024-06,10362.7,2212.48,8150.22,2024-06-28
295,223,2024-01,5351.46,1560.71,3790.75,2024-01-28
296,223,2024-02,15329.8,5222.44,10107.36,2024-02-28
297,223,2024-03,10687.61,2739.22,7948.39,2024-03-28
298,223,2024-04,7785.32,1697.34,6087.98,2024-04-28
299,223,2024-05,10860.14,3437.29,7422.85,2024-05-28
300,223,2024-06,4525.1,1465.36,3059.74,2024-06-28
301,36,2024-01,9937.77,3449.37,6488.4,2024-01-28
302,36,2024-02,15999.39,5234.91,10764.48,2024-02-28
303,36,2024-03,14194.38,3279.57,10914.81,2024-03-28
304,36,2024-04,14860.54,4484.35,10376.19,2024-04-28
305,36,2024-05,6523.66,1913.86,4609.8,2024-05-28
306,36,2024-06,3484.18,1050.26,2433.92,2024-06-28
307,127,2024-01,14915.12,4298.66,10616.46,2024-01-28
308,127,2024-02,5724.16,1919.12,3805.04,2024-02-28
309,127,2024-03,3989.39,1360.66,2628.73,2024-03-28
310,127,2024-04,8602.2,2190.69,6411.51,2024-04-28
311,127,2024-05,7790.15,1910.08,5880.07,2024-05-28
312,127,2024-06,8670.4,2559.42,6110.98,2024-06-28
313,220,2024-01,11328.66,3918.37,7410.29,2024-01-28
314,220,2024-02,13282.29,3983.97,9298.32,2024-02-28
315,220,2024-03,13044.57,4085.19,8959.38,2024-03-28
316,220,2024-04,14763.24,3825.81,10937.43,2024-04-28
317,220,2024-05,16071.73,4027.7,12044.03,2024-05-28
318,220,2024-06,7718.19,1786.97,5931.22,2024-06-28
319,81,2024-01,13756.12,4325.85,9430.27,2024-01-28
320,81,2024-02,15571.62,3384.8,12186.82,2024-02-28
321,81,2024-03,11583.66,2328.25,9255.41,2024-03-28
322,81,2024-04,3430.23,908.11,2522.12,2024-04-28
323,81,2024-05,8692.92,1890.41,6802.51,2024-05-28
324,81,2024-06,16179.06,5187.21,10991.85,2024-06-28
325,135,2024-01,15922.38,4760.77,11161.61,2024-01-28
326,135,2024-02,5905.18,1251.27,4653.91,2024-02-28
327,135,2024-03,8677.0,1762.53,6914.47,2024-03-28
328,135,2024-04,13393.7,3267.96,10125.74,2024-04-28
329,135,2024-05,13404.29,3438.07,9966.22,2024-05-28
330,135,2024-06,9945.34,2869.04,7076.3,2024-06-28
331,140,2024-01,10653.98,2599.6,8054.38,2024-01-28
332,140,2024-02,6452.15,1958.69,4493.46,2024-02-28
333,140,2024-03,16182.38,4176.02,12006.36,2024-03-28
334,140,2024-04,12297.02,3292.31,9004.71,2024-04-28
335,140,2024-05,9872.56,3228.76,6643.8,2024-05-28
336,140,2024-06,8429.08,2182.96,6246.12,2024-06-28
337,142,2024-01,3250.54,921.49,2329.05,2024-01-28
338,142,2024-02,7024.83,2458.18,4566.65,2024-02-28
339,142,2024-03,9268.82,2371.97,6896.85,2024-03-28
340,142,2024-04,6532.0,1820.69,4711.31,2024-04-28
341,142,2024-05,5361.02,1578.54,3782.48,2024-05-28
342,142,2024-06,12120.01,3494.48,8625.53,2024-06-28
343,296,2024-01,9528.52,2477.78,7050.74,2024-01-28
344,296,2024-02,13889.02,3916.85,9972.17,2024-02-28
345,296,2024-03,14720.91,5013.91,9707.0,2024-03-28
346,296,2024-04,15192.81,3301.36,11891.45,2024-04-28
347,296,2024-05,9993.79,2478.79,7515.0,2024-05-28
348,296,2024-06,11339.61,2758.55,8581.06,2024-06-28
349,224,2024-01,7336.89,1489.0,5847.89,2024-01-28
350,224,2024-02,9285.54,2167.79,7117.75,2024-02-28
351,224,2024-03,7587.1,2023.76,5563.34,2024-03-28
352,224,2024-04,8004.66,1766.76,6237.9,2024-04-28
353,224,2024-05,14147.0,3086.04,11060.96,2024-05-28
354,224,2024-06,11456.34,2705.64,8750.7,2024-06-28
355,21,2024-01,9752.77,2033.24,7719.53,2024-01-28
356,21,2024-02,5470.73,1631.61,3839.12,2024-02-28
357,21,2024-03,16407.69,3794.17,12613.52,2024-03-28
358,21,2024-04,3330.3,989.05,2341.25,2024-04-28
359,21,2024-05,7368.3,1711.78,5656.52,2024-05-28
360,21,2024-06,17092.56,5178.64,11913.92,2024-06-28
361,137,2024-01,4271.5,980.71,3290.79,2024-01-28
362,137,2024-02,17904.5,5495.73,12408.77,2024-02-28
363,137,2024-03,7955.38,2115.57,5839.81,2024-03-28
364,137,2024-04,12162.46,2488.24,9674.22,2024-04-28
365,137,2024-05,3613.8,823.34,2790.46,2024-05-28
366,137,2024-06,9016.13,2860.33,6155.8,2024-06-28
367,273,2024-01,15788.99,4477.0,11311.99,2024-01-28
368,273,2024-02,4966.8,1179.27,3787.53,2024-02-28
369,273,2024-03,8723.85,2019.23,6704.62,2024-03-28
370,273,2024-04,9286.46,2479.59,6806.87,2024-04-28
371,273,2024-05,10903.21,2504.61,8398.6,2024-05-28
372,273,2024-06,13466.87,4001.04,9465.83,2024-06-28
373,157,2024-01,8554.35,2949.0,5605.35,2024-01-28
374,157,2024-02,3789.09,814.11,2974.98,2024-02-28
375,157,2024-03,8984.03,2410.55,6573.48,2024-03-28
376,157,2024-04,17315.92,6052.18,11263.74,2024-04-28
377,157,2024-05,12093.09,3878.03,8215.06,2024-05-28
378,157,2024-06,12846.42,3809.79,9036.63,2024-06-28
379,208,2024-01,14150.73,4357.39,9793.34,2024-01-28
380,208,2024-02,4989.0,1649.07,3339.93,2024-02-28
381,208,2024-03,8745.46,2035.23,6710.23,2024-03-28
382,208,2024-04,4193.48,1103.94,3089.54,2024-04-28
383,208,2024-05,7704.12,2441.59,5262.53,2024-05-28
384,208,2024-06,11739.32,2556.13,9183.19,2024-06-28
385,43,2024-01,4982.71,1622.48,3360.23,2024-01-28
386,43,2024-02,7586.08,1817.59,5768.49,2024-02-28
387,43,2024-03,3358.68,753.98,2604.7,2024-03-28
388,43,2024-04,13572.95,4513.14,9059.81,2024-04-28
389,43,2024-05,7167.46,1754.03,5413.43,2024-05-28
390,43,2024-06,11397.27,3539.02,7858.25,2024-06-28
391,7,2024-01,5073.71,1654.38,3419.33,2024-01-28
392,7,2024-02,9703.08,2772.3,6930.78,2024-02-28
393,7,2024-03,17339.41,4080.52,13258.89,2024-03-28
394,7,2024-04,8829.79,2410.85,6418.94,2024-04-28
395,7,2024-05,14497.99,4032.41,10465.58,2024-05-28
396,7,2024-06,15617.68,4539.28,11078.4,2024-06-28
397,107,2024-01,11746.86,3411.04,8335.82,2024-01-28
398,107,2024-02,3122.34,983.23,2139.11,2024-02-28
399,107,2024-03,10773.26,2529.47,8243.79,2024-03-28
400,107,2024-04,16693.68,5809.99,10883.69,2024-04-28
401,107,2024-05,7455.27,2094.07,5361.2,2024-05-28
402,107,2024-06,6590.25,1895.44,4694.81,2024-06-28
403,56,2024-01,14188.28,4751.29,9436.99,2024-01-28
404,56,2024-02,7279.53,1513.71,5765.82,2024-02-28
405,56,2024-03,7221.78,1759.62,5462.16,2024-03-28
406,56,2024-04,9996.97,2278.7,7718.27,2024-04-28
407,56,2024-05,3799.44,838.37,2961.07,2024-05-28
408,56,2024-06,7502.35,1887.13,5615.22,2024-06-28
409,235,2024-01,5258.42,1493.96,3764.46,2024-01-28
410,235,2024-02,3956.16,1148.22,2807.94,2024-02-28
411,235,2024-03,6788.17,2199.93,4588.24,2024-03-28
412,235,2024-04,5446.64,1477.61,3969.03,2024-04-28
413,235,2024-05,16572.46,4448.98,12123.48,2024-05-28
414,235,2024-06,17702.14,5856.09,11846.05,2024-06-28
415,248,2024-01,6685.32,1461.32,5224.0,2024-01-28
416,248,2024-02,6788.26,2170.05,4618.21,2024-02-28
417,248,2024-03,6588.51,1857.44,4731.07,2024-03-28
418,248,2024-04,17723.73,6045.46,11678.27,2024-04-28
419,248,2024-05,3464.86,856.24,2608.62,2024-05-28
420,248,2024-06,10847.92,3143.18,7704.74,2024-06-28
421,67,2024-01,13338.56,4020.17,9318.39,2024-01-28
422,67,2024-02,3279.05,976.59,2302.46,2024-02-28
423,67,2024-03,8581.18,2353.14,6228.04,2024-03-28
424,67,2024-04,9885.76,3297.86,6587.9,2024-04-28
425,67,2024-05,10045.38,2053.38,7992.0,2024-05-28
426,67,2024-06,5870.84,1750.14,4120.7,2024-06-28
427,265,2024-01,12361.27,4026.14,8335.13,2024-01-28
428,265,2024-02,12009.46,2714.15,9295.31,2024-02-28
429,265,2024-03,7834.64,2705.0,5129.64,2024-03-28
430,265,2024-04,9777.75,2853.09,6924.66,2024-04-28
431,265,2024-05,17948.7,6261.61,11687.09,2024-05-28
432,265,2024-06,13374.2,3285.67,10088.53,2024-06-28
433,98,2024-01,13147.55,3407.35,9740.2,2024-01-28
434,98,2024-02,6672.42,2098.22,4574.2,2024-02-28
435,98,2024-03,10188.03,2774.79,7413.24,2024-03-28
436,98,2024-04,10781.61,2449.52,8332.09,2024-04-28
437,98,2024-05,9095.79,2418.99,6676.8,2024-05-28
438,98,2024-06,14478.53,4041.36,10437.17,2024-06-28
439,89,2024-01,4050.03,1358.0,2692.03,2024-01-28
440,89,2024-02,14932.96,4701.5,10231.46,2024-02-28
441,89,2024-03,8884.93,2831.34,6053.59,2024-03-28
442,89,2024-04,4790.7,965.58,3825.12,2024-04-28
443,89,2024-05,5968.25,1859.91,4108.34,2024-05-28
444,89,2024-06,9151.12,2246.21,6904.91,2024-06-28
445,283,2024-01,15288.96,4240.5,11048.46,2024-01-28
446,283,2024-02,7547.38,2200.11,5347.27,2024-02-28
447,283,2024-03,9036.0,2303.64,6732.36,2024-03-28
448,283,2024-04,15375.86,4382.94,10992.92,2024-04-28
449,283,2024-05,9787.63,3099.35,6688.28,2024-05-28
450,283,2024-06,6374.97,1558.94,4816.03,2024-06-28
