ticket_id,incident_id,ticket_type,raised_by,assigned_team,priority,status,created_at,closed_at
23,,Service Request,bakerjonathon,Security,Critical,Resolved,2024-12-27 07:40:00,2024-05-24 09:15:00
24,,Problem,shawn89,Desktop Support,Low,Resolved,2023-10-10 03:13:00,
25,,Problem,brittanybauer,Cloud Ops,Critical,Open,2023-08-13 04:06:00,2023-01-15 11:18:00
26,278.0,Problem,johnstonbarbara,Security,Medium,Pending,2023-03-11 03:05:00,2024-08-20 20:02:00
27,181.0,Problem,barnesrichard,Security,Low,Resolved,2023-06-20 21:36:00,2023-07-06 10:36:00
28,,Problem,hudsonglen,Database,Low,Closed,2023-08-22 04:15:00,2024-12-28 14:43:00
29,,Service Request,sheena87,Cloud Ops,Critical,Open,2024-10-09 12:53:00,
30,,Problem,monica51,Security,Low,Closed,2023-11-14 00:41:00,2024-09-19 15:35:00
31,237.0,Service Request,mariahwang,Security,Medium,Open,2023-04-13 16:12:00,2023-06-15 22:48:00
32,,Incident,ftaylor,Database,Critical,Closed,2023-07-04 12:48:00,2024-06-07 05:56:00
33,63.0,Service Request,chavezpamela,Security,Low,Resolved,2023-05-01 07:14:00,2023-04-19 02:52:00
34,,Service Request,mayroger,Network,High,Resolved,2024-04-04 12:53:00,2023-03-16 18:08:00
35,,Problem,mccormickkatherine,Database,Medium,Closed,2023-08-22 01:58:00,
36,,Service Request,kimberly03,Security,Critical,In Progress,2024-01-02 16:39:00,2023-07-11 07:43:00
37,,Incident,stacey98,Cloud Ops,Low,Pending,2024-05-15 16:30:00,
38,,Incident,hunterjamie,Security,Critical,Closed,2023-06-29 12:20:00,2024-04-22 02:12:00
39,,Service Request,vramos,Database,Critical,Resolved,2023-09-22 22:23:00,
40,,Service Request,suzanne33,Desktop Support,Critical,Pending,2023-07-01 11:28:00,2023-11-02 21:51:00
41,,Problem,richardjuarez,Database,Medium,Closed,2023-11-27 04:46:00,2024-09-11 18:03:00
42,,Problem,qsmith,Security,Low,Closed,2023-04-16 03:20:00,2024-05-03 07:50:00
43,177.0,Incident,hallalan,Security,Critical,Resolved,2024-03-06 15:02:00,2023-03-04 21:26:00
44,,Problem,deandaniel,Network,Medium,Resolved,2023-08-03 02:55:00,2023-09-24 13:20:00
45,,Incident,james60,Cloud Ops,High,Resolved,2024-03-14 01:15:00,2023-11-04 23:47:00
46,,Service Request,amyfoster,Desktop Support,Medium,Closed,2024-07-07 18:09:00,2024-10-01 11:08:00
47,165.0,Service Request,joseph20,Network,High,Open,2023-12-12 23:30:00,2024-10-16 04:25:00
48,279.0,Incident,carlos23,Desktop Support,Medium,Closed,2024-11-24 23:55:00,2024-04-21 02:24:00
49,269.0,Problem,carrjennifer,Cloud Ops,Medium,Closed,2024-12-05 16:58:00,2024-08-17 14:47:00
50,214.0,Problem,shannon20,Desktop Support,Medium,Resolved,2023-01-26 06:43:00,2024-10-30 08:30:00
51,,Service Request,katherine10,Desktop Support,Critical,Resolved,2024-08-07 06:58:00,
52,,Incident,zimmermantroy,Database,High,Open,2024-12-30 05:59:00,2023-08-18 04:32:00
53,,Incident,cory32,Cloud Ops,Medium,Pending,2024-12-02 18:16:00,2023-04-09 16:23:00
54,189.0,Service Request,nathan38,Network,Medium,Pending,2024-06-26 07:05:00,2023-01-05 01:56:00
55,206.0,Incident,browntimothy,Network,Medium,Closed,2023-06-12 16:09:00,2023-07-16 10:42:00
56,,Problem,corey22,Network,High,Closed,2024-08-16 17:24:00,2023-04-14 13:53:00
57,,Problem,amy70,Cloud Ops,Medium,Open,2023-06-01 23:50:00,2024-06-22 13:11:00
58,,Service Request,yhernandez,Database,High,Pending,2024-10-02 06:19:00,2023-02-22 21:43:00
59,,Problem,michelle96,Desktop Support,Medium,Open,2023-06-24 11:34:00,2024-06-18 19:50:00
60,,Service Request,isaacbrooks,Cloud Ops,Critical,Closed,2024-11-11 06:25:00,2024-02-12 06:15:00
61,284.0,Service Request,ywilkinson,Cloud Ops,Low,In Progress,2023-06-11 23:25:00,2023-06-06 16:49:00
62,107.0,Problem,jacobsmith,Cloud Ops,High,Resolved,2024-06-11 09:50:00,2024-05-27 09:36:00
63,47.0,Service Request,geraldgarcia,Desktop Support,High,Closed,2024-12-25 07:54:00,2023-02-06 07:06:00
64,51.0,Service Request,johnsonkevin,Cloud Ops,Medium,Closed,2024-03-17 05:48:00,2024-06-21 08:23:00
65,,Service Request,ygarcia,Network,High,Closed,2024-06-30 20:21:00,2024-01-24 04:10:00
66,,Service Request,brentsmith,Network,Low,Resolved,2024-06-07 09:33:00,2023-02-08 12:46:00
67,,Service Request,pwest,Network,Low,In Progress,2024-02-03 00:18:00,2023-01-20 20:06:00
68,,Problem,brianconrad,Security,Medium,Resolved,2024-10-11 19:06:00,2025-01-07 12:57:00
69,,Service Request,johnsonmatthew,Security,Low,Closed,2024-03-02 12:40:00,2024-07-12 09:20:00
70,,Incident,peterlang,Desktop Support,Low,Resolved,2023-02-27 05:58:00,2023-06-07 06:49:00
71,,Incident,chadward,Security,High,Closed,2023-01-15 14:04:00,2024-10-20 00:43:00
72,,Incident,lmullen,Database,High,Open,2023-09-07 21:42:00,
73,,Problem,smithsteven,Network,Critical,Resolved,2023-04-07 08:34:00,2023-08-17 21:12:00
74,,Service Request,anthony17,Network,High,Resolved,2023-11-21 11:16:00,2023-03-10 05:36:00
75,,Problem,derrickmoses,Desktop Support,High,Closed,2024-08-15 05:10:00,
76,,Problem,johnsonsteven,Database,Low,Pending,2024-10-31 05:03:00,2024-11-28 11:08:00
77,226.0,Service Request,wdavis,Database,Low,In Progress,2023-06-11 13:38:00,2023-12-10 01:54:00
78,,Incident,penageorge,Cloud Ops,Medium,Closed,2023-05-20 08:47:00,2023-03-07 07:56:00
79,,Incident,rodriguezamber,Network,Medium,Closed,2024-12-05 05:23:00,
80,,Service Request,vknight,Security,Critical,Closed,2023-09-03 17:14:00,2023-10-17 09:03:00
81,,Problem,pwilkerson,Desktop Support,Critical,Resolved,2023-12-30 08:13:00,2024-08-30 08:09:00
82,,Problem,lsimpson,Security,Low,In Progress,2023-01-27 16:26:00,2023-04-10 09:35:00
83,,Incident,johnsonmadison,Desktop Support,Low,Resolved,2023-01-21 10:03:00,2023-10-07 21:32:00
84,,Problem,molly46,Network,High,Resolved,2023-11-19 03:35:00,
85,250.0,Incident,lutzdaniel,Network,Low,Resolved,2024-05-09 08:18:00,2024-08-10 22:14:00
86,,Problem,amyhaney,Network,Critical,In Progress,2023-09-15 22:00:00,
87,,Service Request,wellsadam,Cloud Ops,High,Closed,2024-06-26 12:21:00,2024-05-14 06:30:00
88,143.0,Problem,kirk60,Cloud Ops,Critical,Pending,2023-01-06 14:08:00,2024-01-24 23:03:00
89,,Service Request,mandymalone,Security,Low,In Progress,2024-07-25 03:34:00,
90,,Problem,melissa22,Desktop Support,Medium,Pending,2023-05-16 17:43:00,2024-10-03 09:00:00
91,,Problem,douglas60,Desktop Support,High,In Progress,2023-01-19 04:25:00,2024-12-27 10:30:00
92,,Service Request,matthewlewis,Desktop Support,Critical,Resolved,2023-10-24 17:59:00,
93,,Incident,karina20,Cloud Ops,Medium,Resolved,2024-06-19 02:29:00,2023-09-26 20:35:00
94,174.0,Incident,kevin77,Cloud Ops,Critical,Closed,2023-06-10 19:53:00,2024-06-12 07:48:00
95,,Incident,nicholasjohnson,Desktop Support,High,In Progress,2024-01-11 04:47:00,2024-02-12 01:33:00
96,,Service Request,robertgarrett,Desktop Support,Medium,Resolved,2024-07-26 14:56:00,2024-12-23 00:05:00
97,251.0,Problem,cody27,Security,Critical,Closed,2023-10-06 23:31:00,2024-11-01 14:54:00
98,,Service Request,dmiller,Database,Low,Resolved,2024-03-03 14:34:00,
99,,Service Request,jennifer02,Security,Critical,Closed,2023-08-27 19:24:00,
100,,Problem,stacy59,Desktop Support,High,Open,2024-04-26 06:58:00,2024-07-09 23:37:00
101,27.0,Problem,daniel02,Network,High,Closed,2024-12-23 21:31:00,2023-11-19 13:39:00
102,,Incident,rodriguezelizabeth,Network,Critical,Closed,2023-06-15 03:57:00,2024-11-08 16:29:00
103,,Incident,stephanie89,Cloud Ops,Low,Pending,2024-06-02 14:11:00,2023-09-12 09:48:00
104,17.0,Service Request,jacksonrussell,Database,High,Resolved,2024-07-23 22:26:00,2023-04-25 04:24:00
105,,Service Request,sholder,Desktop Support,Low,Resolved,2023-05-28 18:53:00,
106,,Problem,jessica86,Database,High,Closed,2023-06-18 08:36:00,2024-08-20 02:39:00
107,,Incident,timothy68,Database,High,Open,2024-12-13 11:43:00,2023-12-10 11:12:00
108,,Incident,dmartinez,Network,High,In Progress,2024-03-02 06:07:00,2024-01-14 18:25:00
109,,Incident,akidd,Cloud Ops,Low,Resolved,2024-09-29 08:16:00,2023-04-09 08:47:00
110,,Incident,larry40,Network,High,Open,2024-03-31 11:26:00,
111,63.0,Incident,samuelsandoval,Cloud Ops,High,Closed,2023-02-11 14:49:00,2024-05-13 05:37:00
112,,Problem,daviladaniel,Desktop Support,Medium,Closed,2024-05-30 21:57:00,2023-11-10 04:29:00
113,,Problem,henrychristine,Security,High,Closed,2024-12-29 15:36:00,2024-09-06 04:57:00
114,,Incident,christopherturner,Database,Critical,Closed,2024-02-25 13:40:00,2023-11-27 08:28:00
115,,Service Request,powelljillian,Database,Critical,Closed,2024-12-20 21:46:00,2024-11-14 15:58:00
116,31.0,Problem,philliphayden,Security,Medium,Closed,2024-12-13 04:22:00,2024-08-28 01:50:00
117,,Service Request,marthafloyd,Cloud Ops,Low,Resolved,2023-07-19 22:25:00,
118,,Service Request,joshuaadams,Security,Medium,Closed,2023-09-21 01:59:00,
119,,Incident,cnelson,Network,High,In Progress,2023-04-12 13:43:00,2024-05-22 14:22:00
120,1.0,Service Request,davidandrews,Network,Medium,Closed,2024-08-12 22:47:00,2023-04-17 14:27:00
121,167.0,Incident,bflores,Cloud Ops,High,In Progress,2024-12-14 14:10:00,2024-09-15 00:44:00
122,263.0,Problem,earlfoley,Network,Critical,Closed,2024-02-21 14:25:00,
123,,Service Request,cameronjackson,Network,Medium,Closed,2023-11-16 07:04:00,2023-08-27 18:04:00
124,,Service Request,vparks,Cloud Ops,High,Closed,2023-05-10 10:26:00,
125,240.0,Problem,michellehoward,Desktop Support,Low,Closed,2024-03-22 19:01:00,2023-04-22 10:45:00
126,,Service Request,aaron33,Network,Medium,Pending,2023-03-08 07:16:00,
127,,Service Request,brownandrew,Desktop Support,Low,Closed,2023-06-08 21:03:00,2024-12-31 13:24:00
128,,Service Request,swright,Security,High,Closed,2023-11-29 07:47:00,2023-10-13 05:40:00
129,,Incident,lchavez,Cloud Ops,High,In Progress,2023-08-18 22:10:00,2024-05-28 23:27:00
130,,Service Request,salazaraaron,Database,Low,Pending,2023-03-11 07:33:00,
131,,Incident,martinezdavid,Desktop Support,Low,In Progress,2024-03-30 17:48:00,2024-11-01 17:24:00
132,171.0,Service Request,johnsonstephanie,Desktop Support,Critical,In Progress,2023-05-03 00:28:00,
133,,Problem,cruzkaren,Security,Critical,Open,2023-06-10 19:23:00,
134,,Service Request,loritaylor,Security,High,Open,2023-07-15 10:59:00,2024-08-20 22:34:00
135,,Problem,dharris,Desktop Support,High,Resolved,2024-09-03 04:55:00,2023-11-19 13:01:00
136,96.0,Service Request,nsingh,Security,Low,Pending,2024-05-09 18:55:00,2024-12-13 11:04:00
137,,Incident,priceamber,Cloud Ops,High,Resolved,2023-08-12 02:53:00,2024-04-11 06:17:00
138,,Service Request,kevin18,Security,Low,Closed,2024-10-01 15:27:00,2023-04-26 06:17:00
139,,Incident,qcastillo,Cloud Ops,High,Closed,2023-03-20 10:09:00,2024-03-18 10:15:00
140,73.0,Incident,dsanchez,Security,Critical,Open,2024-11-23 16:06:00,2023-01-04 03:17:00
141,,Incident,morselisa,Desktop Support,Critical,Open,2024-07-25 17:17:00,
142,,Problem,gabrielle36,Security,Medium,Resolved,2023-11-06 17:42:00,2024-10-26 23:52:00
143,,Incident,zamorajennifer,Desktop Support,Critical,Resolved,2024-05-14 19:15:00,
144,10.0,Service Request,stephaniemiller,Database,Low,Pending,2024-11-01 16:02:00,2023-10-03 00:12:00
145,13.0,Service Request,millschristopher,Network,Low,Closed,2023-02-19 10:24:00,2024-12-29 07:21:00
146,,Problem,batesangela,Cloud Ops,Low,Resolved,2023-04-19 07:04:00,
147,,Problem,heather58,Security,Critical,Open,2023-05-21 20:04:00,
148,,Service Request,katherinemccarty,Cloud Ops,Critical,Closed,2023-09-22 04:32:00,
149,,Problem,edward03,Security,Medium,Pending,2023-06-12 01:29:00,2023-10-02 19:32:00
150,,Service Request,linda01,Database,High,Resolved,2023-06-26 12:00:00,2023-06-03 00:15:00
151,133.0,Problem,james34,Cloud Ops,High,Resolved,2024-12-04 11:31:00,2023-05-04 13:25:00
152,,Problem,cjenkins,Network,Medium,Open,2024-08-11 19:22:00,2023-11-08 07:59:00
153,,Problem,nicholas99,Cloud Ops,High,Resolved,2024-02-12 08:22:00,
154,,Problem,justin46,Database,High,In Progress,2023-05-14 04:54:00,2024-04-29 04:17:00
155,,Problem,talexander,Cloud Ops,Critical,In Progress,2023-07-10 13:06:00,2024-11-17 18:23:00
156,,Service Request,davisandrea,Cloud Ops,High,Pending,2024-02-11 03:32:00,2024-12-06 10:54:00
157,,Problem,nicole02,Desktop Support,High,Closed,2023-02-07 16:14:00,2024-10-11 08:53:00
158,243.0,Problem,barkeredwin,Database,High,Resolved,2024-06-06 03:37:00,
159,,Service Request,denisepalmer,Security,Critical,Resolved,2023-07-02 11:42:00,2024-03-01 04:29:00
160,,Incident,tammy26,Desktop Support,Medium,Resolved,2023-08-30 02:51:00,
161,,Service Request,arthurreed,Network,Medium,Resolved,2024-09-13 22:48:00,2023-12-15 20:30:00
162,,Problem,crawfordhaley,Network,Medium,Closed,2023-05-18 16:01:00,
163,,Incident,taylorclarke,Network,Critical,In Progress,2023-10-31 11:55:00,2023-05-18 23:24:00
164,,Problem,dana36,Security,High,Resolved,2024-01-09 21:13:00,2024-10-20 09:44:00
165,38.0,Incident,ernest35,Desktop Support,Medium,Closed,2024-12-18 03:52:00,2024-11-10 23:27:00
166,,Problem,ssmith,Network,Critical,Resolved,2024-05-13 23:16:00,2024-10-24 20:08:00
167,,Problem,moorecody,Network,Low,Closed,2023-03-04 09:00:00,2024-06-06 08:15:00
168,,Problem,andrearivera,Desktop Support,Critical,Open,2023-03-28 20:34:00,2024-12-30 15:50:00
169,,Service Request,parksshawna,Desktop Support,Medium,Closed,2023-10-17 04:08:00,2024-08-29 07:39:00
170,136.0,Incident,kristievillegas,Security,Critical,Resolved,2023-07-05 14:29:00,2024-04-02 21:21:00
171,55.0,Problem,anne46,Database,High,In Progress,2023-04-13 09:33:00,2023-02-06 07:45:00
172,,Problem,warebruce,Desktop Support,Critical,Closed,2024-07-01 15:34:00,2023-11-02 05:51:00
173,,Problem,jefferybaker,Security,Critical,Pending,2024-12-05 20:44:00,2024-07-28 07:23:00
174,,Problem,fjohnson,Security,Critical,Closed,2023-02-27 12:36:00,2025-01-10 07:43:00
175,,Problem,annaboyd,Security,Medium,In Progress,2024-10-16 01:09:00,2023-11-22 09:26:00
176,215.0,Problem,fmiller,Cloud Ops,High,Resolved,2024-03-31 20:28:00,2023-03-12 16:48:00
177,,Service Request,jamesstrong,Desktop Support,Critical,Closed,2023-03-22 07:55:00,2024-09-26 22:18:00
178,,Service Request,fjones,Database,Medium,Closed,2023-03-08 03:45:00,2024-03-25 05:14:00
179,,Service Request,anthonyconway,Network,Low,Resolved,2024-04-16 06:31:00,2024-03-09 04:25:00
180,,Problem,alexander66,Database,Critical,Closed,2023-12-28 09:49:00,2024-09-30 15:43:00
181,,Incident,jeffrey44,Cloud Ops,Medium,Closed,2023-05-19 00:02:00,2024-10-23 03:01:00
182,,Incident,tswanson,Security,Medium,Resolved,2024-02-22 21:26:00,2024-02-10 05:20:00
183,251.0,Service Request,patriciagood,Database,High,In Progress,2024-08-19 01:36:00,2024-04-01 03:40:00
184,,Problem,ohuerta,Network,Low,Open,2023-09-29 20:22:00,2024-05-11 05:17:00
185,90.0,Service Request,patrick01,Security,Critical,Resolved,2024-12-21 21:08:00,2024-06-13 06:54:00
186,177.0,Incident,cookadam,Cloud Ops,Low,Resolved,2023-06-09 23:21:00,
187,,Service Request,zball,Desktop Support,Medium,Pending,2024-03-18 14:23:00,2024-11-28 15:31:00
188,,Service Request,tamaraparker,Desktop Support,Critical,Closed,2023-12-09 17:54:00,2023-02-20 06:42:00
189,154.0,Problem,jordanbailey,Database,Critical,Resolved,2023-09-20 00:30:00,2023-03-19 20:57:00
190,,Incident,amiller,Database,Low,Closed,2024-02-27 02:42:00,2024-09-03 01:30:00
191,,Service Request,frankstewart,Cloud Ops,Critical,Resolved,2024-05-24 21:17:00,2023-04-04 14:07:00
192,,Incident,bradydavid,Security,Medium,Pending,2024-03-09 16:42:00,2025-01-23 01:13:00
193,101.0,Service Request,lbarnett,Database,High,Closed,2024-01-07 10:34:00,2025-01-24 12:31:00
194,6.0,Service Request,achavez,Database,Low,Closed,2024-11-08 15:11:00,2023-08-19 20:38:00
195,237.0,Service Request,tboone,Security,Critical,Closed,2023-03-15 05:43:00,2023-09-25 19:44:00
196,,Problem,sdonovan,Desktop Support,Critical,Closed,2023-08-31 03:49:00,2023-07-01 14:21:00
197,,Service Request,icisneros,Security,Medium,Resolved,2023-02-09 18:20:00,
198,,Service Request,tonya97,Cloud Ops,Critical,In Progress,2023-01-17 01:41:00,2024-02-05 04:45:00
199,,Incident,cphelps,Security,Low,Pending,2023-02-27 14:32:00,2025-01-29 22:54:00
200,,Service Request,kristy47,Database,Low,Open,2024-10-31 11:48:00,2023-07-21 22:46:00
201,,Problem,qgallegos,Desktop Support,Critical,Pending,2023-06-13 15:59:00,2023-06-18 19:20:00
202,,Problem,belindafowler,Cloud Ops,Critical,Resolved,2024-12-14 01:21:00,2024-06-14 18:37:00
203,,Incident,alexis61,Cloud Ops,Low,Closed,2024-12-11 18:58:00,2024-09-16 19:59:00
204,150.0,Problem,vincent74,Database,Medium,Closed,2024-05-04 00:03:00,2024-08-11 07:13:00
205,,Incident,davidedwards,Desktop Support,Medium,Pending,2024-08-08 06:30:00,2024-03-07 00:10:00
206,223.0,Problem,lisa40,Database,High,Open,2024-05-26 15:05:00,2025-01-30 19:04:00
207,,Incident,jessica68,Security,Low,Closed,2023-12-28 13:48:00,
208,,Service Request,staceyhernandez,Security,Medium,In Progress,2024-12-10 11:23:00,2024-12-09 17:20:00
209,,Problem,krystal64,Network,Critical,In Progress,2024-11-13 04:49:00,
210,,Problem,frank49,Desktop Support,Medium,Closed,2024-01-01 04:34:00,2024-06-24 19:31:00
211,100.0,Service Request,andreross,Database,Critical,Pending,2023-06-10 13:33:00,2025-01-26 15:17:00
212,,Problem,laurie11,Security,High,Open,2024-12-01 04:57:00,2023-04-17 00:59:00
213,,Problem,lambertcheyenne,Security,Low,Resolved,2023-02-20 17:30:00,2025-01-28 09:52:00
214,,Service Request,amymiller,Network,High,Resolved,2024-10-28 00:20:00,2023-04-23 00:35:00
215,,Problem,stevensmith,Cloud Ops,Critical,Resolved,2023-09-24 08:31:00,2024-08-26 06:28:00
216,,Problem,ohall,Database,Critical,Pending,2024-01-29 20:18:00,2023-12-06 07:59:00
217,154.0,Service Request,erica48,Cloud Ops,High,Closed,2024-02-23 07:12:00,2024-08-15 04:09:00
218,,Problem,jenniferrice,Cloud Ops,Medium,Resolved,2024-09-22 02:22:00,
219,149.0,Incident,brenda68,Database,Critical,In Progress,2023-11-17 01:20:00,2023-04-30 19:18:00
220,2.0,Service Request,kaiserrichard,Cloud Ops,Medium,Closed,2023-01-28 19:30:00,2024-10-19 18:27:00
221,39.0,Service Request,reedcorey,Security,Critical,Resolved,2024-02-24 12:01:00,2025-01-30 10:37:00
222,286.0,Incident,kaiserhunter,Cloud Ops,High,Resolved,2023-08-26 12:27:00,2024-09-21 14:41:00
223,,Service Request,lisawatson,Database,Critical,Closed,2024-06-02 23:38:00,2023-12-22 20:55:00
224,,Incident,dianaramirez,Desktop Support,Low,Closed,2024-09-18 17:16:00,2023-09-29 23:38:00
225,,Incident,johnjohnson,Cloud Ops,Medium,Closed,2023-11-24 05:21:00,2024-05-04 15:30:00
226,225.0,Problem,nwilliams,Desktop Support,Low,In Progress,2024-06-03 08:32:00,2024-01-15 12:57:00
227,,Problem,psmith,Network,Critical,Pending,2024-05-19 18:55:00,2023-08-16 04:46:00
228,21.0,Problem,tthomas,Network,Low,Pending,2023-01-13 10:18:00,2023-04-28 14:14:00
229,,Problem,dbrown,Security,High,Open,2024-08-03 02:36:00,2023-11-08 05:18:00
230,,Problem,frankkey,Cloud Ops,Low,Closed,2023-07-12 19:14:00,2023-02-27 13:21:00
231,191.0,Incident,danielgriffin,Security,Critical,Pending,2024-08-22 21:34:00,
232,,Incident,millerlindsey,Database,Medium,Closed,2023-05-03 19:25:00,2024-06-22 15:35:00
233,,Problem,maysjason,Security,Critical,Resolved,2024-07-19 04:49:00,2024-05-03 06:29:00
234,,Service Request,pli,Desktop Support,Low,Resolved,2024-04-25 14:14:00,2024-06-12 23:15:00
235,,Service Request,christensentyler,Cloud Ops,Low,Resolved,2024-11-04 18:31:00,2023-12-01 10:00:00
236,,Incident,lawrencesteven,Security,High,Closed,2024-11-08 01:28:00,2024-09-08 12:10:00
237,,Problem,vwilliams,Network,Low,Open,2024-03-28 19:14:00,2024-12-08 04:25:00
238,,Service Request,wilkersonkatherine,Database,Medium,Pending,2024-01-31 07:01:00,2023-11-09 21:05:00
239,,Service Request,kathleencase,Cloud Ops,Low,Open,2024-03-28 10:13:00,2025-01-13 14:10:00
240,162.0,Problem,bowenjonathan,Network,Critical,Closed,2024-06-02 21:32:00,2024-05-22 10:45:00
241,,Incident,megan78,Database,Low,Pending,2024-02-06 10:39:00,2023-05-27 13:33:00
242,190.0,Incident,michelle01,Cloud Ops,Low,Pending,2023-07-14 01:26:00,2024-04-05 05:04:00
243,,Problem,harrissamuel,Network,High,Pending,2023-09-06 17:28:00,2023-07-08 15:55:00
244,,Service Request,matthewmartin,Desktop Support,Critical,Resolved,2024-07-24 04:07:00,2025-01-13 18:10:00
245,,Incident,johnsonsandra,Cloud Ops,Low,Resolved,2023-01-03 13:44:00,
246,271.0,Service Request,amills,Database,Medium,Open,2024-07-26 08:43:00,2023-07-30 13:49:00
247,,Problem,dtaylor,Network,Critical,Resolved,2023-07-23 17:25:00,2024-11-14 13:02:00
248,,Service Request,espinozataylor,Cloud Ops,High,Closed,2023-12-25 18:22:00,2023-09-08 23:58:00
249,,Service Request,brodriguez,Security,Low,Closed,2023-11-23 23:48:00,2024-03-29 15:57:00
250,,Service Request,maxwelltheodore,Network,High,Open,2023-12-03 22:52:00,2024-06-30 20:39:00
251,,Problem,davidharris,Network,Low,Resolved,2023-11-24 10:33:00,2023-08-06 10:31:00
252,,Service Request,fking,Cloud Ops,Medium,Open,2023-01-22 04:18:00,2023-01-18 09:05:00
253,,Service Request,nicholstodd,Security,Medium,In Progress,2024-01-24 00:33:00,2024-03-15 21:52:00
254,176.0,Problem,billyjohns,Security,Critical,Closed,2023-04-02 07:41:00,2024-12-23 08:28:00
255,,Service Request,yoderadam,Network,Low,Open,2023-11-16 10:35:00,2024-10-19 17:37:00
256,245.0,Incident,amy85,Cloud Ops,Low,Closed,2024-01-29 09:38:00,2024-10-01 07:21:00
257,,Service Request,steven80,Database,Low,Closed,2023-08-19 20:25:00,2023-08-12 12:18:00
258,,Incident,jacksonjonathan,Security,High,Pending,2024-06-06 23:06:00,2024-06-21 23:14:00
259,34.0,Service Request,james23,Desktop Support,High,In Progress,2024-10-13 19:40:00,2024-02-22 12:44:00
260,19.0,Incident,kmaynard,Network,High,Pending,2024-08-28 22:35:00,
261,,Problem,myersbenjamin,Database,Critical,Resolved,2023-06-19 10:06:00,2024-12-05 18:24:00
262,225.0,Incident,wmorrison,Database,Critical,In Progress,2024-05-24 00:37:00,2023-04-30 12:26:00
263,,Problem,darnold,Network,Medium,Closed,2023-08-24 20:34:00,2024-09-10 03:43:00
264,50.0,Service Request,raymond70,Network,Low,Pending,2023-11-30 08:59:00,2023-06-08 11:28:00
265,80.0,Service Request,rowen,Desktop Support,Critical,In Progress,2024-03-27 12:37:00,2024-02-10 05:49:00
266,,Problem,carl91,Security,Critical,Closed,2024-10-16 18:19:00,2024-01-09 01:35:00
267,289.0,Problem,belindahaas,Database,Critical,In Progress,2023-08-26 20:14:00,
268,,Service Request,heidi21,Network,Critical,Open,2023-10-12 05:24:00,2023-03-27 08:53:00
269,,Service Request,brian16,Cloud Ops,Low,Closed,2023-12-07 01:54:00,2023-04-19 11:11:00
270,,Service Request,madeline61,Security,Medium,Resolved,2024-02-29 23:38:00,2024-01-14 08:05:00
271,,Problem,castilloalec,Network,Medium,Closed,2024-04-19 17:02:00,2024-06-03 15:53:00
272,,Incident,michaelkrause,Database,Medium,Closed,2023-07-16 14:15:00,2023-12-01 23:10:00
273,,Incident,patricia24,Cloud Ops,Critical,Open,2024-05-12 09:42:00,2023-11-16 13:16:00
274,,Service Request,jacquelineneal,Network,Medium,Resolved,2023-05-07 06:22:00,
275,181.0,Service Request,beckyroberts,Cloud Ops,Low,Resolved,2023-05-27 13:46:00,
276,274.0,Service Request,wesley30,Network,High,Pending,2023-01-10 18:42:00,2023-05-17 20:23:00
277,,Service Request,turnerdaniel,Security,Low,Pending,2024-07-08 16:40:00,
