product_id,product_name,category_id,unit_price,cost_price,stock_quantity,brand,is_active
81,SportMax Staff 38MY,3,917.31,271.98,328,TechPro,1
82,FashionHub Rest 08ED,2,945.45,334.76,391,TechPro,1
83,FashionHub Impact 62BS,4,72.63,77.21,111,ReadMore,1
84,TechPro Late 82HC,8,660.98,9.83,272,ReadMore,1
85,TechPro Buy 95WM,9,723.57,268.79,146,TechPro,1
86,ApexTech Gun 60PO,7,807.13,455.06,54,TechPro,1
87,StyleCo Best 90OA,4,621.68,127.7,181,HomeBase,1
88,TechPro Small 89CZ,6,959.49,230.58,124,ApexTech,1
89,ApexTech Administration 30ED,2,655.46,429.38,388,TechPro,1
90,SportMax Card 72SC,7,554.93,29.94,4,ApexTech,1
91,SportMax Former 59PP,7,646.68,166.97,500,FashionHub,0
92,ReadMore Final 29ZE,1,233.62,450.82,354,ReadMore,1
93,TechPro Really 11EQ,2,686.0,141.62,278,ReadMore,1
94,StyleCo Writer 83FT,6,20.58,105.16,73,FashionHub,1
95,FashionHub Simple 53CT,7,929.22,151.04,288,StyleCo,1
96,FashionHub Five 58SP,7,678.64,271.19,196,FashionHub,1
97,FashionHub Election 84US,2,503.28,487.2,27,TechPro,1
98,FashionHub Number 81DW,2,343.89,384.96,488,ReadMore,1
99,FashionHub Wear 69FR,6,34.48,138.11,230,SportMax,1
100,ReadMore Bar 32HO,7,434.68,340.48,338,SportMax,1
101,ReadMore Focus 83HX,5,799.06,357.12,42,HomeBase,1
102,ApexTech Share 20PS,3,740.95,159.7,54,TechPro,1
103,HomeBase Less 71BF,8,363.11,136.34,67,TechPro,1
104,SportMax Think 04RL,9,556.96,205.2,13,TechPro,1
105,TechPro If 41DR,6,864.39,8.15,211,SportMax,1
106,ApexTech Top 96FB,9,905.67,489.12,292,ReadMore,1
107,SportMax Travel 66CC,3,143.14,151.96,252,StyleCo,1
108,SportMax Door 36LQ,5,423.99,243.14,39,HomeBase,1
109,StyleCo Lawyer 80QT,8,595.83,99.38,54,StyleCo,1
110,SportMax Almost 85BM,6,842.4,191.18,441,HomeBase,1
111,SportMax Somebody 54ZW,3,303.93,302.39,355,StyleCo,1
112,StyleCo Perhaps 30VU,7,968.87,147.14,355,ApexTech,1
113,ReadMore Themselves 96BY,4,329.25,141.59,402,SportMax,1
114,ReadMore Shoulder 01JY,4,594.26,273.72,349,FashionHub,1
115,ApexTech Set 48DB,8,943.25,106.4,408,HomeBase,1
116,TechPro Page 98QK,7,674.61,71.31,155,StyleCo,1
117,StyleCo I 73IA,7,790.12,38.83,306,SportMax,1
118,ReadMore Fast 41PX,9,923.87,435.07,214,ReadMore,1
119,HomeBase Occur 45KZ,9,595.84,457.36,55,FashionHub,1
120,ApexTech American 94XR,6,170.51,307.11,288,ApexTech,1
121,SportMax Receive 49AH,6,965.88,216.36,5,TechPro,1
122,ReadMore Food 95QL,9,560.2,344.45,113,SportMax,1
123,SportMax Life 70CA,9,154.99,498.85,247,TechPro,1
124,TechPro Man 05EO,2,832.15,365.61,178,HomeBase,1
125,FashionHub Three 83AD,4,523.5,175.45,49,SportMax,1
126,SportMax Particularly 14NJ,6,71.84,24.25,363,TechPro,1
127,HomeBase Former 17LQ,2,678.75,83.85,379,StyleCo,1
128,ReadMore Space 44FI,3,334.33,214.33,236,StyleCo,1
129,ApexTech Dream 22NP,3,190.45,329.33,202,TechPro,1
130,StyleCo Appear 31PC,8,594.24,195.64,360,StyleCo,1
131,FashionHub Create 87LU,2,579.46,400.14,274,StyleCo,1
132,StyleCo Analysis 83DT,8,118.38,336.0,250,ReadMore,0
133,HomeBase Event 40RW,7,613.25,294.32,178,HomeBase,1
134,ReadMore Now 09PW,3,814.66,353.58,152,ReadMore,1
135,ApexTech Boy 18CH,3,316.62,120.81,59,StyleCo,1
136,StyleCo Much 13NU,9,391.52,299.01,294,SportMax,1
137,SportMax Own 56EP,9,694.96,323.33,88,ReadMore,1
138,HomeBase Last 42BU,3,191.16,421.3,317,TechPro,1
139,TechPro Policy 55AP,8,140.85,407.97,493,ReadMore,1
140,SportMax House 74NB,7,686.27,208.98,430,SportMax,1
141,TechPro College 50SJ,1,796.89,111.82,16,HomeBase,1
142,HomeBase Which 90GM,3,781.83,283.69,395,FashionHub,1
143,ReadMore Development 58TX,2,574.84,135.41,278,FashionHub,0
144,ReadMore Site 89TW,1,761.2,221.8,111,SportMax,1
145,FashionHub Yard 36LC,4,301.22,499.65,230,HomeBase,1
146,FashionHub Realize 26WP,2,441.87,496.98,397,FashionHub,1
147,FashionHub Bar 13KG,6,861.73,305.9,219,StyleCo,1
148,FashionHub Paper 86IU,4,814.45,403.1,291,HomeBase,1
149,ReadMore Campaign 80ME,9,172.53,489.53,149,HomeBase,1
150,FashionHub Receive 88CU,9,985.55,340.28,48,StyleCo,0
151,FashionHub Exist 39SP,7,919.17,496.25,443,ApexTech,1
152,FashionHub Get 35OD,3,253.43,356.27,424,StyleCo,1
153,ApexTech Forward 13CU,7,492.01,289.55,137,ApexTech,1
154,SportMax Up 65FW,2,635.45,440.29,47,SportMax,1
155,HomeBase Opportunity 81XP,6,457.42,245.04,297,TechPro,1
156,FashionHub Member 93CY,2,732.27,230.3,340,ApexTech,1
157,TechPro Kid 39II,9,400.72,484.12,422,StyleCo,1
158,HomeBase Election 69QI,5,341.06,289.81,289,FashionHub,1
159,HomeBase Police 44VU,1,50.71,313.83,428,SportMax,1
160,FashionHub Buy 16AG,3,444.08,2.34,490,SportMax,1
161,ApexTech Choose 97OX,3,882.73,152.33,447,HomeBase,1
162,HomeBase Decade 27AK,5,87.01,332.92,332,StyleCo,1
163,ApexTech Camera 64WJ,5,727.35,378.1,219,ApexTech,1
164,TechPro Seek 71IC,1,217.35,40.81,303,StyleCo,1
165,SportMax These 60SK,1,13.02,173.1,61,FashionHub,1
166,StyleCo Baby 28HY,8,75.47,192.76,374,FashionHub,1
167,HomeBase Well 65IZ,6,881.58,70.29,396,FashionHub,1
168,StyleCo Same 83TS,3,73.07,282.51,312,ApexTech,1
169,HomeBase By 55LM,4,629.93,77.38,210,ReadMore,1
170,FashionHub Practice 10EV,4,91.25,52.03,385,TechPro,1
171,SportMax Wife 57AO,6,963.42,158.62,71,StyleCo,1
172,TechPro Listen 64WE,4,555.62,300.8,311,HomeBase,1
173,ApexTech Scene 22UX,1,848.64,329.88,154,StyleCo,1
174,ReadMore Perform 81JA,4,749.1,149.18,27,FashionHub,1
175,StyleCo Personal 95RP,8,388.95,122.06,326,ReadMore,1
176,TechPro Long 65CL,6,934.25,67.73,440,FashionHub,1
177,HomeBase Movie 94XG,9,684.52,381.83,488,FashionHub,1
178,ReadMore Each 47VD,2,18.72,109.44,472,TechPro,0
179,SportMax Organization 88LG,9,290.05,356.88,392,SportMax,1
180,SportMax Three 64UY,2,642.33,269.75,78,HomeBase,1
181,TechPro From 22CV,9,921.31,487.2,79,ReadMore,1
182,ReadMore Us 36HR,2,313.62,219.86,488,FashionHub,1
183,StyleCo Paper 95GW,2,925.0,59.76,313,ReadMore,1
184,ApexTech Feel 21SR,3,123.84,354.53,359,TechPro,1
185,HomeBase Message 73KS,9,519.63,411.6,132,StyleCo,1
186,ApexTech Wrong 49WG,5,734.26,60.79,460,TechPro,1
187,SportMax Window 34JG,5,526.23,132.95,499,ReadMore,1
188,SportMax Design 88WK,8,513.22,29.61,439,ReadMore,1
189,StyleCo Ahead 90II,5,774.45,447.34,345,ApexTech,1
190,ApexTech Successful 30FB,9,7.56,429.62,6,StyleCo,1
191,HomeBase Hope 34KB,7,920.62,91.12,491,FashionHub,1
192,FashionHub Sign 78ID,7,228.39,125.63,468,ApexTech,1
193,FashionHub Find 11CB,2,573.67,61.46,344,TechPro,1
194,FashionHub Minute 41IR,9,981.5,477.12,35,SportMax,1
195,FashionHub Sign 15ZF,5,330.66,277.43,4,HomeBase,1
196,ReadMore Size 31UK,5,740.87,122.8,188,ReadMore,0
197,FashionHub Movement 54DO,4,733.79,274.18,407,StyleCo,1
198,SportMax Simply 81TS,1,236.83,174.52,429,ApexTech,1
199,HomeBase Forward 06GT,1,760.13,189.38,377,ApexTech,1
200,StyleCo Study 85MJ,9,983.19,211.06,492,TechPro,0
