alert_id,alert_type,source,severity,message,triggered_at,acknowledged_at,status,asset_id
19,Data Exfiltration,WAF,Low,Test step system light.,2024-07-10 04:56:00,,Acknowledged,74
20,Policy Violation,EDR,Low,School east serve future.,2024-02-03 03:20:00,,Closed,52
21,Anomalous Login,EDR,Critical,Seven someone before feeling.,2024-11-19 08:06:00,,Closed,49
22,Data Exfiltration,IDS,Medium,Street wish child huge.,2024-12-07 06:01:00,2024-12-04 20:16:00,Investigating,71
23,Data Exfiltration,DLP,Medium,Staff describe network quickly.,2024-05-30 20:52:00,2024-08-14 13:32:00,Investigating,11
24,Policy Violation,IDS,Low,Especially respond capital explain.,2024-03-16 18:35:00,2024-08-10 06:11:00,Closed,10
25,Intrusion Detection,IDS,Medium,Fear certainly scene choose expert against.,2024-03-22 20:36:00,2024-09-22 07:32:00,New,90
26,Anomalous Login,SIEM,Medium,Reality similar argue agree course.,2024-11-15 06:29:00,2025-01-18 19:28:00,New,56
27,Malware,IDS,Medium,Money page name public enter dog article.,2024-07-20 23:31:00,2024-05-16 18:14:00,Acknowledged,75
28,Data Exfiltration,EDR,High,Structure note research do discover class follow herself.,2024-03-19 15:50:00,2024-02-20 08:58:00,Closed,16
29,Data Exfiltration,IDS,High,Young contain exactly say mind impact major.,2024-03-17 17:15:00,,Closed,54
30,Data Exfiltration,DLP,High,Experience tonight Mr whom team than.,2024-09-25 16:21:00,2024-11-17 17:56:00,Acknowledged,82
31,Intrusion Detection,EDR,Medium,Oil guy heavy toward about country politics.,2024-12-21 12:11:00,2024-05-31 20:00:00,Closed,97
32,Malware,SIEM,Medium,Our hot to.,2024-12-28 13:50:00,2024-11-27 14:06:00,Closed,36
33,Malware,DLP,Low,Heavy can way travel return.,2024-08-01 04:19:00,2024-03-08 19:43:00,Acknowledged,73
34,Anomalous Login,IDS,High,Institution style clearly attention second trial.,2024-12-20 14:48:00,,Closed,41
35,Malware,IDS,Low,Investment onto factor speech protect.,2024-06-26 23:31:00,2024-05-25 17:07:00,Closed,8
36,Malware,SIEM,Medium,Likely late lawyer name scientist reality create.,2024-05-24 00:21:00,2024-09-10 21:39:00,Closed,36
37,Intrusion Detection,EDR,Low,Choose evidence coach civil control civil morning.,2025-01-10 17:43:00,2024-10-27 01:22:00,Investigating,31
38,Policy Violation,SIEM,Medium,Culture result bar matter until.,2024-01-10 09:23:00,2024-07-10 04:26:00,Investigating,50
39,Intrusion Detection,WAF,Medium,Return design over agreement.,2024-04-01 13:32:00,2024-04-28 07:18:00,Closed,68
40,Intrusion Detection,DLP,Medium,Magazine agree ok relate.,2024-11-11 13:15:00,,Investigating,52
41,Data Exfiltration,EDR,Medium,There reach your.,2024-12-01 06:28:00,2024-07-24 21:51:00,Closed,39
42,Data Exfiltration,DLP,Medium,Avoid find under control would.,2024-02-28 07:14:00,2024-01-04 15:19:00,Investigating,67
43,Data Exfiltration,DLP,High,Specific hold push mission station.,2024-01-29 10:55:00,,Closed,94
44,Policy Violation,IDS,Low,Determine relationship toward recently give evidence training.,2024-09-13 22:30:00,2024-07-21 06:56:00,Acknowledged,56
45,Intrusion Detection,DLP,Medium,Reality cultural west everything good culture garden standard.,2024-08-11 08:41:00,,Closed,32
46,Data Exfiltration,WAF,Medium,Debate mission meet wall half.,2024-01-18 22:16:00,,Acknowledged,52
47,Intrusion Detection,IDS,Low,Bag town unit against drug allow police environmental.,2024-11-30 21:21:00,,New,8
48,Anomalous Login,WAF,Medium,Lot now arrive record continue speak local.,2024-04-24 08:52:00,2024-12-21 05:04:00,Closed,38
49,Policy Violation,DLP,Medium,Consider recently course accept above.,2024-05-18 10:52:00,2024-10-18 10:25:00,New,54
50,Intrusion Detection,WAF,High,Them audience job spend me fear.,2024-08-12 02:48:00,,Closed,24
51,Anomalous Login,IDS,Low,Expect rest send collection people especially economic.,2024-06-12 03:11:00,2024-04-30 05:08:00,New,82
52,Intrusion Detection,DLP,High,West herself guy new side number.,2025-01-12 03:28:00,2024-04-28 15:48:00,Closed,37
53,Anomalous Login,IDS,Low,Leader voice very a.,2024-05-27 00:10:00,,Acknowledged,90
54,Intrusion Detection,IDS,Medium,Four candidate raise sort.,2025-01-04 16:15:00,2024-09-19 13:12:00,Closed,88
55,Anomalous Login,EDR,Low,Throughout billion book property throughout.,2024-12-14 20:31:00,2024-05-13 06:40:00,Closed,23
56,Policy Violation,EDR,Low,Great improve president without central process.,2024-02-02 22:42:00,2024-06-14 23:11:00,New,11
57,Intrusion Detection,WAF,Medium,Inside population ago positive now enter any.,2024-08-13 22:12:00,2024-07-21 12:23:00,Investigating,96
58,Policy Violation,SIEM,Critical,Nothing few along customer start color.,2024-05-22 06:32:00,2024-06-18 05:26:00,Closed,37
59,Intrusion Detection,DLP,Low,Success foot cup resource age.,2024-08-08 23:01:00,2024-11-11 01:55:00,New,1
60,Anomalous Login,DLP,Low,Establish risk different within plant far.,2024-09-25 02:15:00,2025-01-20 20:37:00,Closed,54
61,Anomalous Login,WAF,Medium,Fear around program thus short.,2024-07-28 12:25:00,2024-01-24 22:35:00,New,43
62,Anomalous Login,IDS,Medium,Long generation threat represent couple.,2024-02-22 12:28:00,2024-09-13 14:20:00,Closed,95
63,Anomalous Login,WAF,High,Amount assume put very.,2024-07-21 00:44:00,2024-04-04 10:45:00,Closed,10
64,Intrusion Detection,EDR,Medium,Easy travel people throw half risk way.,2024-03-30 16:03:00,,Closed,37
65,Anomalous Login,EDR,Medium,Clear guy scene side.,2024-07-24 12:11:00,2024-10-01 18:40:00,Closed,26
66,Intrusion Detection,SIEM,High,Only example near article just.,2025-01-24 02:52:00,2024-12-12 18:23:00,Closed,51
67,Data Exfiltration,IDS,Medium,Property fact clear including view do level probably.,2024-08-31 19:21:00,2024-04-15 22:24:00,Closed,53
68,Anomalous Login,DLP,Medium,Least bag always.,2024-03-11 03:49:00,2024-08-08 11:46:00,Closed,68
69,Data Exfiltration,SIEM,Low,Run board family stuff.,2024-02-27 23:54:00,2024-06-28 03:40:00,Closed,28
70,Malware,DLP,Medium,Model across hot policy wall.,2024-09-12 15:11:00,2024-01-26 18:56:00,Closed,34
71,Intrusion Detection,WAF,Low,Both meeting film only.,2024-10-10 09:03:00,2024-12-12 02:54:00,Investigating,88
72,Malware,WAF,High,Agent eight attorney.,2024-07-30 02:52:00,2025-01-20 21:02:00,Investigating,83
73,Policy Violation,IDS,Low,Price single article.,2024-01-08 01:25:00,2024-02-27 03:27:00,Closed,2
74,Malware,SIEM,High,Recognize reach rule south.,2024-02-15 07:41:00,2024-07-07 20:37:00,Acknowledged,16
75,Malware,WAF,High,Common air nothing debate require increase argue.,2024-01-31 08:02:00,2024-10-07 05:42:00,Closed,4
76,Data Exfiltration,IDS,Low,Beat available learn provide ever.,2024-02-18 10:42:00,,Closed,62
77,Policy Violation,IDS,Medium,Avoid song have act because.,2024-03-27 00:43:00,2024-03-30 02:06:00,Closed,81
78,Policy Violation,WAF,Low,Message near although indeed side know special.,2024-03-22 14:01:00,2024-10-25 14:46:00,Acknowledged,82
79,Anomalous Login,IDS,Low,Environment enter direction visit.,2024-06-03 16:28:00,,Acknowledged,81
80,Intrusion Detection,DLP,Low,Idea note build rest use listen.,2024-10-17 14:58:00,2024-08-21 20:05:00,Acknowledged,37
81,Policy Violation,EDR,Medium,Assume sing music boy.,2024-03-19 11:51:00,2024-12-23 23:20:00,New,98
82,Intrusion Detection,WAF,High,Business bad remember company right suffer.,2024-11-07 03:18:00,2024-04-04 07:40:00,Investigating,11
83,Policy Violation,SIEM,Medium,Debate have cover born hotel.,2024-05-09 03:49:00,2024-04-16 21:11:00,Closed,83
84,Anomalous Login,EDR,Low,White action effort recently material water.,2024-01-22 18:35:00,2024-02-27 16:08:00,Investigating,78
85,Policy Violation,DLP,Medium,Democratic support along customer to cost.,2024-06-21 04:26:00,2024-10-14 23:06:00,Investigating,67
86,Data Exfiltration,SIEM,Low,Just focus all.,2024-07-29 18:21:00,2024-07-18 05:20:00,Closed,100
87,Intrusion Detection,EDR,Medium,Fly right computer unit nature.,2025-01-26 16:37:00,2024-12-14 12:55:00,Closed,51
88,Malware,SIEM,Medium,Rest alone particular purpose campaign she.,2024-08-26 22:07:00,2024-04-29 00:47:00,Investigating,21
89,Intrusion Detection,IDS,Medium,Spend imagine between address us.,2024-05-02 08:10:00,2025-01-29 03:56:00,Closed,56
90,Data Exfiltration,SIEM,Critical,Offer site strategy opportunity better significant study significant.,2024-12-09 16:31:00,2024-06-03 23:37:00,Closed,83
91,Anomalous Login,EDR,Low,Specific particularly measure.,2024-02-20 03:01:00,2024-10-26 00:13:00,Investigating,65
92,Anomalous Login,SIEM,Low,Strong technology later religious.,2024-09-03 09:07:00,2025-01-14 21:47:00,Closed,66
93,Data Exfiltration,WAF,Low,Career red society continue minute tax fill baby.,2024-05-05 03:56:00,2024-10-15 17:28:00,Closed,9
94,Intrusion Detection,SIEM,Low,Tell either change green player fear former analysis.,2024-04-04 14:53:00,2024-12-02 11:40:00,Closed,24
95,Intrusion Detection,SIEM,Low,Interview population look mouth report personal.,2024-03-22 13:05:00,2024-03-06 12:09:00,Investigating,65
96,Policy Violation,IDS,Low,Style thus nature these also audience.,2024-01-16 04:52:00,2024-12-11 12:43:00,Closed,38
97,Policy Violation,DLP,Low,Not role recognize life.,2024-09-11 04:19:00,2024-09-14 01:27:00,Closed,47
98,Malware,SIEM,High,Country save manage marriage might.,2024-11-23 06:13:00,,Investigating,16
99,Malware,DLP,Low,Lay medical activity able reality care.,2024-09-19 11:01:00,2024-08-23 18:31:00,Closed,25
100,Anomalous Login,EDR,Low,Me society plan.,2024-02-24 11:56:00,2024-06-13 03:16:00,Closed,2
101,Anomalous Login,EDR,Medium,Respond technology despite score.,2024-06-19 20:13:00,2024-02-01 21:03:00,Closed,61
102,Data Exfiltration,IDS,High,Year lawyer condition no.,2024-07-17 12:23:00,2024-08-03 05:05:00,Acknowledged,13
103,Malware,WAF,High,Social history stock hold clearly.,2024-06-03 00:15:00,2024-05-17 17:29:00,Closed,89
104,Malware,EDR,Medium,Land window character speech.,2024-01-22 01:50:00,2024-02-18 13:47:00,Closed,11
105,Data Exfiltration,EDR,High,Safe quickly high successful husband think.,2024-08-12 16:27:00,2024-02-16 20:45:00,Closed,71
106,Data Exfiltration,IDS,High,Trouble industry only simply within surface after.,2024-12-03 13:51:00,,New,57
107,Anomalous Login,WAF,Low,Ability dream agree nothing probably.,2024-04-09 02:51:00,2024-04-30 00:42:00,Closed,61
108,Intrusion Detection,SIEM,Critical,Hospital low serious again more direction sound.,2024-06-19 16:12:00,2024-03-12 14:29:00,Closed,70
109,Malware,DLP,Medium,Staff other wife analysis hospital.,2025-01-26 10:32:00,2024-07-07 10:06:00,Closed,93
110,Malware,EDR,Medium,Poor manage across respond government moment.,2024-05-22 16:44:00,2024-01-30 23:44:00,Closed,36
111,Data Exfiltration,WAF,Medium,Possible fund TV.,2025-01-10 08:54:00,2024-12-22 22:27:00,Closed,77
112,Malware,WAF,Medium,Apply design indicate perform guess reality opportunity measure.,2024-07-17 12:11:00,,Closed,89
113,Intrusion Detection,EDR,High,Goal wish he.,2024-10-06 14:57:00,2024-03-01 23:04:00,Acknowledged,60
114,Policy Violation,SIEM,Medium,Up find back off explain attack.,2024-04-11 03:24:00,2024-11-23 17:06:00,Closed,28
115,Policy Violation,DLP,Critical,End individual hotel head.,2024-02-28 21:28:00,2024-06-15 13:24:00,Investigating,21
116,Intrusion Detection,SIEM,Medium,Other seem once why.,2024-02-14 20:52:00,2024-03-22 01:32:00,Closed,30
117,Malware,IDS,Medium,Human ok several measure score too.,2024-03-18 10:18:00,2024-01-03 03:46:00,Acknowledged,40
118,Policy Violation,EDR,Low,Theory decision management enjoy add care watch last.,2024-04-07 12:33:00,,Closed,8
119,Policy Violation,DLP,Medium,Nor western behavior budget long.,2024-08-22 13:30:00,2024-07-30 14:05:00,Closed,92
120,Anomalous Login,WAF,Low,Four age really property American could.,2024-03-15 11:54:00,2024-12-20 18:15:00,Closed,8
121,Intrusion Detection,DLP,High,Fund that scene black stand great vote.,2024-02-28 13:46:00,2024-08-31 15:57:00,Investigating,54
122,Malware,DLP,Medium,Throw per appear Mrs.,2024-01-21 12:06:00,2024-04-15 23:11:00,Closed,95
123,Policy Violation,IDS,Medium,Hour trade water arrive interesting fact investment.,2024-07-30 15:28:00,2024-12-17 15:11:00,Closed,69
124,Anomalous Login,EDR,Critical,Think line happen data some wall.,2024-12-04 03:19:00,2024-10-27 23:05:00,Closed,87
125,Intrusion Detection,WAF,High,Eat product wonder management dark value.,2024-07-05 04:59:00,2024-05-01 16:43:00,Acknowledged,86
126,Intrusion Detection,EDR,Low,Ability bit arm nation several resource debate.,2025-01-09 00:18:00,2024-10-04 14:06:00,Closed,99
127,Data Exfiltration,SIEM,High,Become able able plant soon accept charge.,2024-01-04 13:27:00,2024-08-17 02:58:00,Investigating,88
128,Anomalous Login,WAF,Medium,Either best shoulder act rate.,2024-05-13 21:24:00,2024-07-05 10:02:00,Investigating,56
129,Intrusion Detection,EDR,Low,Officer girl region.,2024-03-09 06:24:00,2024-09-01 09:35:00,Acknowledged,79
130,Malware,DLP,Critical,Southern government though human none material how.,2024-08-04 15:05:00,2024-12-22 22:27:00,Acknowledged,42
131,Intrusion Detection,SIEM,Medium,Entire out exactly six eye.,2024-12-27 16:10:00,2024-03-26 05:17:00,Closed,71
132,Anomalous Login,EDR,Medium,Response its positive by college letter.,2024-10-31 10:43:00,2024-04-02 14:29:00,Acknowledged,10
133,Malware,SIEM,Medium,Car bit future sister social water.,2025-01-04 14:27:00,2024-10-07 04:15:00,Closed,47
134,Intrusion Detection,IDS,Medium,Right affect support model.,2024-03-31 14:22:00,2024-04-23 11:05:00,Closed,76
135,Anomalous Login,SIEM,High,Surface include return once total.,2024-02-01 19:49:00,2024-08-30 17:56:00,Closed,41
136,Intrusion Detection,EDR,Medium,Onto him medical husband economic within office.,2024-05-06 21:32:00,2024-10-12 10:11:00,Closed,68
137,Data Exfiltration,WAF,High,Sure protect last ever couple.,2024-08-24 00:40:00,2024-07-30 07:26:00,Closed,60
138,Policy Violation,EDR,High,White mother computer must news improve size field.,2024-10-15 10:41:00,2025-01-07 12:17:00,Acknowledged,30
139,Intrusion Detection,EDR,Medium,Difference respond different put kid.,2024-01-22 17:59:00,,Acknowledged,47
140,Policy Violation,SIEM,Low,Help popular already wide artist.,2025-01-10 18:45:00,2024-09-02 16:07:00,Closed,24
141,Malware,WAF,Low,Just development scene owner kind send.,2024-10-19 10:24:00,2025-01-06 02:29:00,Investigating,65
142,Anomalous Login,SIEM,High,More design effort report.,2025-01-10 12:27:00,,New,55
143,Malware,IDS,Medium,Actually experience order.,2024-01-15 12:57:00,2024-04-03 15:21:00,Closed,36
144,Anomalous Login,EDR,Low,Mr someone church dark human wear bad.,2024-06-28 07:46:00,2025-01-06 15:37:00,Closed,4
145,Anomalous Login,IDS,Critical,Smile today civil sense.,2024-11-19 17:42:00,2024-02-14 13:38:00,Investigating,81
146,Policy Violation,WAF,High,Man same star use important become.,2024-01-12 14:57:00,2024-06-24 21:42:00,Closed,26
147,Intrusion Detection,EDR,High,Watch interview fish those knowledge question.,2024-12-14 04:11:00,,Acknowledged,69
148,Data Exfiltration,SIEM,Medium,Can hard instead need sense.,2024-10-01 02:22:00,2024-04-05 02:33:00,Acknowledged,77
149,Data Exfiltration,WAF,Medium,News form reflect trouble physical.,2025-01-25 20:50:00,2024-08-16 09:25:00,Closed,34
150,Intrusion Detection,EDR,Low,Return personal adult discussion off.,2024-05-09 17:00:00,2024-07-15 06:05:00,Investigating,37
151,Policy Violation,DLP,Medium,Create third cup effect woman wrong.,2024-11-08 07:21:00,2024-03-03 01:15:00,Closed,39
152,Policy Violation,WAF,High,Sense model your family most you case represent.,2024-05-11 09:22:00,2024-12-12 19:01:00,Closed,8
153,Intrusion Detection,EDR,High,Write consumer new throughout tend general.,2024-02-29 13:18:00,,New,60
154,Policy Violation,WAF,Medium,Against admit throughout something bit.,2024-10-15 02:18:00,2024-07-19 11:43:00,New,1
155,Intrusion Detection,WAF,High,Somebody relationship receive.,2024-11-02 20:57:00,2024-09-21 06:29:00,Closed,65
156,Anomalous Login,WAF,Low,Interesting age grow middle share soon treatment.,2024-09-13 08:30:00,,Investigating,58
157,Data Exfiltration,SIEM,Critical,Upon everyone five conference month.,2024-03-15 11:42:00,2025-01-11 12:39:00,Investigating,90
158,Anomalous Login,IDS,Low,Yeah season get send meet current many minute.,2024-05-29 20:45:00,,Closed,37
159,Anomalous Login,IDS,Critical,Practice sell remain certain glass.,2024-11-23 05:01:00,2025-01-07 08:01:00,Closed,11
160,Policy Violation,EDR,High,Sort final money card star organization step.,2024-10-11 12:45:00,2024-04-05 04:12:00,Closed,76
161,Data Exfiltration,SIEM,Medium,Practice sort kitchen into.,2024-04-15 22:53:00,2024-12-21 18:26:00,Closed,21
162,Anomalous Login,DLP,Medium,Test free alone fly will five somebody.,2024-06-14 09:51:00,2024-11-11 09:33:00,Closed,15
163,Malware,WAF,Low,Throughout himself arrive detail teach decade young attack.,2024-05-24 05:48:00,2024-08-22 04:17:00,Acknowledged,12
164,Anomalous Login,SIEM,Medium,Will line be green.,2024-10-11 22:26:00,2024-05-04 21:05:00,Closed,76
165,Malware,DLP,Critical,Store same change firm.,2024-06-14 08:18:00,2024-01-16 02:47:00,Investigating,14
166,Anomalous Login,IDS,Low,Remember political meet show somebody choose.,2024-06-16 22:03:00,2024-12-10 01:46:00,Investigating,34
167,Data Exfiltration,EDR,Low,Present indicate nation away month.,2024-09-11 07:50:00,,Acknowledged,70
168,Intrusion Detection,DLP,Medium,Race season listen art hit employee treatment.,2024-05-26 22:44:00,2024-12-23 12:30:00,Closed,93
169,Data Exfiltration,DLP,High,Bag prove she.,2024-12-19 03:57:00,,New,44
170,Intrusion Detection,WAF,Low,Help agent rise article rock choice include member.,2024-10-27 01:26:00,2024-12-04 13:12:00,Investigating,94
171,Intrusion Detection,SIEM,Medium,Toward quality until pressure interview.,2024-12-20 00:06:00,2024-09-23 09:56:00,Closed,46
172,Malware,DLP,Low,Land economic southern news.,2024-02-02 06:41:00,2024-06-10 11:59:00,Investigating,88
173,Data Exfiltration,DLP,Low,Long foreign a difference voice likely building.,2024-05-01 13:21:00,2024-03-11 07:09:00,Investigating,30
174,Malware,WAF,Medium,Boy cover evening there single mother.,2024-09-28 00:11:00,2024-01-23 20:55:00,Acknowledged,86
175,Malware,WAF,Medium,Industry green spend sign.,2024-03-13 17:41:00,2024-03-28 12:18:00,Closed,14
176,Malware,SIEM,High,Congress development property long home lawyer.,2024-03-16 08:13:00,,Closed,34
177,Policy Violation,WAF,Medium,Game stay add single once.,2024-08-09 21:19:00,2024-12-09 22:05:00,Closed,17
178,Malware,SIEM,Low,Series wife east large per forget human.,2024-09-04 02:02:00,2024-05-09 04:22:00,Investigating,72
179,Policy Violation,IDS,Low,Pick college rate task energy.,2024-05-24 16:55:00,2024-02-29 11:38:00,New,56
180,Intrusion Detection,DLP,High,Forward those manager.,2025-01-04 04:48:00,2024-05-12 05:25:00,Investigating,36
181,Data Exfiltration,WAF,High,Group then recognize particular without remain.,2024-08-26 07:05:00,2024-02-19 01:32:00,Closed,83
182,Data Exfiltration,DLP,High,Attention no pretty.,2024-06-05 12:58:00,,Closed,45
183,Malware,EDR,High,Significant them clearly land evening drive.,2024-12-15 21:20:00,2024-06-01 07:53:00,Investigating,1
184,Intrusion Detection,WAF,Low,Former reveal term mind artist then show.,2024-01-29 17:13:00,2024-10-23 15:48:00,New,35
185,Intrusion Detection,DLP,Low,Do prepare possible entire agency statement people.,2024-04-09 05:07:00,2024-06-30 14:22:00,New,88
186,Data Exfiltration,DLP,Medium,Together drive fish establish suggest sort art.,2024-07-14 00:31:00,2025-01-16 17:09:00,Acknowledged,82
187,Anomalous Login,EDR,Medium,To show star movie account recognize middle history.,2024-03-01 03:03:00,2024-04-05 11:05:00,Investigating,52
188,Anomalous Login,DLP,Medium,Per whatever player another Republican hundred thousand subject.,2024-02-14 07:54:00,2024-03-26 13:38:00,Closed,9
189,Data Exfiltration,DLP,Low,Maintain film source billion.,2024-04-30 05:58:00,2024-07-07 16:25:00,Investigating,24
190,Data Exfiltration,SIEM,Medium,Knowledge lay lose wall be threat.,2024-08-17 01:07:00,2024-05-03 19:56:00,Investigating,51
191,Data Exfiltration,EDR,High,Stuff idea assume major.,2024-03-05 21:08:00,2024-08-17 06:04:00,Closed,62
192,Anomalous Login,SIEM,Medium,Usually suddenly doctor month manager as.,2024-02-22 11:08:00,2024-05-05 22:56:00,Closed,70
193,Anomalous Login,EDR,Medium,Recognize wonder town.,2024-06-20 09:23:00,2024-02-20 15:23:00,Acknowledged,12
194,Anomalous Login,IDS,Low,Real bring interesting term responsibility interest financial.,2024-01-21 14:38:00,2024-03-29 15:52:00,Acknowledged,60
195,Malware,IDS,Low,Pay nation rich poor it they.,2024-08-21 00:22:00,2024-03-30 00:50:00,Closed,55
196,Malware,EDR,Medium,Common say maybe conference less wind.,2024-07-12 01:31:00,,Closed,83
197,Anomalous Login,SIEM,Medium,Consider election if window up interest amount reach.,2024-06-01 20:05:00,2025-01-25 01:49:00,Closed,29
198,Intrusion Detection,EDR,Medium,Hotel kitchen point million.,2024-10-10 06:07:00,2024-06-30 07:49:00,Closed,6
199,Policy Violation,IDS,Critical,Grow particular free Mr reality court firm.,2024-03-24 05:13:00,2025-02-01 22:30:00,Closed,40
200,Anomalous Login,IDS,Medium,Our area young size.,2024-11-18 02:11:00,,Closed,83
201,Malware,IDS,Medium,Factor audience since dream game.,2024-02-27 15:53:00,,Investigating,66
202,Intrusion Detection,WAF,Critical,Yet long the series.,2024-10-24 19:37:00,2024-11-13 12:51:00,Investigating,62
203,Data Exfiltration,SIEM,Critical,Generation fire yeah tax.,2024-12-13 01:01:00,2025-01-23 23:41:00,Closed,68
204,Anomalous Login,IDS,Medium,Newspaper step four know.,2024-10-26 02:16:00,,Acknowledged,18
205,Data Exfiltration,SIEM,Medium,Whose late ago lay president window paper step.,2025-01-24 19:06:00,2024-10-10 06:02:00,Closed,17
206,Malware,SIEM,High,Decide soldier hospital tell.,2024-11-15 06:32:00,2024-09-30 17:58:00,New,24
207,Policy Violation,EDR,Medium,During cultural hundred fast give write.,2024-06-10 22:24:00,2024-10-25 15:09:00,Closed,88
208,Intrusion Detection,IDS,Low,Which each reason scene right.,2024-04-07 13:56:00,2024-04-03 19:30:00,Closed,43
209,Data Exfiltration,DLP,Low,Spring because beyond front.,2024-09-21 17:25:00,2025-01-18 02:40:00,Investigating,77
210,Anomalous Login,DLP,Medium,Recently later shoulder other factor.,2025-01-21 12:56:00,2024-03-25 07:52:00,Closed,51
211,Intrusion Detection,SIEM,Medium,Protect group number system large amount believe source.,2024-06-05 07:16:00,2024-04-25 06:31:00,Closed,92
212,Intrusion Detection,EDR,Medium,Growth mouth rise.,2024-01-01 14:43:00,2024-10-31 23:13:00,Acknowledged,19
213,Malware,DLP,Low,Necessary cost attack entire type form.,2024-10-12 06:20:00,,Acknowledged,1
214,Anomalous Login,IDS,Medium,Home trial cover how likely member.,2024-05-04 09:19:00,2024-02-02 05:07:00,Closed,55
215,Policy Violation,SIEM,Medium,Join its information system feel.,2024-08-24 18:12:00,2024-07-18 18:59:00,Closed,4
216,Data Exfiltration,DLP,Medium,Rest today meet bring product.,2024-03-19 17:29:00,2024-01-09 22:30:00,Investigating,43
217,Policy Violation,DLP,Low,Seem six teacher seven north.,2024-07-27 05:57:00,,Closed,50
218,Intrusion Detection,EDR,High,Help report age.,2024-02-02 19:18:00,2024-07-29 22:31:00,Investigating,49
219,Policy Violation,IDS,Medium,Test oil chair particular.,2024-04-13 07:05:00,2024-12-16 07:12:00,Acknowledged,70
220,Malware,EDR,Medium,Series become stop entire.,2024-01-15 19:46:00,2024-05-04 04:55:00,Closed,21
221,Intrusion Detection,SIEM,Medium,Whatever politics social game issue.,2024-06-28 22:03:00,2024-06-30 20:10:00,New,16
222,Policy Violation,WAF,Critical,Must college office scene me care budget.,2024-12-01 04:07:00,2025-01-12 12:20:00,Investigating,78
223,Policy Violation,DLP,Low,Use democratic character option.,2024-07-20 18:02:00,2024-06-23 05:10:00,Closed,8
224,Anomalous Login,IDS,Low,Court series will they true bit thousand.,2024-12-06 02:18:00,,New,47
225,Anomalous Login,WAF,Medium,Perform vote majority international its would.,2024-05-21 23:23:00,2024-08-22 04:03:00,New,3
226,Anomalous Login,SIEM,Low,Rich with mention wear.,2024-09-20 01:16:00,2024-11-15 11:17:00,Acknowledged,43
227,Malware,IDS,High,Financial whom air.,2024-10-02 18:38:00,2024-12-10 04:09:00,Investigating,21
228,Policy Violation,EDR,Medium,Radio recent thank minute bad red.,2024-04-17 17:24:00,2024-02-02 13:49:00,New,5
229,Data Exfiltration,DLP,Medium,Budget than ever truth indicate.,2025-01-06 11:00:00,2024-10-06 11:16:00,Closed,76
230,Intrusion Detection,EDR,Low,Management cultural bill think build worry.,2024-11-10 23:22:00,2024-02-02 18:55:00,Investigating,61
231,Malware,SIEM,Low,Off people school position candidate.,2025-01-29 15:54:00,2025-01-23 19:17:00,Closed,1
232,Malware,WAF,Low,Serve listen save blue.,2024-12-05 15:43:00,2024-05-22 07:33:00,Closed,25
233,Policy Violation,SIEM,Medium,Successful year perform price own at.,2024-04-13 08:13:00,2024-06-21 20:54:00,Closed,24
234,Data Exfiltration,WAF,Medium,Fall majority indicate west notice adult.,2024-03-04 11:00:00,2024-09-29 16:22:00,New,7
